Id,ts,user,action,entity
AU00001,2025-07-10 18:30,finance1,CREATE,shipment
AU00002,2025-12-07 11:39,ops1,CREATE,shipment
AU00003,2025-02-03 13:32,ops1,CREATE,rate_card
AU00004,2025-08-10 12:58,system,UPDATE,rate_card
AU00005,2025-09-05 08:08,finance1,UPDATE,invoice
AU00006,2025-12-04 11:23,ops2,CREATE,invoice
AU00007,2025-08-12 10:58,ops1,VOID,invoice
AU00008,2025-05-23 10:00,ops1,UPDATE,shipment
AU00009,2025-12-12 15:33,ops1,EXPORT,rate_card
AU00010,2025-10-13 07:20,finance1,EXPORT,invoice
AU00011,2026-05-12 16:57,ops2,UPDATE,shipment
AU00012,2025-06-22 09:33,finance1,EXPORT,invoice
AU00013,2025-02-03 09:04,finance1,VOID,rate_card
AU00014,2026-05-20 14:35,finance1,UPDATE,rate_card
AU00015,2026-05-16 13:01,finance1,CREATE,shipment
AU00016,2026-01-24 07:41,finance1,UPDATE,party
AU00017,2025-01-23 19:17,finance1,UPDATE,shipment
AU00018,2025-03-13 13:54,finance1,VOID,shipment
AU00019,2025-10-10 11:03,ops1,VOID,party
AU00020,2025-09-04 11:48,system,CREATE,invoice
AU00021,2025-04-21 09:39,ops2,UPDATE,shipment
AU00022,2025-01-19 19:00,finance1,UPDATE,rate_card
AU00023,2025-04-29 16:12,ops2,CREATE,rate_card
AU00024,2026-01-28 06:58,ops2,CREATE,party
AU00025,2025-12-16 20:18,finance1,UPDATE,invoice
AU00026,2026-05-21 20:39,ops1,EXPORT,shipment
AU00027,2025-03-09 16:03,finance1,VOID,shipment
AU00028,2025-10-13 10:23,finance1,UPDATE,party
AU00029,2025-04-26 15:37,system,VOID,shipment
AU00030,2025-10-14 20:11,finance1,UPDATE,party
AU00031,2025-03-20 11:16,ops2,EXPORT,invoice
AU00032,2025-02-23 19:24,finance1,EXPORT,invoice
AU00033,2025-07-03 18:33,ops1,CREATE,invoice
AU00034,2025-06-09 18:27,finance1,VOID,shipment
AU00035,2026-04-06 11:04,ops2,CREATE,shipment
AU00036,2025-10-06 10:28,ops2,CREATE,party
AU00037,2025-01-12 16:38,ops1,CREATE,rate_card
AU00038,2026-01-21 20:22,finance1,CREATE,rate_card
AU00039,2025-09-06 12:21,system,EXPORT,shipment
AU00040,2025-05-19 18:26,ops1,UPDATE,rate_card
AU00041,2026-05-05 17:45,system,EXPORT,party
AU00042,2026-05-26 13:09,system,EXPORT,party
AU00043,2026-01-11 17:25,ops1,CREATE,rate_card
AU00044,2026-04-22 14:53,ops1,UPDATE,shipment
AU00045,2025-10-24 21:22,finance1,CREATE,party
AU00046,2025-08-12 07:44,ops1,CREATE,shipment
AU00047,2026-01-31 06:21,system,VOID,invoice
AU00048,2025-11-10 11:56,finance1,UPDATE,party
AU00049,2025-06-20 11:09,ops2,CREATE,rate_card
AU00050,2026-01-25 07:19,finance1,VOID,party
AU00051,2026-03-02 16:06,ops1,UPDATE,party
AU00052,2026-01-02 21:00,system,VOID,invoice
AU00053,2025-11-28 07:05,system,UPDATE,invoice
AU00054,2026-04-30 14:47,ops2,VOID,shipment
AU00055,2025-12-21 07:03,ops2,VOID,rate_card
AU00056,2025-08-17 11:44,finance1,UPDATE,party
AU00057,2025-11-18 21:44,system,CREATE,invoice
AU00058,2026-03-13 12:17,ops1,CREATE,invoice
AU00059,2025-01-21 21:33,ops1,UPDATE,shipment
AU00060,2025-07-19 06:58,system,EXPORT,party
AU00061,2025-10-26 09:19,ops1,VOID,rate_card
AU00062,2026-03-26 09:21,finance1,EXPORT,invoice
AU00063,2026-02-13 21:59,ops1,CREATE,party
AU00064,2025-05-06 12:42,ops1,CREATE,rate_card
AU00065,2025-12-05 07:22,finance1,UPDATE,shipment
AU00066,2026-01-11 16:31,ops1,VOID,shipment
AU00067,2025-11-17 19:12,ops2,CREATE,rate_card
AU00068,2025-12-26 09:37,system,UPDATE,invoice
AU00069,2026-01-14 14:21,finance1,UPDATE,rate_card
AU00070,2025-02-01 13:33,ops2,VOID,party
AU00071,2025-06-17 07:52,ops2,CREATE,invoice
AU00072,2025-12-01 17:20,ops1,UPDATE,invoice
AU00073,2025-10-10 16:09,finance1,EXPORT,party
AU00074,2025-09-24 18:53,finance1,CREATE,shipment
AU00075,2026-04-06 15:36,ops1,CREATE,party
AU00076,2025-03-11 13:56,finance1,CREATE,shipment
AU00077,2025-06-28 18:28,ops1,EXPORT,invoice
AU00078,2025-02-03 08:59,finance1,EXPORT,invoice
AU00079,2025-06-21 13:31,ops1,VOID,invoice
AU00080,2025-08-10 08:25,finance1,UPDATE,invoice
AU00081,2025-04-02 19:52,system,EXPORT,invoice
AU00082,2025-11-28 07:58,ops2,EXPORT,rate_card
AU00083,2025-08-20 18:20,finance1,EXPORT,shipment
AU00084,2025-07-10 11:44,finance1,CREATE,invoice
AU00085,2025-09-01 07:27,system,VOID,shipment
AU00086,2025-12-25 17:24,ops2,EXPORT,party
AU00087,2026-04-24 18:11,system,UPDATE,shipment
AU00088,2025-01-16 13:32,ops1,CREATE,party
AU00089,2025-07-08 09:52,ops1,VOID,shipment
AU00090,2026-02-03 13:51,ops2,VOID,rate_card
AU00091,2025-04-30 14:25,ops1,UPDATE,invoice
AU00092,2025-10-07 19:18,ops2,VOID,invoice
AU00093,2025-10-05 07:40,finance1,EXPORT,rate_card
AU00094,2026-02-20 21:50,ops2,CREATE,party
AU00095,2025-04-13 16:07,system,EXPORT,party
AU00096,2026-02-13 19:42,ops1,VOID,party
AU00097,2026-05-10 13:27,ops2,UPDATE,invoice
AU00098,2025-11-21 08:04,system,CREATE,party
AU00099,2025-12-24 19:27,system,VOID,rate_card
AU00100,2025-03-27 19:19,ops2,CREATE,invoice
AU00101,2025-02-05 16:51,ops1,VOID,party
AU00102,2026-02-02 20:24,finance1,CREATE,invoice
AU00103,2025-11-28 18:19,ops1,EXPORT,party
AU00104,2025-03-31 14:29,finance1,UPDATE,invoice
AU00105,2025-12-25 11:59,ops1,UPDATE,invoice
AU00106,2026-05-06 10:17,system,EXPORT,party
AU00107,2025-10-12 11:09,ops2,EXPORT,party
