Id,acct,Date,channel,Status
CP0001,P-1139,2025-02-21,EMAIL,WORKING
CP0002,P-1062,2025-04-05,PHONE,CLOSED
CP0003,P-1162,2026-02-27,PHONE,WORKING
CP0004,P-1115,2026-02-13,PHONE,WORKING
CP0005,P-1096,2025-01-10,PORTAL,CLOSED
CP0006,P-1038,2025-06-10,PHONE,WORKING
CP0007,P-1048,2025-11-09,PHONE,NEW
CP0008,P-1047,2026-03-19,PHONE,WORKING
CP0009,P-1069,2025-09-03,PORTAL,WORKING
CP0010,P-1146,2025-12-22,PHONE,NEW
CP0011,P-1186,2025-02-27,EMAIL,CLOSED
CP0012,P-1007,2025-12-25,PHONE,CLOSED
CP0013,P-1157,2025-11-13,EMAIL,CLOSED
CP0014,P-1209,2025-03-31,PHONE,CLOSED
CP0015,P-1069,2026-01-04,EMAIL,WORKING
CP0016,P-1234,2025-04-13,PORTAL,WORKING
CP0017,P-1087,2025-11-14,EMAIL,CLOSED
CP0018,P-1178,2026-01-06,PHONE,WORKING
CP0019,P-1011,2025-10-14,EMAIL,CLOSED
CP0020,P-1219,2025-11-10,PORTAL,WORKING
CP0021,P-1115,2026-01-24,PHONE,WORKING
CP0022,P-1167,2025-02-03,EMAIL,WORKING
CP0023,P-1117,2026-05-22,PHONE,WORKING
CP0024,P-1061,2025-03-28,PHONE,CLOSED
CP0025,P-1004,2025-03-22,PORTAL,NEW
CP0026,P-1048,2025-03-16,PHONE,WORKING
CP0027,P-1037,2026-02-03,PHONE,NEW
CP0028,P-1103,2025-08-16,PHONE,WORKING
CP0029,P-1081,2025-04-21,PHONE,NEW
CP0030,P-1013,2026-05-11,PORTAL,NEW
CP0031,P-1198,2025-08-23,EMAIL,CLOSED
CP0032,P-1224,2025-02-22,PHONE,CLOSED
CP0033,P-1081,2025-02-12,PORTAL,WORKING
CP0034,P-1187,2025-11-04,EMAIL,WORKING
CP0035,P-1161,2025-02-13,PORTAL,WORKING
CP0036,P-1199,2025-12-10,EMAIL,WORKING
CP0037,P-1219,2025-03-11,PHONE,NEW
CP0038,P-1175,2025-06-05,PHONE,CLOSED
CP0039,P-1217,2026-05-09,PORTAL,NEW
CP0040,P-1177,2025-06-05,EMAIL,NEW
CP0041,P-1088,2025-09-17,EMAIL,NEW
CP0042,P-1188,2025-04-27,PHONE,NEW
CP0043,P-1238,2026-03-04,PHONE,WORKING
CP0044,P-1046,2025-04-16,PORTAL,WORKING
CP0045,P-1011,2025-07-25,PORTAL,WORKING
CP0046,P-1139,2026-05-16,PHONE,CLOSED
CP0047,P-1237,2025-11-17,EMAIL,CLOSED
CP0048,P-1014,2025-06-25,PHONE,CLOSED
CP0049,P-1123,2025-05-21,EMAIL,WORKING
CP0050,P-1113,2025-08-28,PORTAL,NEW
CP0051,P-1208,2025-06-24,PHONE,WORKING
CP0052,P-1228,2026-01-25,PHONE,WORKING
