Id,acct,Date,nps
SV0001,P-1022,2025-05-29,0
SV0002,P-1137,2025-06-26,10
SV0003,P-1086,2026-02-10,4
SV0004,P-1106,2025-08-21,1
SV0005,P-1020,2026-01-22,7
SV0006,P-1031,2025-04-01,9
SV0007,P-1004,2025-05-01,0
SV0008,P-1204,2025-08-26,1
SV0009,P-1072,2025-02-17,3
SV0010,P-1098,2026-03-12,6
SV0011,P-1039,2025-10-08,10
SV0012,P-1192,2025-09-07,3
SV0013,P-1111,2026-01-03,5
SV0014,P-1197,2025-04-11,7
SV0015,P-1151,2026-03-17,10
SV0016,P-1226,2025-12-13,10
SV0017,P-1031,2025-10-10,3
SV0018,P-1107,2025-08-28,2
SV0019,P-1120,2025-05-02,10
SV0020,P-1098,2025-08-25,1
SV0021,P-1216,2026-04-18,3
SV0022,P-1239,2025-07-05,7
SV0023,P-1149,2025-07-10,2
SV0024,P-1228,2025-06-12,10
SV0025,P-1015,2025-10-28,8
SV0026,P-1012,2025-04-10,6
SV0027,P-1013,2026-02-06,1
SV0028,P-1065,2025-05-25,0
SV0029,P-1176,2025-02-01,2
SV0030,P-1025,2025-04-10,1
SV0031,P-1223,2026-02-24,9
SV0032,P-1021,2025-06-19,3
SV0033,P-1182,2025-06-19,3
SV0034,P-1039,2026-02-18,4
SV0035,P-1139,2025-03-10,3
SV0036,P-1060,2026-01-01,8
SV0037,P-1078,2025-07-07,8
SV0038,P-1159,2025-01-13,4
SV0039,P-1062,2025-10-27,5
SV0040,P-1140,2026-03-23,10
SV0041,P-1044,2025-04-07,4
SV0042,P-1124,2025-06-03,2
SV0043,P-1141,2025-08-20,9
SV0044,P-1081,2026-04-09,9
SV0045,P-1231,2025-09-21,8
SV0046,P-1033,2025-03-16,7
SV0047,P-1148,2025-01-24,1
SV0048,P-1080,2025-06-22,0
SV0049,P-1050,2025-11-28,6
SV0050,P-1082,2025-08-11,5
SV0051,P-1043,2026-02-28,1
SV0052,P-1165,2025-03-10,0
SV0053,P-1074,2026-05-03,10
SV0054,P-1092,2025-08-15,3
SV0055,P-1023,2025-10-15,8
SV0056,P-1172,2026-01-18,4
SV0057,P-1221,2025-11-08,6
SV0058,P-1063,2025-02-16,0
SV0059,P-1207,2026-02-13,10
SV0060,P-1197,2025-04-09,6
SV0061,P-1189,2026-05-16,10
SV0062,P-1064,2026-05-20,8
SV0063,P-1041,2026-04-07,7
SV0064,P-1013,2025-11-18,0
SV0065,P-1034,2025-07-24,7
SV0066,P-1219,2025-10-14,3
SV0067,P-1180,2025-02-04,7
SV0068,P-1137,2025-03-11,5
SV0069,P-1075,2025-08-23,4
SV0070,P-1107,2025-02-04,1
SV0071,P-1074,2025-05-27,0
SV0072,P-1115,2025-04-05,5
SV0073,P-1092,2026-04-29,2
SV0074,P-1194,2025-11-14,0
SV0075,P-1096,2025-10-30,4
SV0076,P-1142,2026-04-26,0
SV0077,P-1211,2026-02-06,3
SV0078,P-1140,2025-12-19,0
SV0079,P-1196,2025-04-17,2
SV0080,P-1070,2025-05-13,5
SV0081,P-1038,2025-09-03,0
SV0082,P-1173,2025-04-26,3
SV0083,P-1001,2025-08-21,7
SV0084,P-1172,2025-03-10,8
SV0085,P-1005,2025-08-25,3
SV0086,P-1118,2025-11-03,7
SV0087,P-1201,2025-08-08,10
SV0088,P-1179,2026-03-02,0
SV0089,P-1104,2025-04-22,3
SV0090,P-1043,2026-05-06,4
SV0091,P-1131,2025-08-07,8
SV0092,P-1013,2025-03-15,1
SV0093,P-1229,2025-05-06,5
SV0094,P-1002,2026-01-03,7
SV0095,P-1082,2025-12-22,3
SV0096,P-1018,2026-05-30,0
SV0097,P-1074,2025-07-19,3
SV0098,P-1195,2025-11-19,1
SV0099,P-1078,2025-08-23,10
SV0100,P-1180,2026-02-27,5
SV0101,P-1227,2026-03-21,1
SV0102,P-1043,2026-05-10,10
SV0103,P-1206,2025-01-16,4
SV0104,P-1015,2026-05-30,3
SV0105,P-1127,2026-01-07,5
SV0106,P-1163,2025-01-20,6
SV0107,P-1205,2025-11-14,7
SV0108,P-1015,2025-08-26,0
SV0109,P-1179,2026-05-13,9
SV0110,P-1082,2025-06-24,8
SV0111,P-1027,2025-02-13,4
SV0112,P-1094,2025-02-17,4
SV0113,P-1052,2026-02-08,2
SV0114,P-1133,2026-04-12,0
SV0115,P-1002,2026-01-09,1
SV0116,P-1003,2025-08-04,2
SV0117,P-1010,2026-03-26,1
SV0118,P-1126,2025-03-14,2
SV0119,P-1067,2025-07-24,5
SV0120,P-1211,2025-10-10,7
SV0121,P-1007,2025-02-22,2
SV0122,P-1039,2025-12-09,5
SV0123,P-1022,2025-01-18,2
SV0124,P-1167,2025-07-21,9
SV0125,P-1129,2026-02-24,9
SV0126,P-1239,2025-10-17,1
SV0127,P-1059,2025-07-24,10
SV0128,P-1045,2025-04-12,1
SV0129,P-1049,2026-05-12,5
SV0130,P-1075,2025-06-06,2
SV0131,P-1055,2025-12-21,4
SV0132,P-1201,2025-12-17,9
SV0133,P-1128,2025-02-20,0
SV0134,P-1195,2025-11-23,7
SV0135,P-1072,2025-11-22,9
SV0136,P-1235,2025-07-11,10
SV0137,P-1227,2025-06-13,10
SV0138,P-1099,2025-09-29,10
SV0139,P-1018,2025-08-14,3
SV0140,P-1082,2026-04-01,3
SV0141,P-1091,2025-05-06,9
SV0142,P-1086,2025-11-21,2
SV0143,P-1174,2026-02-22,5
SV0144,P-1183,2025-07-15,6
SV0145,P-1002,2025-10-29,1
SV0146,P-1066,2025-09-06,10
SV0147,P-1048,2026-05-31,9
SV0148,P-1010,2025-06-09,8
SV0149,P-1239,2025-11-11,4
SV0150,P-1098,2026-02-04,9
SV0151,P-1007,2026-01-20,10
SV0152,P-1102,2025-06-23,7
SV0153,P-1145,2025-04-06,9
SV0154,P-1181,2025-08-04,9
SV0155,P-1187,2026-03-26,9
SV0156,P-1143,2025-05-20,2
SV0157,P-1097,2025-07-11,9
SV0158,P-1056,2025-03-04,8
SV0159,P-1206,2026-03-06,2
SV0160,P-1012,2025-02-09,10
SV0161,P-1035,2026-05-24,8
SV0162,P-1144,2026-04-06,5
SV0163,P-1191,2025-04-28,5
SV0164,P-1101,2025-01-17,3
SV0165,P-1209,2025-12-02,7
SV0166,P-1024,2025-09-19,3
SV0167,P-1015,2025-05-24,9
SV0168,P-1060,2025-09-15,0
SV0169,P-1234,2026-05-16,2
SV0170,P-1094,2025-07-26,2
SV0171,P-1077,2025-04-08,2
SV0172,P-1069,2026-01-14,9
SV0173,P-1172,2025-03-16,10
SV0174,P-1007,2025-09-14,3
SV0175,P-1150,2025-09-14,4
SV0176,P-1238,2025-08-15,9
SV0177,P-1235,2025-07-21,6
SV0178,P-1088,2026-04-05,3
SV0179,P-1201,2025-06-22,7
SV0180,P-1099,2025-02-18,0
SV0181,P-1067,2026-01-01,6
SV0182,P-1226,2025-08-21,8
SV0183,P-1007,2025-10-05,1
SV0184,P-1017,2025-08-20,4
SV0185,P-1110,2025-04-23,2
SV0186,P-1229,2026-01-26,3
SV0187,P-1095,2025-07-04,1
SV0188,P-1021,2025-05-16,4
SV0189,P-1211,2025-10-05,10
SV0190,P-1206,2025-04-12,4
SV0191,P-1227,2026-01-31,2
SV0192,P-1214,2025-11-16,8
SV0193,P-1104,2025-08-03,5
SV0194,P-1114,2025-07-18,8
SV0195,P-1214,2025-12-17,2
SV0196,P-1218,2026-04-06,1
SV0197,P-1019,2026-05-03,3
SV0198,P-1234,2026-05-31,5
SV0199,P-1016,2025-10-29,4
SV0200,P-1123,2025-06-21,5
SV0201,P-1169,2025-06-23,1
SV0202,P-1088,2025-03-20,3
SV0203,P-1069,2025-01-08,1
SV0204,P-1095,2025-08-09,10
SV0205,P-1042,2025-10-27,9
SV0206,P-1026,2025-10-07,0
SV0207,P-1035,2025-12-02,8
SV0208,P-1194,2025-01-31,7
SV0209,P-1234,2025-08-05,8
SV0210,P-1202,2025-01-14,0
SV0211,P-1103,2026-02-08,5
SV0212,P-1097,2025-06-01,7
SV0213,P-1151,2025-10-19,5
SV0214,P-1136,2025-08-25,4
SV0215,P-1236,2025-08-19,4
SV0216,P-1092,2025-05-25,5
SV0217,P-1093,2025-12-05,0
SV0218,P-1146,2025-02-24,9
SV0219,P-1232,2025-02-13,10
SV0220,P-1153,2025-10-05,4
SV0221,P-1074,2025-04-02,1
SV0222,P-1024,2025-07-21,5
SV0223,P-1017,2025-01-20,5
SV0224,P-1203,2026-01-15,5
SV0225,P-1172,2026-01-05,6
SV0226,P-1179,2025-06-09,4
SV0227,P-1057,2025-12-02,1
SV0228,P-1239,2025-01-31,4
SV0229,P-1136,2025-08-24,0
SV0230,P-1217,2026-03-01,0
SV0231,P-1046,2025-06-16,2
SV0232,P-1063,2025-06-15,2
SV0233,P-1155,2025-11-21,1
SV0234,P-1002,2025-12-24,10
SV0235,P-1003,2025-05-16,4
SV0236,P-1058,2025-07-03,0
SV0237,P-1222,2025-04-27,2
SV0238,P-1042,2025-11-19,1
SV0239,P-1132,2026-04-09,3
SV0240,P-1132,2025-11-20,1
SV0241,P-1074,2025-12-09,3
SV0242,P-1031,2025-11-05,5
SV0243,P-1034,2026-01-17,7
SV0244,P-1063,2026-03-14,8
SV0245,P-1181,2025-10-30,6
SV0246,P-1171,2025-09-14,0
SV0247,P-1104,2025-05-19,10
SV0248,P-1098,2026-05-28,0
SV0249,P-1166,2025-07-16,8
SV0250,P-1193,2025-01-03,10
SV0251,P-1014,2025-04-06,0
SV0252,P-1132,2025-03-04,7
SV0253,P-1080,2025-09-17,2
SV0254,P-1237,2026-03-03,3
SV0255,P-1227,2025-03-30,6
SV0256,P-1107,2025-05-23,1
SV0257,P-1207,2026-01-23,5
SV0258,P-1173,2025-10-19,5
SV0259,P-1066,2025-08-01,10
SV0260,P-1170,2026-02-25,1
SV0261,P-1089,2026-05-07,1
SV0262,P-1134,2026-03-19,6
SV0263,P-1176,2025-06-09,1
SV0264,P-1184,2026-01-17,3
SV0265,P-1158,2025-07-20,7
SV0266,P-1014,2026-03-07,9
SV0267,P-1168,2026-04-20,4
SV0268,P-1167,2025-06-20,10
SV0269,P-1186,2025-06-02,0
SV0270,P-1082,2025-01-16,2
SV0271,P-1194,2026-01-11,4
SV0272,P-1221,2026-05-15,3
SV0273,P-1088,2026-01-31,4
SV0274,P-1018,2025-04-07,5
SV0275,P-1204,2026-04-22,2
SV0276,P-1110,2025-12-26,9
SV0277,P-1033,2025-12-21,10
SV0278,P-1173,2025-01-14,0
SV0279,P-1023,2025-10-23,6
SV0280,P-1031,2025-06-26,6
SV0281,P-1171,2025-01-11,10
SV0282,P-1012,2025-07-14,7
SV0283,P-1054,2025-02-26,1
SV0284,P-1224,2025-01-22,7
SV0285,P-1092,2025-05-07,4
SV0286,P-1234,2026-01-23,6
SV0287,P-1090,2026-04-08,2
SV0288,P-1226,2025-05-08,8
SV0289,P-1019,2025-05-22,5
SV0290,P-1041,2025-12-07,7
SV0291,P-1093,2025-04-17,6
SV0292,P-1068,2026-03-31,10
SV0293,P-1144,2026-02-10,1
SV0294,P-1073,2026-01-17,1
SV0295,P-1199,2026-01-12,4
SV0296,P-1029,2026-03-24,2
SV0297,P-1108,2026-04-23,7
SV0298,P-1081,2025-06-15,1
SV0299,P-1055,2026-03-22,3
SV0300,P-1148,2025-12-05,1
SV0301,P-1096,2025-11-28,3
SV0302,P-1041,2025-05-03,4
SV0303,P-1068,2026-01-21,6
SV0304,P-1223,2025-01-02,2
SV0305,P-1129,2025-09-23,8
SV0306,P-1234,2026-02-01,5
SV0307,P-1092,2025-12-27,6
SV0308,P-1207,2026-05-17,10
SV0309,P-1041,2025-05-10,0
SV0310,P-1048,2025-01-10,2
SV0311,P-1056,2026-04-05,1
SV0312,P-1213,2025-12-07,7
SV0313,P-1157,2025-10-04,0
SV0314,P-1141,2026-04-01,3
SV0315,P-1127,2025-06-26,0
SV0316,P-1148,2026-05-21,6
SV0317,P-1146,2025-08-02,3
SV0318,P-1236,2026-02-23,9
SV0319,P-1060,2025-04-01,8
SV0320,P-1063,2025-04-30,8
SV0321,P-1009,2025-12-29,10
SV0322,P-1123,2025-08-31,10
SV0323,P-1177,2025-01-16,8
SV0324,P-1082,2026-04-22,3
SV0325,P-1109,2025-11-20,0
SV0326,P-1153,2025-03-22,2
SV0327,P-1176,2026-02-11,7
SV0328,P-1029,2025-06-29,7
SV0329,P-1084,2025-07-06,5
SV0330,P-1088,2025-11-06,9
SV0331,P-1169,2026-04-03,3
SV0332,P-1087,2026-03-20,5
SV0333,P-1219,2025-09-20,9
SV0334,P-1184,2025-09-08,7
SV0335,P-1129,2025-09-19,7
SV0336,P-1045,2025-09-22,5
SV0337,P-1223,2025-04-17,7
SV0338,P-1238,2025-12-13,4
SV0339,P-1043,2025-02-09,3
SV0340,P-1087,2025-04-20,3
SV0341,P-1225,2025-05-10,0
SV0342,P-1161,2026-04-25,0
SV0343,P-1096,2025-11-20,6
SV0344,P-1114,2025-07-23,8
SV0345,P-1191,2025-09-04,0
SV0346,P-1142,2026-03-02,4
SV0347,P-1221,2025-07-01,4
SV0348,P-1066,2025-05-17,0
SV0349,P-1117,2025-05-18,7
SV0350,P-1239,2025-09-25,0
SV0351,P-1132,2025-11-04,2
SV0352,P-1123,2026-02-17,6
SV0353,P-1144,2026-03-10,9
SV0354,P-1171,2026-05-16,7
SV0355,P-1112,2025-01-30,2
SV0356,P-1178,2025-01-22,8
SV0357,P-1206,2026-01-21,9
SV0358,P-1222,2026-05-26,3
SV0359,P-1074,2025-05-16,8
SV0360,P-1053,2025-04-26,7
SV0361,P-1072,2025-06-22,1
SV0362,P-1145,2025-12-28,7
SV0363,P-1141,2026-02-03,1
SV0364,P-1080,2026-04-26,4
SV0365,P-1021,2025-08-09,7
SV0366,P-1031,2025-07-19,2
SV0367,P-1123,2026-01-20,1
SV0368,P-1186,2025-04-14,10
SV0369,P-1137,2025-01-25,9
SV0370,P-1048,2026-01-12,7
SV0371,P-1228,2025-09-05,0
SV0372,P-1143,2026-01-29,6
SV0373,P-1092,2026-02-23,9
SV0374,P-1153,2025-07-20,9
SV0375,P-1051,2025-05-27,3
SV0376,P-1152,2026-01-27,9
SV0377,P-1121,2026-04-27,9
SV0378,P-1049,2025-05-13,9
SV0379,P-1141,2025-06-19,2
SV0380,P-1149,2025-04-27,4
SV0381,P-1171,2026-02-03,8
SV0382,P-1181,2026-05-23,6
SV0383,P-1198,2025-03-21,8
SV0384,P-1013,2025-04-01,5
SV0385,P-1065,2026-01-11,2
SV0386,P-1163,2025-10-21,10
SV0387,P-1095,2025-06-13,8
SV0388,P-1229,2026-01-29,10
SV0389,P-1052,2026-02-07,5
SV0390,P-1063,2025-12-01,5
SV0391,P-1218,2025-01-27,10
SV0392,P-1106,2025-11-18,2
SV0393,P-1102,2025-03-23,7
SV0394,P-1172,2025-08-11,1
SV0395,P-1203,2025-11-29,5
SV0396,P-1064,2026-03-29,7
SV0397,P-1040,2025-10-12,3
SV0398,P-1030,2026-02-20,2
SV0399,P-1009,2025-01-29,3
SV0400,P-1229,2025-06-01,5
SV0401,P-1204,2025-12-27,7
SV0402,P-1010,2026-02-28,1
SV0403,P-1163,2025-10-15,9
SV0404,P-1217,2026-02-17,2
SV0405,P-1184,2025-05-09,10
SV0406,P-1010,2026-04-24,8
SV0407,P-1097,2025-08-17,7
SV0408,P-1147,2025-02-27,7
SV0409,P-1043,2025-08-06,2
SV0410,P-1074,2025-09-20,4
SV0411,P-1066,2025-06-25,3
SV0412,P-1020,2026-02-25,2
SV0413,P-1020,2025-12-20,1
SV0414,P-1117,2025-06-26,7
SV0415,P-1112,2026-05-19,6
SV0416,P-1005,2025-07-18,7
SV0417,P-1142,2025-02-21,0
SV0418,P-1095,2025-01-07,1
SV0419,P-1173,2025-08-29,0
SV0420,P-1041,2026-03-21,5
