Id,ship_ref,sur_cd,Amount
AC9001,SH101089,S-ADR,44.66
AC9002,SH102847,S-ADR,30.94
AC9003,SH102806,S-REWT,54.65
AC9004,SH100369,S-RES,8.77
AC9005,SH104157,S-ADR,80.42
AC9006,SH101497,S-REWT,18.63
AC9007,SH102386,S-ADR,47.74
AC9008,SH104180,S-REWT,29.67
AC9009,SH101905,S-ADR,50.03
AC9010,SH103418,S-ADR,69.50
AC9011,SH103076,S-REWT,25.04
AC9012,SH100718,S-ADR,80.41
AC9013,SH101751,S-WAIT,81.78
AC9014,SH103025,S-LIFT,18.69
AC9015,SH104109,S-WAIT,57.04
AC9016,SH103410,S-LIFT,75.76
AC9017,SH101831,S-RES,73.08
AC9018,SH101125,S-WAIT,83.47
AC9019,SH103615,S-REWT,40.59
AC9020,SH101325,S-REWT,54.42
AC9021,SH102637,S-RES,7.09
AC9022,SH101713,S-ADR,69.91
AC9023,SH103374,S-RES,56.07
AC9024,SH100862,S-REWT,65.31
AC9025,SH103351,S-REWT,24.33
AC9026,SH102743,S-LIFT,50.23
AC9027,SH102595,S-REWT,35.69
AC9028,SH100776,S-REWT,58.82
AC9029,SH101683,S-RES,69.41
AC9030,SH103605,S-LIFT,29.55
AC9031,SH100444,S-WAIT,77.04
AC9032,SH102379,S-RES,12.82
AC9033,SH101728,S-RES,75.51
AC9034,SH102219,S-WAIT,26.42
AC9035,SH103918,S-LIFT,32.89
AC9036,SH102739,S-RES,53.01
AC9037,SH102759,S-RES,14.32
AC9038,SH102564,S-WAIT,28.56
AC9039,SH102996,S-REWT,67.91
AC9040,SH100344,S-RES,69.38
AC9041,SH100793,S-RES,12.30
AC9042,SH102108,S-REWT,46.80
AC9043,SH102291,S-ADR,59.77
AC9044,SH103920,S-LIFT,61.04
AC9045,SH100374,S-ADR,47.87
AC9046,SH103501,S-RES,82.50
AC9047,SH102345,S-REWT,53.53
AC9048,SH103570,S-ADR,39.10
AC9049,SH103162,S-LIFT,48.12
AC9050,SH100993,S-ADR,69.92
AC9051,SH102106,S-WAIT,62.88
AC9052,SH102456,S-REWT,38.90
AC9053,SH100088,S-WAIT,38.23
AC9054,SH102310,S-WAIT,71.82
AC9055,SH100980,S-ADR,29.53
AC9056,SH101126,S-WAIT,12.74
AC9057,SH104007,S-RES,13.05
AC9058,SH102512,S-REWT,46.84
AC9059,SH102246,S-LIFT,31.97
AC9060,SH100506,S-REWT,49.96
AC9061,SH103379,S-ADR,30.90
AC9062,SH102897,S-ADR,81.26
AC9063,SH103918,S-WAIT,28.28
AC9064,SH103370,S-REWT,74.38
AC9065,SH100188,S-ADR,83.59
AC9066,SH100270,S-LIFT,21.24
AC9067,SH102730,S-RES,18.13
AC9068,SH100876,S-REWT,81.77
AC9069,SH100686,S-REWT,31.87
AC9070,SH101045,S-WAIT,72.16
AC9071,SH101547,S-RES,4.08
AC9072,SH100065,S-WAIT,55.94
AC9073,SH102278,S-LIFT,49.47
AC9074,SH101691,S-WAIT,28.54
AC9075,SH100055,S-REWT,60.55
AC9076,SH103305,S-WAIT,83.85
AC9077,SH101342,S-WAIT,75.57
AC9078,SH104044,S-RES,20.68
AC9079,SH103903,S-RES,29.57
AC9080,SH100738,S-ADR,19.52
AC9081,SH100497,S-WAIT,67.38
AC9082,SH103389,S-REWT,56.69
AC9083,SH103061,S-LIFT,9.87
AC9084,SH101292,S-ADR,16.47
AC9085,SH104133,S-LIFT,75.02
AC9086,SH100861,S-RES,73.32
AC9087,SH101925,S-LIFT,67.20
AC9088,SH103057,S-WAIT,36.14
AC9089,SH102358,S-REWT,10.84
AC9090,SH101438,S-ADR,11.71
AC9091,SH104131,S-ADR,63.71
AC9092,SH100399,S-RES,55.38
AC9093,SH104130,S-RES,36.10
AC9094,SH100765,S-REWT,51.42
AC9095,SH103136,S-ADR,43.45
AC9096,SH104149,S-LIFT,24.49
AC9097,SH101949,S-WAIT,82.77
AC9098,SH101455,S-ADR,75.15
AC9099,SH102826,S-REWT,48.77
AC9100,SH102458,S-WAIT,50.33
AC9101,SH102459,S-WAIT,6.10
AC9102,SH100963,S-RES,73.26
AC9103,SH100689,S-ADR,29.97
AC9104,SH103915,S-ADR,68.73
AC9105,SH104029,S-ADR,13.97
AC9106,SH100500,S-RES,55.31
AC9107,SH102536,S-WAIT,7.16
AC9108,SH101187,S-RES,64.79
AC9109,SH103244,S-LIFT,42.20
AC9110,SH101608,S-LIFT,74.74
AC9111,SH100881,S-ADR,47.37
AC9112,SH101680,S-ADR,23.41
AC9113,SH101434,S-RES,41.29
AC9114,SH101919,S-ADR,31.95
AC9115,SH102046,S-ADR,79.20
AC9116,SH100484,S-ADR,20.17
AC9117,SH103016,S-REWT,79.59
AC9118,SH102036,S-WAIT,32.16
AC9119,SH100467,S-WAIT,10.06
AC9120,SH103166,S-WAIT,59.36
AC9121,SH102316,S-REWT,67.12
AC9122,SH103638,S-ADR,58.40
AC9123,SH100035,S-RES,20.58
AC9124,SH100452,S-REWT,14.67
AC9125,SH103763,S-REWT,29.14
AC9126,SH100559,S-ADR,14.58
AC9127,SH101599,S-ADR,37.04
AC9128,SH102315,S-LIFT,53.58
AC9129,SH103809,S-WAIT,29.49
AC9130,SH101368,S-WAIT,29.50
AC9131,SH102038,S-RES,31.80
AC9132,SH101641,S-ADR,35.29
AC9133,SH101559,S-WAIT,29.84
AC9134,SH103413,S-REWT,48.66
AC9135,SH101485,S-RES,73.41
AC9136,SH102156,S-RES,27.03
AC9137,SH100891,S-RES,65.56
AC9138,SH101734,S-RES,26.87
AC9139,SH102987,S-REWT,67.12
AC9140,SH103538,S-ADR,47.18
AC9141,SH102521,S-WAIT,9.66
AC9142,SH103613,S-REWT,54.32
AC9143,SH101268,S-RES,70.12
AC9144,SH102638,S-WAIT,51.19
AC9145,SH101323,S-ADR,59.46
AC9146,SH101192,S-WAIT,43.07
AC9147,SH102365,S-WAIT,36.68
AC9148,SH101053,S-ADR,37.83
AC9149,SH103308,S-REWT,14.93
AC9150,SH103093,S-RES,65.78
AC9151,SH102579,S-RES,68.72
AC9152,SH100040,S-LIFT,34.60
AC9153,SH103254,S-ADR,35.87
AC9154,SH103602,S-RES,22.86
AC9155,SH101835,S-ADR,47.84
AC9156,SH103861,S-LIFT,83.72
AC9157,SH100706,S-WAIT,60.47
AC9158,SH103705,S-ADR,56.01
AC9159,SH102489,S-WAIT,78.43
AC9160,SH104139,S-LIFT,82.99
AC9161,SH100810,S-WAIT,70.73
AC9162,SH102244,S-RES,54.96
AC9163,SH100366,S-LIFT,81.71
AC9164,SH100676,S-WAIT,42.46
AC9165,SH101288,S-LIFT,26.77
AC9166,SH102917,S-REWT,30.36
AC9167,SH103840,S-WAIT,27.56
AC9168,SH103220,S-REWT,21.51
AC9169,SH101714,S-WAIT,63.81
AC9170,SH100305,S-WAIT,22.85
AC9171,SH100929,S-REWT,67.41
AC9172,SH100027,S-ADR,53.90
AC9173,SH101032,S-LIFT,6.42
AC9174,SH102465,S-WAIT,59.03
AC9175,SH100753,S-RES,31.71
AC9176,SH102390,S-REWT,65.45
AC9177,SH104031,S-LIFT,27.12
AC9178,SH103351,S-ADR,77.05
AC9179,SH104194,S-RES,44.24
AC9180,SH102327,S-ADR,26.33
AC9181,SH102839,S-WAIT,70.58
AC9182,SH100508,S-ADR,72.75
AC9183,SH100871,S-RES,35.42
AC9184,SH104082,S-LIFT,28.47
AC9185,SH103935,S-REWT,33.39
AC9186,SH100837,S-ADR,79.64
AC9187,SH103695,S-RES,4.35
AC9188,SH100647,S-WAIT,72.80
AC9189,SH103437,S-REWT,34.90
AC9190,SH100758,S-WAIT,23.31
AC9191,SH101862,S-ADR,33.12
AC9192,SH103074,S-ADR,56.70
AC9193,SH102650,S-RES,39.99
AC9194,SH102303,S-REWT,9.19
AC9195,SH102152,S-ADR,66.79
AC9196,SH103560,S-REWT,83.42
AC9197,SH101068,S-REWT,8.57
AC9198,SH103103,S-LIFT,56.90
AC9199,SH103547,S-RES,71.47
AC9200,SH103861,S-WAIT,25.00
AC9201,SH103609,S-REWT,71.51
AC9202,SH103904,S-ADR,8.19
AC9203,SH100207,S-REWT,54.75
AC9204,SH103227,S-ADR,48.57
AC9205,SH103801,S-LIFT,6.83
AC9206,SH103382,S-WAIT,73.62
AC9207,SH103520,S-WAIT,26.55
AC9208,SH101783,S-RES,28.75
AC9209,SH101784,S-REWT,42.60
AC9210,SH102710,S-RES,32.71
AC9211,SH100149,S-ADR,41.50
AC9212,SH103002,S-WAIT,62.60
AC9213,SH101774,S-WAIT,23.12
AC9214,SH103586,S-WAIT,18.13
AC9215,SH102538,S-ADR,4.03
AC9216,SH101433,S-RES,70.92
AC9217,SH103211,S-RES,5.95
AC9218,SH100407,S-ADR,12.25
AC9219,SH101372,S-LIFT,23.55
AC9220,SH101919,S-RES,48.94
AC9221,SH103159,S-RES,35.65
AC9222,SH102061,S-LIFT,40.16
AC9223,SH103097,S-REWT,68.89
AC9224,SH100308,S-WAIT,80.50
AC9225,SH102198,S-REWT,46.90
AC9226,SH102027,S-WAIT,27.00
AC9227,SH102208,S-LIFT,56.62
AC9228,SH100719,S-RES,20.97
AC9229,SH102942,S-REWT,19.96
AC9230,SH101552,S-WAIT,31.87
