Id,inv_no,Date,Amount,reason_cd
CN7001,INV-51557,2025-03-07,36.52,RR4
CN7002,INV-52512,2025-11-10,126.69,RR3
CN7003,INV-53355,2025-08-21,194.54,RR3
CN7004,INV-52527,2025-03-02,318.97,RR1
CN7005,INV-53081,2025-07-05,31.76,RR4
CN7006,INV-52765,2025-01-26,66.68,RR2
CN7007,INV-52773,2026-02-27,130.29,RR2
CN7008,INV-50440,2026-03-03,187.41,RR5
CN7009,INV-50783,2025-12-24,26.02,RR4
CN7010,INV-52929,2026-03-07,44.56,RR1
CN7011,INV-50987,2025-06-22,278.17,RR2
CN7012,INV-50808,2025-09-03,221.87,RR2
CN7013,INV-51553,2025-02-08,165.28,RR1
CN7014,INV-52344,2025-04-12,159.97,RR3
CN7015,INV-51221,2025-03-07,99.61,RR5
CN7016,INV-53272,2025-07-06,188.68,RR3
CN7017,INV-50423,2025-03-16,273.57,RR1
CN7018,INV-52573,2025-09-03,227.02,RR5
CN7019,INV-52441,2025-12-11,289.78,RR3
CN7020,INV-51726,2025-06-24,149.02,RR3
CN7021,INV-53402,2025-01-21,232.99,RR3
CN7022,INV-52019,2025-11-19,38.01,RR1
CN7023,INV-51508,2025-02-22,70.42,RR1
CN7024,INV-52157,2025-12-07,168.32,RR3
CN7025,INV-52609,2025-09-23,251.79,RR4
CN7026,INV-50216,2025-05-26,257.15,RR5
CN7027,INV-50548,2025-07-09,165.14,RR4
CN7028,INV-51434,2025-11-26,168.22,RR1
CN7029,INV-53414,2025-10-16,54.42,RR4
CN7030,INV-52638,2025-10-29,120.01,RR3
CN7031,INV-52803,2026-03-30,42.07,RR3
CN7032,INV-51389,2025-08-11,199.49,RR4
CN7033,INV-51555,2025-09-20,300.01,RR2
CN7034,INV-51988,2026-01-19,284.53,RR5
CN7035,INV-51177,2025-11-18,250.69,RR4
CN7036,INV-50483,2025-06-23,108.62,RR2
CN7037,INV-53421,2025-01-08,120.03,RR1
CN7038,INV-52799,2025-06-20,14.50,RR5
CN7039,INV-52715,2025-04-02,123.13,RR1
CN7040,INV-53013,2025-05-19,20.70,RR3
CN7041,INV-50772,2025-09-04,26.82,RR2
CN7042,INV-52273,2026-04-07,17.05,RR3
CN7043,INV-52844,2025-10-20,39.74,RR3
