Id,inv_no,opened,Status,reason_cd,Amount
DSP4001,INV-50369,2025-08-20,RESOLVED,RR1,594.01
DSP4002,INV-51527,2026-05-27,OPEN,RR5,286.11
DSP4003,INV-52797,2025-01-02,REJECTED,X07,454.78
DSP4004,INV-51469,2025-11-13,RESOLVED,RR5,517.97
DSP4005,INV-50722,2025-03-19,OPEN,RR5,169.81
DSP4006,INV-52529,2025-03-29,OPEN,RR2,565.31
DSP4007,INV-52474,2026-01-24,RESOLVED,X07,226.94
DSP4008,INV-51642,2025-10-25,OPEN,RR2,157.27
DSP4009,INV-50370,2025-01-08,RESOLVED,RR2,298.78
DSP4010,INV-50931,2025-10-02,RESOLVED,RR2,388.22
DSP4011,INV-50074,2025-06-01,REJECTED,X07,139.62
DSP4012,INV-50746,2025-07-11,RESOLVED,RR1,142.28
DSP4013,INV-51985,2026-01-05,RESOLVED,RR1,360.92
DSP4014,INV-52948,2026-03-22,RESOLVED,RR5,578.66
DSP4015,INV-51898,2025-09-14,OPEN,RR2,257.67
DSP4016,INV-50367,2025-11-16,RESOLVED,RR1,64.42
DSP4017,INV-52644,2025-03-18,RESOLVED,RR1,311.16
DSP4018,INV-53269,2026-05-07,OPEN,RR2,553.68
DSP4019,INV-52392,2026-05-18,RESOLVED,RR5,89.08
DSP4020,INV-50178,2026-01-06,REJECTED,RR5,420.87
DSP4021,INV-52110,2026-04-11,RESOLVED,RR2,372.56
DSP4022,INV-52423,2025-10-06,OPEN,RR2,87.12
DSP4023,INV-52810,2025-02-24,RESOLVED,RR5,367.89
DSP4024,INV-51833,2026-03-21,RESOLVED,X07,485.96
DSP4025,INV-50820,2025-07-12,REJECTED,RR5,186.06
DSP4026,INV-50715,2025-10-20,RESOLVED,RR2,90.83
DSP4027,INV-51116,2025-06-05,OPEN,RR5,235.43
DSP4028,INV-52878,2025-09-18,RESOLVED,RR5,548.73
DSP4029,INV-51315,2025-02-28,RESOLVED,RR5,577.94
DSP4030,INV-50514,2026-02-06,OPEN,RR1,115.71
DSP4031,INV-50025,2026-03-13,RESOLVED,RR2,236.49
DSP4032,INV-53099,2025-11-06,OPEN,RR5,301.33
DSP4033,INV-52104,2026-03-19,OPEN,X07,478.66
DSP4034,INV-51963,2025-11-12,RESOLVED,RR1,556.21
DSP4035,INV-51731,2026-02-24,OPEN,RR1,479.28
DSP4036,INV-51972,2025-04-06,RESOLVED,RR5,66.64
DSP4037,INV-51721,2025-11-19,RESOLVED,RR1,508.96
DSP4038,INV-51698,2025-11-06,RESOLVED,RR2,254.13
DSP4039,INV-50621,2026-02-25,RESOLVED,RR1,303.24
DSP4040,INV-53033,2025-01-16,RESOLVED,RR5,439.88
DSP4041,INV-50541,2025-04-30,RESOLVED,RR1,254.45
DSP4042,INV-52748,2025-02-17,RESOLVED,RR2,436.15
DSP4043,INV-52108,2026-03-23,OPEN,X07,522.47
DSP4044,INV-52284,2026-02-15,RESOLVED,RR1,461.47
DSP4045,INV-52801,2025-03-07,RESOLVED,RR5,595.37
DSP4046,INV-51841,2025-04-18,OPEN,RR2,45.62
DSP4047,INV-52180,2025-04-26,RESOLVED,RR1,62.63
DSP4048,INV-51491,2025-01-20,RESOLVED,RR2,492.64
DSP4049,INV-51739,2026-01-20,RESOLVED,RR5,361.12
DSP4050,INV-51598,2025-03-05,RESOLVED,X07,390.32
DSP4051,INV-52091,2025-03-28,OPEN,RR1,332.65
DSP4052,INV-51285,2025-12-30,OPEN,RR2,566.39
DSP4053,INV-53081,2026-05-15,OPEN,RR1,339.11
DSP4054,INV-51328,2025-09-05,REJECTED,RR5,289.96
DSP4055,INV-52676,2025-11-07,REJECTED,X07,597.27
DSP4056,INV-52912,2025-10-23,RESOLVED,X07,545.18
DSP4057,INV-50947,2025-01-16,OPEN,RR1,301.26
DSP4058,INV-52868,2025-05-28,RESOLVED,X07,289.36
DSP4059,INV-51558,2025-08-04,RESOLVED,RR2,219.04
DSP4060,INV-53182,2025-04-12,OPEN,RR1,573.57
DSP4061,INV-52833,2026-03-24,REJECTED,RR2,177.96
DSP4062,INV-52827,2025-01-10,RESOLVED,RR1,566.64
DSP4063,INV-51164,2025-11-12,RESOLVED,RR5,39.09
DSP4064,INV-51303,2025-10-11,REJECTED,RR2,157.69
DSP4065,INV-51678,2026-03-06,RESOLVED,X07,429.11
DSP4066,INV-52775,2026-04-20,OPEN,RR1,441.59
DSP4067,INV-50282,2026-05-12,RESOLVED,X07,467.37
DSP4068,INV-51216,2026-01-27,RESOLVED,RR5,151.87
DSP4069,INV-51893,2026-03-17,REJECTED,RR2,467.65
DSP4070,INV-51591,2025-05-29,RESOLVED,RR5,71.35
DSP4071,INV-50652,2026-01-14,RESOLVED,RR5,314.34
DSP4072,INV-51305,2025-03-20,RESOLVED,RR5,88.21
DSP4073,INV-52230,2025-04-10,RESOLVED,RR1,501.28
DSP4074,INV-50390,2025-07-11,RESOLVED,RR1,596.66
DSP4075,INV-51311,2025-05-15,RESOLVED,RR1,66.37
DSP4076,INV-52210,2025-02-23,RESOLVED,RR5,589.69
DSP4077,INV-51429,2025-01-20,REJECTED,RR2,155.95
DSP4078,INV-52630,2025-03-04,OPEN,X07,58.85
DSP4079,INV-50382,2025-12-22,OPEN,X07,486.46
DSP4080,INV-50772,2025-06-16,RESOLVED,RR2,138.32
DSP4081,INV-52194,2026-02-06,REJECTED,X07,271.65
DSP4082,INV-52319,2025-10-02,OPEN,X07,481.69
DSP4083,INV-50960,2025-04-16,RESOLVED,X07,278.16
DSP4084,INV-51719,2025-02-28,RESOLVED,RR5,61.36
DSP4085,INV-51845,2025-03-21,RESOLVED,X07,246.64
DSP4086,INV-52158,2025-05-08,OPEN,X07,375.58
DSP4087,INV-52263,2025-04-05,REJECTED,RR5,596.74
DSP4088,INV-52987,2025-05-17,REJECTED,RR2,139.41
DSP4089,INV-51702,2025-09-15,RESOLVED,RR1,385.80
DSP4090,INV-51941,2026-05-24,OPEN,RR5,66.68
DSP4091,INV-53410,2026-02-26,RESOLVED,X07,307.98
DSP4092,INV-52986,2025-06-25,REJECTED,RR2,317.93
DSP4093,INV-50581,2025-12-20,RESOLVED,X07,298.68
DSP4094,INV-52795,2026-05-22,RESOLVED,X07,507.95
DSP4095,INV-52553,2025-04-16,RESOLVED,X07,325.31
DSP4096,INV-50170,2025-09-21,OPEN,X07,471.40
DSP4097,INV-50246,2025-05-26,RESOLVED,X07,118.11
DSP4098,INV-53245,2025-11-27,RESOLVED,RR1,530.62
DSP4099,INV-51497,2025-11-14,RESOLVED,RR1,31.62
DSP4100,INV-50024,2026-01-27,OPEN,RR5,346.80
DSP4101,INV-53243,2025-04-23,RESOLVED,RR1,477.43
DSP4102,INV-50514,2026-04-06,RESOLVED,X07,549.11
DSP4103,INV-53200,2026-03-05,OPEN,RR2,74.51
DSP4104,INV-50002,2026-02-14,RESOLVED,RR2,189.59
DSP4105,INV-52910,2025-09-18,OPEN,RR2,257.87
DSP4106,INV-51909,2026-05-17,RESOLVED,RR1,298.79
DSP4107,INV-52765,2025-01-01,OPEN,RR1,347.67
DSP4108,INV-50058,2025-05-10,RESOLVED,RR2,51.81
DSP4109,INV-51411,2026-03-28,OPEN,X07,54.84
DSP4110,INV-52177,2025-10-02,RESOLVED,RR1,93.69
DSP4111,INV-52302,2025-11-27,RESOLVED,RR2,14.53
DSP4112,INV-52622,2025-06-06,REJECTED,RR1,238.77
DSP4113,INV-52454,2025-02-15,REJECTED,X07,200.43
