Id,inv_no,Date,acct,ship_no,charge_type,Amount,ccy,tax,Status
IL900001,INV-50001,2025-01-21,P-1036,SH100001,BASE,188.39,GBP,37.68,CREDITED
IL900002,INV-50002,2025-06-10,P-1063,SH100002,BASE,359.12,GBP,71.82,PAID
IL900003,INV-50003,2026-03-18,P-1015,SH100006,BASE,97.02,GBP,19.40,PAID
IL900004,INV-50004,2025-03-21,P-1188,SH100007,BASE,217.41,GBP,43.48,PAID
IL900005,INV-50004,2025-03-21,P-1188,SH100007,FUEL,21.01,GBP,4.20,PAID
IL900006,INV-50005,2025-08-08,P-1185,SH100008,BASE,410.44,GBP,82.09,OPEN
IL900007,INV-50006,2025-09-14,P-1052,SH100009,BASE,807.04,GBP,161.41,PAID
IL900008,INV-50007,2025-01-21,P-1155,SH100010,BASE,89.15,GBP,17.83,PAID
IL900009,INV-50007,2025-01-21,P-1155,SH100010,ACCESSORIAL,28.36,GBP,5.67,PAID
IL900010,INV-50008,2025-09-04,P-1186,SH100011,BASE,331.90,GBP,66.38,OPEN
IL900011,INV-50009,2025-06-01,P-1146,SH100012,BASE,86.28,GBP,17.26,PAID
IL900012,INV-50010,2025-07-01,P-1132,SH100013,BASE,216.17,GBP,43.23,PAID
IL900013,INV-50011,2026-02-17,P-1134,SH100017,BASE,75.02,GBP,15.00,PAID
IL900014,INV-50011,2026-02-17,P-1134,SH100017,FUEL,8.29,GBP,1.66,PAID
IL900015,INV-50012,2025-09-26,P-1082,SH100018,BASE,51.56,EUR,10.31,OPEN
IL900016,INV-50013,2025-03-14,P-1002,SH100020,BASE,215.42,EUR,43.08,CREDITED
IL900017,INV-50014,2025-02-13,P-1023,SH100022,BASE,503.03,EUR,100.61,OPEN
IL900018,INV-50015,2025-01-26,P-1178,SH100023,BASE,114.29,EUR,22.86,PAID
IL900019,INV-50016,2025-07-30,P-1066,SH100024,BASE,460.97,EUR,92.19,VOID
IL900020,INV-50017,2025-03-03,P-1017,SH100025,BASE,77.86,GBP,15.57,OPEN
IL900021,INV-50017,2025-03-03,P-1017,SH100025,FUEL,9.66,GBP,1.93,OPEN
IL900022,INV-50018,2025-04-15,P-1032,SH100027,BASE,544.29,GBP,108.86,PAID
IL900023,INV-50019,2025-01-20,P-1138,SH100029,BASE,571.05,GBP,114.21,OPEN
IL900024,INV-50019,2025-01-20,P-1138,SH100029,FUEL,57.29,GBP,11.46,OPEN
IL900025,INV-50020,2025-05-08,P-1068,SH100031,BASE,60.19,GBP,12.04,OPEN
