Id,inv_no,Date,Amount,method
PMT60001,INV-50002,2025-08-02,477.03,DD
PMT60002,INV-50003,2025-11-20,1215.07,BACS
PMT60003,INV-50004,2025-04-03,207.82,CHEQUE
PMT60004,INV-50006,2026-02-07,1269.19,DD
PMT60005,INV-50007,2026-04-11,162.47,DD
PMT60006,INV-50009,2025-12-14,1130.25,CHEQUE
PMT60007,INV-50010,2025-10-09,152.80,CHEQUE
PMT60008,INV-50011,2025-07-30,467.33,CHEQUE
PMT60009,INV-50015,2025-10-19,741.37,DD
PMT60010,INV-50018,2025-02-09,1429.07,BACS
PMT60011,INV-50021,2025-07-28,1373.66,CHEQUE
PMT60012,INV-50023,2025-01-31,1047.58,CARD
PMT60013,INV-50024,2026-01-02,653.61,CARD
PMT60014,INV-50027,2026-04-04,685.50,BACS
PMT60015,INV-50029,2025-03-20,436.11,DD
PMT60016,INV-50033,2025-07-17,1157.58,DD
PMT60017,INV-50034,2025-04-03,580.92,CARD
PMT60018,INV-50035,2026-03-13,709.12,CARD
PMT60019,INV-50036,2025-05-07,151.74,DD
PMT60020,INV-50037,2026-02-18,1318.64,DD
PMT60021,INV-50039,2026-03-08,293.42,DD
PMT60022,INV-50040,2026-02-25,838.21,DD
PMT60023,INV-50041,2025-04-01,756.04,CARD
PMT60024,INV-50042,2026-05-28,269.49,DD
PMT60025,INV-50043,2025-12-25,1307.84,CARD
PMT60026,INV-50044,2025-08-03,88.70,CARD
PMT60027,INV-50046,2025-04-17,1280.07,BACS
PMT60028,INV-50047,2025-07-08,1249.63,DD
PMT60029,INV-50048,2026-03-22,944.49,CARD
PMT60030,INV-50050,2025-10-26,693.13,CARD
PMT60031,INV-50052,2026-05-04,965.11,CHEQUE
PMT60032,INV-50053,2026-01-19,444.49,BACS
PMT60033,INV-50056,2025-09-01,1162.90,CARD
PMT60034,INV-50059,2025-08-29,262.81,CHEQUE
PMT60035,INV-50060,2026-04-18,1123.67,BACS
PMT60036,INV-50062,2026-03-09,425.05,CHEQUE
PMT60037,INV-50063,2025-06-21,1277.24,CHEQUE
PMT60038,INV-50064,2026-04-22,1129.83,BACS
PMT60039,INV-50066,2025-11-30,1083.77,DD
PMT60040,INV-50068,2025-03-04,251.34,BACS
PMT60041,INV-50069,2025-01-12,898.96,CARD
PMT60042,INV-50070,2025-10-23,611.21,DD
PMT60043,INV-50072,2025-08-31,1352.15,CHEQUE
PMT60044,INV-50073,2026-03-11,350.16,BACS
PMT60045,INV-50074,2025-03-18,1475.25,CARD
PMT60046,INV-50076,2025-09-19,575.23,CHEQUE
PMT60047,INV-50078,2025-06-30,133.43,BACS
PMT60048,INV-50079,2026-01-31,1186.70,BACS
PMT60049,INV-50080,2025-12-10,865.81,DD
PMT60050,INV-50082,2025-05-09,1364.30,CARD
PMT60051,INV-50084,2025-12-09,70.66,BACS
PMT60052,INV-50085,2025-12-30,1124.80,CHEQUE
PMT60053,INV-50086,2025-02-22,161.80,CARD
PMT60054,INV-50087,2025-05-15,1128.19,CHEQUE
PMT60055,INV-50089,2026-02-15,47.37,CHEQUE
PMT60056,INV-50090,2025-06-13,909.60,CARD
PMT60057,INV-50091,2025-03-06,326.58,DD
PMT60058,INV-50092,2025-11-01,1161.85,BACS
PMT60059,INV-50093,2025-04-08,589.56,CARD
PMT60060,INV-50095,2025-09-04,683.59,CHEQUE
PMT60061,INV-50096,2026-01-08,922.37,BACS
PMT60062,INV-50098,2026-05-02,814.70,BACS
PMT60063,INV-50099,2025-09-27,493.79,CARD
