po_no,vend_id,Date,Amount,Status
PO30001,V037,2025-08-17,1700.92,CANCELLED
PO30002,V023,2025-02-10,4693.12,CANCELLED
PO30003,V015,2026-04-13,5999.86,OPEN
PO30004,V001,2025-02-01,7197.90,OPEN
PO30005,V031,2025-11-18,5777.86,RECEIPTED
PO30006,V014,2026-05-27,1577.10,RECEIPTED
PO30007,V031,2026-05-26,5547.22,CANCELLED
PO30008,V014,2025-04-01,4794.22,CANCELLED
PO30009,V036,2025-06-29,7426.46,OPEN
PO30010,V024,2025-04-23,2014.94,OPEN
PO30011,V013,2025-06-07,1476.16,OPEN
PO30012,V007,2026-02-22,6839.49,CANCELLED
PO30013,V031,2025-07-31,4787.95,RECEIPTED
PO30014,V003,2025-03-29,4401.32,CANCELLED
PO30015,V010,2025-09-03,1800.24,OPEN
PO30016,V001,2025-08-25,4710.47,OPEN
PO30017,V021,2025-05-23,3367.75,CANCELLED
PO30018,V019,2026-02-18,4692.39,RECEIPTED
PO30019,V017,2025-02-13,8903.57,RECEIPTED
PO30020,V019,2025-09-16,4142.45,RECEIPTED
PO30021,V032,2025-02-06,1456.97,OPEN
PO30022,V004,2025-05-25,7323.27,RECEIPTED
PO30023,V030,2025-06-01,6692.86,RECEIPTED
PO30024,V040,2025-10-13,3861.80,OPEN
PO30025,V020,2026-04-29,5330.13,RECEIPTED
PO30026,V015,2025-01-02,4842.58,CANCELLED
PO30027,V036,2025-08-22,4363.36,CANCELLED
PO30028,V022,2025-04-20,5814.66,CANCELLED
PO30029,V026,2025-01-26,4639.72,OPEN
PO30030,V009,2025-12-17,6928.54,RECEIPTED
PO30031,V037,2026-05-31,6971.10,RECEIPTED
PO30032,V005,2025-07-08,4067.90,CANCELLED
PO30033,V039,2026-01-20,6653.65,RECEIPTED
PO30034,V021,2026-02-11,1295.06,CANCELLED
PO30035,V031,2026-03-15,681.80,OPEN
PO30036,V008,2025-11-29,68.64,RECEIPTED
PO30037,V030,2025-09-18,3718.64,CANCELLED
PO30038,V014,2025-01-25,2651.99,CANCELLED
PO30039,V036,2025-10-27,5123.21,OPEN
PO30040,V012,2026-03-31,8672.15,RECEIPTED
PO30041,V011,2025-03-09,6737.03,CANCELLED
PO30042,V026,2025-11-21,4466.96,CANCELLED
PO30043,V015,2026-03-17,6799.18,CANCELLED
PO30044,V029,2025-04-23,4903.68,OPEN
PO30045,V005,2025-11-05,2101.19,CANCELLED
PO30046,V029,2025-11-03,5803.09,CANCELLED
PO30047,V035,2025-09-17,1913.62,RECEIPTED
PO30048,V016,2025-09-07,8337.59,RECEIPTED
PO30049,V015,2026-01-30,3876.31,CANCELLED
PO30050,V016,2026-04-16,4547.80,RECEIPTED
PO30051,V008,2025-10-24,5723.78,OPEN
PO30052,V024,2025-04-30,8688.46,CANCELLED
PO30053,V032,2025-01-27,8411.45,CANCELLED
PO30054,V021,2025-08-09,8987.18,OPEN
PO30055,V022,2025-03-31,4932.37,RECEIPTED
PO30056,V038,2026-01-11,6146.42,CANCELLED
PO30057,V027,2025-02-16,8633.54,RECEIPTED
PO30058,V029,2025-07-18,4743.43,CANCELLED
PO30059,V032,2025-04-25,2883.33,OPEN
PO30060,V021,2026-05-10,3270.41,RECEIPTED
PO30061,V003,2025-12-18,1244.23,OPEN
PO30062,V012,2026-02-09,7416.60,CANCELLED
PO30063,V010,2025-07-22,6258.79,CANCELLED
PO30064,V013,2025-03-05,6116.63,OPEN
PO30065,V031,2025-08-07,6903.84,RECEIPTED
PO30066,V031,2025-06-16,4368.79,CANCELLED
PO30067,V025,2026-03-09,4634.77,OPEN
PO30068,V014,2025-08-29,6886.07,RECEIPTED
PO30069,V013,2025-04-24,1757.87,OPEN
PO30070,V039,2026-04-05,508.31,OPEN
PO30071,V028,2025-02-21,495.92,RECEIPTED
PO30072,V027,2025-07-07,3634.90,OPEN
PO30073,V010,2026-01-21,7335.80,CANCELLED
PO30074,V027,2026-02-10,3958.74,RECEIPTED
PO30075,V021,2025-06-25,1790.17,OPEN
PO30076,V007,2025-12-07,7723.86,RECEIPTED
PO30077,V039,2025-06-22,3474.67,CANCELLED
PO30078,V008,2026-05-19,2691.95,CANCELLED
PO30079,V024,2025-07-08,1599.21,CANCELLED
PO30080,V003,2025-11-07,196.02,RECEIPTED
PO30081,V006,2026-05-26,1844.02,CANCELLED
PO30082,V010,2025-05-16,785.53,OPEN
PO30083,V025,2025-04-29,8980.93,RECEIPTED
PO30084,V001,2026-05-14,3832.00,CANCELLED
PO30085,V004,2025-09-13,2271.15,OPEN
PO30086,V005,2025-07-22,6413.36,RECEIPTED
PO30087,V007,2025-11-19,2271.32,RECEIPTED
PO30088,V009,2026-04-19,8486.21,RECEIPTED
PO30089,V023,2025-08-04,4581.32,RECEIPTED
PO30090,V039,2025-06-28,3114.96,CANCELLED
PO30091,V035,2026-03-31,6497.48,OPEN
PO30092,V004,2025-02-28,3900.88,CANCELLED
PO30093,V004,2025-03-25,197.56,CANCELLED
PO30094,V019,2025-02-26,5370.54,CANCELLED
PO30095,V023,2025-12-04,1205.09,RECEIPTED
PO30096,V030,2025-09-06,4957.64,OPEN
PO30097,V024,2025-01-16,3222.93,CANCELLED
PO30098,V038,2025-06-17,5203.25,OPEN
PO30099,V038,2026-01-02,740.82,CANCELLED
PO30100,V028,2025-05-10,6571.93,RECEIPTED
PO30101,V035,2025-03-12,1690.96,RECEIPTED
PO30102,V016,2025-10-29,265.01,OPEN
PO30103,V040,2025-02-01,4109.18,OPEN
PO30104,V024,2026-04-03,5297.37,RECEIPTED
PO30105,V026,2025-04-11,3434.00,RECEIPTED
PO30106,V018,2025-02-19,8404.79,OPEN
PO30107,V017,2025-12-24,6771.25,OPEN
PO30108,V006,2025-02-08,8373.50,RECEIPTED
PO30109,V016,2025-10-17,1226.10,CANCELLED
PO30110,V029,2025-04-14,5379.37,CANCELLED
PO30111,V035,2026-04-05,3113.98,RECEIPTED
PO30112,V031,2026-01-08,3294.79,RECEIPTED
PO30113,V016,2026-04-12,2769.03,CANCELLED
PO30114,V040,2026-01-27,338.48,OPEN
PO30115,V016,2026-05-25,6872.58,OPEN
PO30116,V009,2025-01-14,6248.42,OPEN
PO30117,V007,2025-02-22,4046.84,RECEIPTED
PO30118,V006,2025-10-06,6007.37,RECEIPTED
PO30119,V007,2026-04-26,5275.12,CANCELLED
PO30120,V012,2025-02-19,5545.52,RECEIPTED
PO30121,V030,2025-07-06,7030.31,CANCELLED
PO30122,V004,2026-04-20,6677.28,CANCELLED
PO30123,V005,2025-07-01,340.20,OPEN
PO30124,V038,2025-10-30,4792.00,OPEN
PO30125,V025,2025-05-07,3067.49,OPEN
PO30126,V022,2026-05-13,3040.84,OPEN
PO30127,V030,2026-01-23,1895.96,RECEIPTED
PO30128,V010,2025-11-09,3193.63,OPEN
PO30129,V013,2026-03-13,2872.66,OPEN
PO30130,V029,2025-08-22,5579.79,CANCELLED
PO30131,V012,2025-11-27,8080.54,RECEIPTED
PO30132,V024,2025-11-12,7974.83,CANCELLED
PO30133,V031,2026-03-01,7512.92,CANCELLED
PO30134,V010,2025-02-09,2942.19,CANCELLED
PO30135,V023,2026-04-20,3381.41,RECEIPTED
PO30136,V036,2025-03-06,3649.28,OPEN
PO30137,V018,2026-05-17,7212.86,CANCELLED
PO30138,V038,2025-03-14,7475.39,RECEIPTED
PO30139,V012,2025-08-19,7000.32,RECEIPTED
PO30140,V001,2026-04-21,1515.44,OPEN
PO30141,V021,2025-10-27,5901.97,RECEIPTED
PO30142,V034,2025-02-22,322.09,CANCELLED
PO30143,V016,2025-03-15,8611.47,OPEN
PO30144,V002,2025-12-04,7393.77,OPEN
