Id,carrier_cd,period,Amount,Status
STL0001,GRYP,2025-01,75082.36,APPROVED
STL0002,GRYP,2025-01,68548.23,QUERIED
STL0003,BLTC,2025-01,36237.89,QUERIED
STL0004,GRYP,2025-01,13889.12,QUERIED
STL0005,GRYP,2025-01,28478.02,APPROVED
STL0006,ARRW,2025-01,18142.42,QUERIED
STL0007,BLTC,2025-01,58643.27,QUERIED
STL0008,CDRX,2025-02,72253.19,APPROVED
STL0009,BLTC,2025-02,15787.03,APPROVED
STL0010,ARRW,2025-02,40127.62,APPROVED
STL0011,ARRW,2025-02,65869.77,QUERIED
STL0012,EGRT,2025-02,82492.19,APPROVED
STL0013,DNUB,2025-02,15219.32,QUERIED
STL0014,ARRW,2025-02,77464.68,QUERIED
STL0015,FNCH,2025-03,47501.22,APPROVED
STL0016,ARRW,2025-03,53947.98,QUERIED
STL0017,FNCH,2025-03,74974.20,QUERIED
STL0018,ARRW,2025-03,45266.95,APPROVED
STL0019,GRYP,2025-03,58239.51,QUERIED
STL0020,CDRX,2025-03,33765.12,QUERIED
STL0021,FNCH,2025-03,56044.16,QUERIED
STL0022,FNCH,2025-04,9720.70,QUERIED
STL0023,ARRW,2025-04,51265.19,APPROVED
STL0024,GRYP,2025-04,53418.91,APPROVED
STL0025,BLTC,2025-04,17897.02,APPROVED
STL0026,CDRX,2025-04,33015.20,QUERIED
STL0027,DNUB,2025-04,32122.69,APPROVED
STL0028,ARRW,2025-04,19178.80,APPROVED
STL0029,DNUB,2025-05,59441.50,QUERIED
STL0030,GRYP,2025-05,78336.45,QUERIED
STL0031,BLTC,2025-05,19283.49,APPROVED
STL0032,EGRT,2025-05,84936.91,APPROVED
STL0033,EGRT,2025-05,58563.82,APPROVED
STL0034,EGRT,2025-05,43706.50,QUERIED
STL0035,ARRW,2025-05,45714.65,QUERIED
STL0036,CDRX,2025-06,57622.54,APPROVED
STL0037,BLTC,2025-06,42186.54,APPROVED
STL0038,BLTC,2025-06,76904.24,APPROVED
STL0039,DNUB,2025-06,17730.83,QUERIED
STL0040,GRYP,2025-06,72534.12,APPROVED
STL0041,GRYP,2025-06,87557.41,QUERIED
STL0042,ARRW,2025-06,48010.46,APPROVED
STL0043,EGRT,2025-07,64338.16,APPROVED
STL0044,GRYP,2025-07,61374.36,QUERIED
STL0045,EGRT,2025-07,30325.17,QUERIED
STL0046,GRYP,2025-07,28345.81,QUERIED
STL0047,ARRW,2025-07,69958.67,QUERIED
STL0048,BLTC,2025-07,40499.75,QUERIED
STL0049,CDRX,2025-07,14265.03,APPROVED
STL0050,FNCH,2025-08,27107.69,APPROVED
STL0051,DNUB,2025-08,76733.06,APPROVED
STL0052,BLTC,2025-08,10198.92,QUERIED
STL0053,GRYP,2025-08,78855.04,APPROVED
STL0054,CDRX,2025-08,20758.63,QUERIED
STL0055,EGRT,2025-08,18667.14,APPROVED
STL0056,EGRT,2025-08,17120.43,APPROVED
STL0057,EGRT,2025-09,13753.12,APPROVED
STL0058,GRYP,2025-09,74781.21,APPROVED
STL0059,FNCH,2025-09,29136.31,QUERIED
STL0060,ARRW,2025-09,65733.09,APPROVED
STL0061,GRYP,2025-09,60399.52,APPROVED
STL0062,DNUB,2025-09,53317.73,QUERIED
STL0063,ARRW,2025-09,9081.23,APPROVED
STL0064,FNCH,2025-10,68741.47,APPROVED
STL0065,GRYP,2025-10,86038.59,QUERIED
STL0066,EGRT,2025-10,17674.26,APPROVED
STL0067,DNUB,2025-10,36140.40,APPROVED
STL0068,BLTC,2025-10,46640.47,QUERIED
STL0069,ARRW,2025-10,55713.43,APPROVED
STL0070,GRYP,2025-10,68811.63,QUERIED
STL0071,BLTC,2025-11,29542.50,APPROVED
STL0072,GRYP,2025-11,31048.86,APPROVED
STL0073,GRYP,2025-11,85793.07,QUERIED
STL0074,FNCH,2025-11,26612.51,QUERIED
STL0075,FNCH,2025-11,76500.89,QUERIED
STL0076,EGRT,2025-11,47034.86,QUERIED
STL0077,GRYP,2025-11,69807.51,APPROVED
STL0078,BLTC,2025-12,21727.53,APPROVED
STL0079,ARRW,2025-12,54882.80,QUERIED
STL0080,GRYP,2025-12,38004.57,APPROVED
STL0081,ARRW,2025-12,79069.00,APPROVED
STL0082,BLTC,2025-12,73375.78,APPROVED
STL0083,GRYP,2025-12,56297.63,QUERIED
STL0084,FNCH,2025-12,80581.55,APPROVED
