Id,vin,Date,litres,Amount
FL00001,VIN140,2025-11-29,211.4,240.60
FL00002,VIN174,2025-12-10,210.8,139.25
FL00003,VIN107,2025-10-28,217.5,214.63
FL00004,VIN143,2025-12-29,126.4,68.33
FL00005,VIN169,2026-04-21,228.8,115.90
FL00006,VIN160,2025-09-28,160.6,339.02
FL00007,VIN159,2025-02-19,117.4,169.76
FL00008,VIN151,2025-08-28,178.5,31.94
FL00009,VIN170,2025-02-06,139.1,261.31
FL00010,VIN187,2025-03-15,224.4,213.70
FL00011,VIN169,2025-10-12,24.1,101.52
FL00012,VIN160,2025-02-05,88.7,373.01
FL00013,VIN103,2026-05-14,191.8,107.98
FL00014,VIN178,2025-10-20,162.3,36.83
FL00015,VIN215,2025-09-08,205.2,110.55
FL00016,VIN201,2025-05-11,125.6,113.19
FL00017,VIN199,2025-07-01,86.5,111.50
FL00018,VIN203,2025-07-19,24.3,233.46
FL00019,VIN214,2025-10-25,132.0,45.29
FL00020,VIN158,2025-11-11,204.8,30.35
FL00021,VIN143,2025-08-11,200.7,262.79
FL00022,VIN124,2025-08-02,101.7,101.20
FL00023,VIN129,2025-06-23,85.4,222.16
FL00024,VIN160,2025-10-30,131.4,130.06
FL00025,VIN135,2025-12-05,126.7,350.92
FL00026,VIN133,2025-03-09,74.2,79.75
FL00027,VIN153,2025-01-19,176.5,183.47
FL00028,VIN181,2025-06-11,165.5,360.88
FL00029,VIN125,2025-09-20,141.3,292.62
FL00030,VIN138,2025-05-05,36.3,55.25
FL00031,VIN207,2025-07-29,233.5,70.01
FL00032,VIN174,2025-06-02,33.2,235.85
FL00033,VIN173,2025-01-05,143.9,358.35
FL00034,VIN125,2025-04-06,236.0,229.27
FL00035,VIN138,2025-05-14,234.4,231.89
FL00036,VIN210,2025-02-07,225.0,106.50
FL00037,VIN180,2025-10-20,190.3,151.17
FL00038,VIN203,2025-10-29,157.4,88.78
FL00039,VIN186,2025-02-14,183.0,217.74
FL00040,VIN176,2025-11-22,53.4,100.42
FL00041,VIN215,2026-03-29,173.1,34.92
FL00042,VIN201,2025-12-20,37.4,144.50
FL00043,VIN201,2025-02-20,175.3,141.22
FL00044,VIN138,2026-01-13,172.0,102.34
FL00045,VIN132,2025-06-16,83.3,187.10
FL00046,VIN131,2026-03-05,29.3,217.92
FL00047,VIN164,2025-04-27,130.5,211.13
FL00048,VIN134,2026-03-03,156.8,286.94
FL00049,VIN211,2026-05-04,178.7,230.75
FL00050,VIN159,2025-06-26,67.0,165.62
FL00051,VIN121,2025-11-27,69.7,49.43
FL00052,VIN205,2026-02-04,136.1,53.45
FL00053,VIN184,2026-05-13,153.3,244.28
FL00054,VIN209,2025-02-14,70.4,204.51
FL00055,VIN160,2025-09-30,68.1,375.19
FL00056,VIN158,2025-03-11,74.5,68.59
FL00057,VIN157,2026-03-14,238.6,32.13
FL00058,VIN186,2025-08-22,143.6,78.22
FL00059,VIN152,2026-03-20,225.3,135.99
FL00060,VIN105,2025-06-29,162.7,354.80
FL00061,VIN206,2025-08-29,107.8,112.15
FL00062,VIN124,2025-09-26,141.8,191.15
FL00063,VIN199,2026-01-26,178.3,318.94
FL00064,VIN120,2025-01-17,189.6,208.18
FL00065,VIN216,2026-05-28,139.2,321.30
FL00066,VIN148,2026-05-19,202.4,345.07
FL00067,VIN103,2025-05-12,235.0,96.43
FL00068,VIN154,2025-11-02,47.3,111.28
FL00069,VIN204,2025-04-03,24.6,143.91
FL00070,VIN177,2026-02-08,188.8,188.84
FL00071,VIN146,2025-08-16,203.3,195.37
FL00072,VIN142,2025-04-27,67.3,104.32
FL00073,VIN113,2025-02-13,159.0,375.52
FL00074,VIN122,2026-04-12,113.9,50.39
FL00075,VIN155,2025-02-01,221.4,76.54
FL00076,VIN210,2026-01-18,162.3,132.77
FL00077,VIN165,2025-01-25,164.5,118.10
FL00078,VIN216,2025-07-06,83.4,288.40
FL00079,VIN190,2026-05-21,186.9,332.69
FL00080,VIN124,2025-05-03,131.2,275.35
FL00081,VIN194,2025-06-24,214.7,97.13
FL00082,VIN174,2025-04-15,41.2,230.51
FL00083,VIN205,2026-03-22,201.7,37.85
FL00084,VIN169,2025-12-27,154.2,152.64
FL00085,VIN216,2026-05-03,177.9,154.41
FL00086,VIN136,2025-08-21,94.2,198.46
FL00087,VIN123,2026-01-04,141.9,277.70
FL00088,VIN127,2026-05-17,132.1,274.31
FL00089,VIN206,2025-03-06,147.3,252.49
FL00090,VIN192,2026-04-25,147.2,45.27
FL00091,VIN118,2025-03-12,20.2,128.00
FL00092,VIN157,2025-05-04,166.4,123.06
FL00093,VIN150,2026-05-05,106.7,353.02
FL00094,VIN216,2025-07-22,26.8,49.89
FL00095,VIN101,2025-07-24,170.7,139.81
FL00096,VIN187,2026-05-15,227.6,126.86
FL00097,VIN219,2025-12-27,64.7,214.87
FL00098,VIN156,2025-01-31,217.8,239.38
FL00099,VIN119,2025-01-30,220.6,334.71
FL00100,VIN175,2026-04-25,105.4,133.78
FL00101,VIN219,2025-01-01,93.9,56.24
FL00102,VIN146,2026-03-28,160.2,188.34
FL00103,VIN199,2025-05-15,24.0,227.55
FL00104,VIN112,2026-05-02,99.2,156.19
FL00105,VIN167,2025-11-17,112.2,374.60
FL00106,VIN181,2025-02-07,201.4,110.38
FL00107,VIN102,2026-02-01,197.4,302.92
FL00108,VIN119,2025-07-02,155.1,169.65
FL00109,VIN140,2025-02-10,138.2,70.59
FL00110,VIN157,2026-05-13,27.3,101.33
FL00111,VIN176,2026-02-18,27.7,333.92
FL00112,VIN214,2026-02-21,206.9,172.12
FL00113,VIN180,2025-12-27,201.4,75.67
FL00114,VIN183,2025-06-24,212.1,267.58
FL00115,VIN196,2026-03-01,44.5,325.64
FL00116,VIN168,2025-10-01,80.6,114.71
FL00117,VIN119,2025-04-14,209.2,340.21
FL00118,VIN104,2026-02-27,237.9,166.86
FL00119,VIN136,2025-08-19,128.3,286.68
FL00120,VIN151,2026-03-31,236.3,158.95
FL00121,VIN160,2026-01-09,75.2,102.98
FL00122,VIN123,2025-09-22,197.2,158.14
FL00123,VIN146,2025-03-17,231.9,257.90
FL00124,VIN143,2026-01-09,78.4,122.38
FL00125,VIN212,2025-04-15,228.5,184.59
FL00126,VIN143,2026-01-26,143.8,338.66
FL00127,VIN184,2025-02-21,131.9,246.81
FL00128,VIN125,2026-02-18,140.8,185.31
FL00129,VIN130,2025-09-05,139.5,202.14
FL00130,VIN100,2025-07-17,173.1,145.65
FL00131,VIN105,2026-04-29,176.7,157.30
FL00132,VIN189,2025-03-16,147.2,260.03
FL00133,VIN204,2026-05-08,129.4,31.54
FL00134,VIN142,2025-03-04,88.5,131.88
FL00135,VIN173,2026-01-02,45.5,235.15
FL00136,VIN213,2025-10-08,113.0,301.48
FL00137,VIN211,2025-07-05,114.8,49.89
FL00138,VIN148,2025-02-03,81.5,129.38
FL00139,VIN172,2025-07-28,179.8,297.27
FL00140,VIN134,2025-08-02,90.8,71.51
FL00141,VIN163,2025-06-08,203.8,107.99
FL00142,VIN150,2025-02-21,224.3,33.17
FL00143,VIN217,2026-01-05,113.4,172.37
FL00144,VIN117,2025-06-30,36.5,181.83
FL00145,VIN113,2025-05-30,174.6,239.71
FL00146,VIN161,2025-05-20,47.0,152.98
FL00147,VIN180,2025-05-25,141.9,366.02
FL00148,VIN103,2025-09-29,230.3,160.76
FL00149,VIN214,2025-03-06,37.8,293.09
FL00150,VIN214,2025-04-01,218.5,259.58
FL00151,VIN203,2025-07-30,209.1,310.16
FL00152,VIN189,2026-03-07,227.5,246.69
FL00153,VIN117,2026-02-01,110.6,329.72
FL00154,VIN211,2025-02-05,116.3,92.14
FL00155,VIN111,2026-02-03,35.3,257.18
FL00156,VIN125,2025-11-17,214.0,59.77
FL00157,VIN213,2026-04-26,137.3,40.00
FL00158,VIN160,2026-01-30,97.6,280.58
FL00159,VIN211,2026-01-15,60.0,302.02
FL00160,VIN121,2025-10-09,99.0,193.72
FL00161,VIN103,2025-01-25,30.0,372.21
FL00162,VIN145,2025-12-21,173.6,140.29
FL00163,VIN118,2025-12-26,149.3,160.21
FL00164,VIN158,2025-09-30,47.0,266.84
FL00165,VIN132,2025-07-03,200.4,169.36
FL00166,VIN107,2025-12-15,223.4,289.63
FL00167,VIN105,2026-01-20,166.0,242.30
FL00168,VIN100,2026-04-12,56.3,63.29
FL00169,VIN181,2026-05-25,45.2,48.52
FL00170,VIN154,2025-03-03,178.9,328.03
FL00171,VIN129,2026-02-02,221.6,132.96
FL00172,VIN138,2025-10-04,195.6,306.50
FL00173,VIN214,2025-12-10,121.5,109.75
FL00174,VIN206,2026-04-14,194.7,37.44
FL00175,VIN206,2025-04-14,165.2,97.29
FL00176,VIN138,2026-03-11,42.5,57.37
FL00177,VIN191,2025-11-12,31.6,346.21
FL00178,VIN117,2026-03-02,105.5,337.58
FL00179,VIN124,2025-03-16,37.6,91.40
FL00180,VIN212,2025-03-10,27.3,268.62
FL00181,VIN199,2026-03-11,150.3,278.96
FL00182,VIN197,2025-05-12,238.6,55.83
FL00183,VIN212,2026-02-25,136.9,226.35
FL00184,VIN180,2026-03-16,144.6,324.97
FL00185,VIN167,2025-01-03,150.2,159.16
FL00186,VIN205,2026-05-22,200.2,249.13
FL00187,VIN134,2026-02-28,187.8,72.27
FL00188,VIN103,2025-07-01,75.6,139.90
FL00189,VIN169,2026-05-26,217.8,123.28
FL00190,VIN170,2026-03-27,51.7,267.89
FL00191,VIN156,2025-10-24,228.1,164.26
FL00192,VIN119,2025-12-20,80.3,342.87
FL00193,VIN135,2025-10-21,27.3,195.04
FL00194,VIN201,2025-04-22,56.8,353.93
FL00195,VIN133,2025-06-22,46.0,208.66
FL00196,VIN189,2025-10-07,155.4,238.60
FL00197,VIN187,2025-01-16,82.5,59.23
FL00198,VIN158,2025-08-31,187.4,72.69
FL00199,VIN168,2026-04-19,215.1,245.93
FL00200,VIN189,2026-03-23,39.8,196.28
FL00201,VIN176,2026-04-15,81.9,321.47
FL00202,VIN135,2025-09-08,48.5,269.08
FL00203,VIN202,2026-04-28,82.4,304.65
FL00204,VIN131,2025-04-02,68.4,315.11
FL00205,VIN126,2026-05-16,102.4,58.02
FL00206,VIN174,2026-05-29,61.3,171.80
FL00207,VIN109,2025-08-07,226.5,221.61
FL00208,VIN199,2025-01-22,186.6,101.39
FL00209,VIN159,2025-10-26,153.4,319.98
FL00210,VIN218,2025-08-08,127.4,163.25
FL00211,VIN157,2026-02-06,71.6,164.07
FL00212,VIN151,2025-07-25,181.3,307.18
FL00213,VIN201,2025-09-30,215.8,222.41
FL00214,VIN185,2025-04-12,205.5,178.00
FL00215,VIN187,2026-05-16,152.6,151.53
FL00216,VIN192,2026-05-19,176.9,234.85
FL00217,VIN140,2026-03-14,134.2,341.12
FL00218,VIN121,2025-12-25,106.1,166.59
FL00219,VIN204,2025-04-19,24.2,213.72
FL00220,VIN124,2025-06-21,94.1,139.28
FL00221,VIN133,2025-10-19,113.7,105.59
FL00222,VIN197,2026-03-11,83.9,175.06
FL00223,VIN190,2025-03-15,22.8,205.54
FL00224,VIN204,2025-12-10,113.5,314.00
FL00225,VIN171,2025-07-25,85.7,358.62
FL00226,VIN118,2025-11-26,20.5,161.79
FL00227,VIN139,2026-03-30,31.8,307.04
FL00228,VIN167,2026-05-27,236.5,40.56
FL00229,VIN116,2025-06-16,97.1,193.59
FL00230,VIN194,2025-05-13,178.5,189.95
FL00231,VIN213,2025-06-07,228.2,160.62
FL00232,VIN204,2025-04-08,211.4,258.83
