Id,vin,ts,lat,lon
GP00001,VIN174,2026-03-23 20:59,56.66728,0.84645
GP00002,VIN200,2025-04-27 14:43,54.19118,-3.14075
GP00003,VIN186,2025-07-17 14:14,57.66332,-2.72741
GP00004,VIN109,2026-04-20 14:07,50.92777,-2.39478
GP00005,VIN139,2026-05-04 10:54,56.47790,-1.75756
GP00006,VIN154,2025-08-24 10:01,52.87584,-2.05443
GP00007,VIN104,2025-06-03 11:50,56.26765,0.80946
GP00008,VIN211,2025-07-21 21:06,51.65998,-1.96468
GP00009,VIN211,2025-08-09 18:25,54.28865,-1.62780
GP00010,VIN143,2026-03-11 16:41,50.75036,-2.21896
GP00011,VIN162,2025-10-04 09:44,53.31585,-2.19424
GP00012,VIN133,2025-06-18 16:08,55.69578,-3.31118
GP00013,VIN132,2025-04-11 19:17,53.42646,-1.45707
GP00014,VIN159,2026-01-12 17:19,56.15585,-1.66025
GP00015,VIN156,2026-02-01 08:40,56.16552,-2.76109
GP00016,VIN133,2025-10-26 07:02,50.34896,0.82412
GP00017,VIN142,2025-06-23 07:29,54.21235,-4.78504
GP00018,VIN153,2026-05-10 20:00,54.81760,0.16031
GP00019,VIN134,2025-07-20 16:57,51.96496,-0.38770
GP00020,VIN207,2026-05-13 20:35,52.18996,-2.27408
GP00021,VIN168,2025-03-05 21:24,51.86896,-4.05240
GP00022,VIN137,2025-11-06 13:06,55.10589,-0.89818
GP00023,VIN175,2025-03-08 20:48,56.44150,-0.02186
GP00024,VIN197,2025-08-22 08:24,56.93131,0.73470
GP00025,VIN192,2026-04-12 14:21,54.83607,-1.07864
GP00026,VIN101,2025-07-12 14:53,54.38986,1.08519
GP00027,VIN171,2026-05-16 13:18,50.86140,0.60122
GP00028,VIN107,2026-04-28 17:45,50.71580,-0.05333
GP00029,VIN155,2026-04-06 08:59,50.81662,-1.68553
GP00030,VIN214,2025-01-04 21:57,50.23872,-2.31187
GP00031,VIN188,2026-05-28 19:58,55.85152,-3.58344
GP00032,VIN108,2026-05-22 11:47,51.10415,-5.00550
GP00033,VIN175,2025-03-19 12:04,57.05795,0.36972
GP00034,VIN135,2025-12-07 08:02,52.70071,-2.73874
GP00035,VIN216,2025-08-16 11:11,50.50760,-4.25949
GP00036,VIN154,2025-02-02 09:43,51.62498,-4.93539
GP00037,VIN205,2025-02-12 20:07,57.83526,1.29229
GP00038,VIN138,2025-03-24 12:42,55.64072,-5.24352
GP00039,VIN140,2025-04-10 13:53,51.88106,-1.70556
GP00040,VIN166,2025-11-08 17:26,57.76649,-4.71958
GP00041,VIN208,2025-09-22 11:06,53.63080,-5.04369
GP00042,VIN129,2025-01-05 16:15,53.69431,-2.35000
GP00043,VIN135,2025-06-13 09:01,53.65153,0.77042
GP00044,VIN117,2025-10-30 20:41,53.24144,-2.91617
GP00045,VIN201,2025-11-26 19:46,54.53360,-5.46630
GP00046,VIN143,2025-05-25 15:20,56.12708,1.13898
GP00047,VIN149,2026-02-09 16:38,55.50088,-1.31946
GP00048,VIN176,2026-02-28 15:06,57.36731,-2.31574
GP00049,VIN102,2026-01-14 18:03,50.30980,-3.88662
GP00050,VIN206,2025-11-28 21:23,55.01602,-3.19735
GP00051,VIN202,2025-12-28 20:14,54.28733,0.28143
GP00052,VIN145,2025-07-19 14:15,50.56723,-0.97166
GP00053,VIN197,2025-06-25 19:50,51.76468,-4.40822
GP00054,VIN167,2025-03-23 07:08,50.99935,-5.34221
GP00055,VIN138,2026-03-20 11:31,53.54405,0.11561
GP00056,VIN191,2026-03-23 19:53,52.86649,-1.66145
GP00057,VIN112,2025-03-20 07:05,51.10896,0.89075
GP00058,VIN177,2025-11-07 20:54,57.86898,-3.87293
GP00059,VIN140,2025-09-16 13:38,56.79707,-3.31172
GP00060,VIN210,2025-06-29 06:44,52.98091,-2.85609
GP00061,VIN123,2025-12-24 11:40,52.13405,-0.67354
GP00062,VIN158,2025-11-21 07:38,57.50775,-4.84278
GP00063,VIN137,2025-01-15 20:01,50.72453,1.23241
GP00064,VIN195,2025-04-10 12:00,57.03777,-5.43585
GP00065,VIN130,2025-09-22 12:29,56.74114,0.75413
GP00066,VIN211,2025-08-16 21:56,53.67233,-2.04317
GP00067,VIN124,2025-06-25 18:48,54.10998,-1.97131
GP00068,VIN112,2025-12-19 07:05,55.49474,-1.25838
GP00069,VIN187,2025-12-17 11:03,53.43166,-4.17893
GP00070,VIN162,2025-05-28 14:45,52.90376,-0.37643
GP00071,VIN106,2025-12-04 17:57,57.80603,-1.47143
GP00072,VIN112,2026-04-01 16:31,51.89894,0.76794
GP00073,VIN127,2025-12-13 16:38,56.55250,-3.75771
GP00074,VIN192,2025-09-27 20:20,56.56205,-3.67612
GP00075,VIN103,2025-07-16 17:46,50.77288,-1.14581
GP00076,VIN160,2026-02-03 06:51,52.88946,-2.06701
GP00077,VIN110,2026-04-10 15:53,57.33143,-1.07143
GP00078,VIN170,2026-02-20 11:32,50.19587,-4.32423
GP00079,VIN155,2025-10-06 08:32,54.18706,-3.97850
