Id,Date,vin,drv,severity,description
IN0001,2025-11-10,VIN152,D3085,MAJOR,load shift
IN0002,2025-11-28,VIN114,D3110,MINOR,slip at dock
IN0003,2025-12-10,VIN102,D3007,MINOR,RTC third party
IN0004,2025-05-02,VIN203,D3102,MINOR,slip at dock
IN0005,2025-05-09,VIN136,D3053,MAJOR,reversing scrape
IN0006,2025-08-16,VIN148,D3074,MAJOR,RTC third party
IN0007,2025-06-14,VIN156,D3049,MAJOR,near miss
IN0008,2025-06-13,VIN202,D3106,MAJOR,slip at dock
IN0009,2025-04-02,VIN140,D3111,MINOR,RTC third party
IN0010,2025-10-13,VIN213,D3069,RIDDOR,RTC third party
IN0011,2025-09-27,VIN125,D3059,RIDDOR,slip at dock
IN0012,2025-08-09,VIN212,D3094,MAJOR,slip at dock
IN0013,2026-01-30,VIN212,D3022,MINOR,reversing scrape
IN0014,2025-07-15,VIN131,D3046,MINOR,RTC third party
IN0015,2025-08-17,VIN113,D3000,MINOR,load shift
IN0016,2026-04-24,VIN177,D3055,MAJOR,slip at dock
IN0017,2025-04-16,VIN134,D3115,MINOR,reversing scrape
IN0018,2026-04-23,VIN198,D3070,MINOR,RTC third party
IN0019,2025-08-13,VIN194,D3067,MINOR,RTC third party
IN0020,2025-10-10,VIN195,D3044,MINOR,load shift
IN0021,2025-11-22,VIN179,D3071,MINOR,near miss
IN0022,2025-08-28,VIN187,D3119,RIDDOR,slip at dock
IN0023,2025-07-28,VIN143,D3098,MAJOR,slip at dock
IN0024,2026-01-04,VIN144,D3008,MINOR,RTC third party
IN0025,2026-02-11,VIN161,D3000,MINOR,near miss
IN0026,2025-06-29,VIN193,D3013,RIDDOR,slip at dock
IN0027,2025-03-23,VIN140,D3096,RIDDOR,slip at dock
IN0028,2025-06-17,VIN218,D3020,MAJOR,near miss
IN0029,2026-04-18,VIN158,D3072,MAJOR,RTC third party
IN0030,2025-09-27,VIN199,D3110,MINOR,near miss
IN0031,2025-09-04,VIN189,D3049,MAJOR,reversing scrape
IN0032,2025-03-08,VIN175,D3037,RIDDOR,near miss
IN0033,2025-12-08,VIN205,D3009,RIDDOR,load shift
IN0034,2025-11-29,VIN165,D3092,RIDDOR,slip at dock
IN0035,2026-01-21,VIN136,D3082,MAJOR,slip at dock
IN0036,2026-03-23,VIN127,D3061,RIDDOR,load shift
IN0037,2025-07-01,VIN207,D3111,RIDDOR,reversing scrape
IN0038,2026-01-31,VIN102,D3072,RIDDOR,near miss
IN0039,2025-05-29,VIN153,D3081,MAJOR,near miss
IN0040,2026-04-10,VIN176,D3072,RIDDOR,near miss
IN0041,2025-06-15,VIN124,D3062,MINOR,reversing scrape
IN0042,2025-10-14,VIN197,D3115,MAJOR,reversing scrape
IN0043,2025-06-01,VIN186,D3055,MINOR,reversing scrape
IN0044,2025-02-04,VIN114,D3050,RIDDOR,near miss
IN0045,2025-03-17,VIN200,D3054,RIDDOR,load shift
IN0046,2025-10-22,VIN129,D3027,RIDDOR,RTC third party
IN0047,2025-07-22,VIN170,D3052,MAJOR,near miss
IN0048,2025-03-04,VIN188,D3030,RIDDOR,reversing scrape
IN0049,2026-01-30,VIN125,D3095,MAJOR,near miss
IN0050,2025-02-03,VIN136,D3048,RIDDOR,reversing scrape
IN0051,2025-09-20,VIN153,D3072,MAJOR,near miss
IN0052,2025-04-07,VIN122,D3109,RIDDOR,slip at dock
IN0053,2025-11-22,VIN142,D3091,MAJOR,load shift
IN0054,2026-03-05,VIN193,D3055,RIDDOR,slip at dock
IN0055,2026-03-23,VIN164,D3107,MINOR,RTC third party
IN0056,2026-04-01,VIN167,D3036,MAJOR,load shift
IN0057,2025-09-19,VIN102,D3016,RIDDOR,slip at dock
IN0058,2026-03-11,VIN122,D3061,RIDDOR,slip at dock
IN0059,2026-01-25,VIN145,D3020,RIDDOR,slip at dock
IN0060,2025-04-23,VIN150,D3047,MINOR,near miss
IN0061,2026-01-29,VIN184,D3009,MINOR,slip at dock
IN0062,2025-07-02,VIN158,D3012,MAJOR,slip at dock
IN0063,2026-03-19,VIN209,D3110,MAJOR,reversing scrape
IN0064,2025-07-23,VIN214,D3030,RIDDOR,slip at dock
IN0065,2025-04-07,VIN165,D3104,MAJOR,reversing scrape
IN0066,2025-07-14,VIN197,D3056,MINOR,near miss
IN0067,2025-01-08,VIN205,D3091,MAJOR,near miss
IN0068,2025-01-08,VIN214,D3036,RIDDOR,load shift
IN0069,2025-03-30,VIN218,D3029,RIDDOR,near miss
IN0070,2025-09-21,VIN192,D3070,RIDDOR,load shift
