Id,vin,Date,work_cd,Amount,downtime_hrs
MN0001,VIN143,2026-01-21,MOT,1825.29,15
MN0002,VIN124,2025-12-23,BODYWORK,1826.20,4
MN0003,VIN102,2025-02-11,TYRES,212.79,31
MN0004,VIN119,2026-04-27,BODYWORK,492.89,4
MN0005,VIN162,2025-07-07,SERVICE,1351.22,33
MN0006,VIN124,2026-04-25,BRAKES,1938.25,42
MN0007,VIN111,2025-12-16,TYRES,432.06,17
MN0008,VIN212,2025-02-28,MOT,1089.86,13
MN0009,VIN114,2026-02-02,SERVICE,1878.25,55
MN0010,VIN192,2025-04-02,SERVICE,1868.90,6
MN0011,VIN148,2025-02-14,BRAKES,310.82,23
MN0012,VIN166,2026-05-30,BODYWORK,1588.69,36
MN0013,VIN147,2025-12-31,MOT,174.36,40
MN0014,VIN214,2025-03-23,SERVICE,1314.75,52
MN0015,VIN179,2025-03-24,MOT,1275.40,57
MN0016,VIN156,2026-01-09,SERVICE,2170.14,16
MN0017,VIN167,2025-07-07,BODYWORK,2105.58,1
MN0018,VIN196,2026-02-17,MOT,579.56,4
MN0019,VIN138,2025-08-17,MOT,1949.01,68
MN0020,VIN210,2025-08-16,SERVICE,180.12,53
MN0021,VIN156,2025-03-23,MOT,1255.86,18
MN0022,VIN154,2025-09-17,MOT,369.77,52
MN0023,VIN185,2026-04-14,BRAKES,636.39,55
MN0024,VIN178,2025-08-12,TYRES,1569.94,45
MN0025,VIN166,2025-05-11,BODYWORK,1136.55,32
MN0026,VIN169,2025-06-17,SERVICE,1626.40,14
MN0027,VIN216,2026-03-14,MOT,1462.82,12
MN0028,VIN110,2025-05-01,BRAKES,1601.28,16
MN0029,VIN123,2025-07-21,BRAKES,329.43,50
MN0030,VIN157,2025-06-25,SERVICE,1602.25,22
MN0031,VIN201,2026-04-30,BODYWORK,2117.23,13
MN0032,VIN204,2025-12-03,MOT,700.38,2
MN0033,VIN218,2025-07-23,MOT,2016.22,27
MN0034,VIN116,2025-05-16,BRAKES,1090.10,8
MN0035,VIN122,2025-09-12,BODYWORK,242.04,19
MN0036,VIN103,2026-03-05,BRAKES,1752.28,29
MN0037,VIN179,2025-08-14,TYRES,2103.46,67
MN0038,VIN192,2025-08-10,SERVICE,2171.59,45
MN0039,VIN127,2025-10-08,MOT,1083.84,37
MN0040,VIN118,2025-01-26,SERVICE,1482.22,36
MN0041,VIN164,2026-02-17,BODYWORK,1305.52,50
MN0042,VIN159,2026-03-30,SERVICE,1320.91,69
MN0043,VIN108,2025-10-11,SERVICE,1183.39,16
MN0044,VIN205,2026-05-30,BRAKES,1347.11,45
MN0045,VIN163,2025-01-13,TYRES,519.95,11
MN0046,VIN152,2026-01-26,BRAKES,727.64,45
MN0047,VIN130,2025-08-02,TYRES,2036.90,6
MN0048,VIN113,2025-07-16,SERVICE,2005.15,24
MN0049,VIN216,2025-04-27,BODYWORK,1991.00,47
MN0050,VIN107,2025-10-09,BODYWORK,557.88,3
MN0051,VIN181,2025-11-23,MOT,1786.17,37
MN0052,VIN195,2025-08-14,BODYWORK,1448.41,23
MN0053,VIN193,2025-07-03,BODYWORK,1017.83,24
MN0054,VIN161,2025-07-24,TYRES,1313.95,7
MN0055,VIN112,2025-03-25,TYRES,238.66,37
MN0056,VIN169,2026-05-14,TYRES,1304.80,28
MN0057,VIN204,2025-02-22,BODYWORK,1065.64,21
MN0058,VIN107,2026-04-30,TYRES,705.55,52
MN0059,VIN189,2025-03-27,SERVICE,108.30,47
MN0060,VIN114,2026-04-15,BODYWORK,1380.60,54
MN0061,VIN109,2026-01-06,SERVICE,1972.90,30
MN0062,VIN198,2025-10-11,BODYWORK,721.88,25
MN0063,VIN101,2026-05-29,MOT,822.28,66
MN0064,VIN163,2025-05-17,BRAKES,1539.57,34
MN0065,VIN179,2025-12-21,SERVICE,1587.48,58
MN0066,VIN128,2025-04-11,TYRES,1249.14,42
MN0067,VIN120,2026-02-07,TYRES,436.11,38
MN0068,VIN101,2026-03-29,TYRES,800.98,42
MN0069,VIN150,2026-05-02,MOT,1100.84,12
MN0070,VIN178,2025-10-20,SERVICE,359.95,31
MN0071,VIN132,2025-10-31,SERVICE,468.71,69
MN0072,VIN172,2026-03-01,BRAKES,1578.04,65
MN0073,VIN114,2025-12-10,SERVICE,1108.98,37
MN0074,VIN120,2025-07-11,BODYWORK,239.96,38
MN0075,VIN214,2025-04-23,TYRES,1196.01,55
MN0076,VIN188,2025-04-05,BODYWORK,1881.25,56
MN0077,VIN107,2025-06-23,MOT,517.55,32
MN0078,VIN168,2025-12-15,BRAKES,446.00,53
MN0079,VIN127,2025-03-22,MOT,1773.37,3
MN0080,VIN205,2025-07-15,BRAKES,1520.34,42
MN0081,VIN161,2025-10-25,SERVICE,477.26,48
MN0082,VIN154,2025-02-23,BODYWORK,1944.71,10
MN0083,VIN149,2026-03-10,TYRES,961.06,69
MN0084,VIN156,2025-07-14,MOT,672.72,35
MN0085,VIN170,2025-02-25,SERVICE,675.81,19
MN0086,VIN176,2026-02-16,MOT,265.00,9
MN0087,VIN110,2025-07-26,BODYWORK,1362.71,20
MN0088,VIN215,2025-05-14,BODYWORK,1626.24,15
MN0089,VIN169,2026-05-06,TYRES,723.03,31
MN0090,VIN157,2025-08-31,SERVICE,2181.65,34
MN0091,VIN135,2026-04-09,MOT,2186.57,64
MN0092,VIN170,2026-04-04,BRAKES,148.67,56
MN0093,VIN189,2025-08-14,BRAKES,1190.19,56
MN0094,VIN208,2026-02-12,BODYWORK,1084.75,66
MN0095,VIN109,2025-09-02,TYRES,1986.21,25
MN0096,VIN149,2025-09-12,BRAKES,1739.48,22
MN0097,VIN110,2026-04-26,SERVICE,836.54,36
MN0098,VIN126,2026-02-13,BRAKES,302.28,12
MN0099,VIN198,2025-06-04,MOT,757.95,9
MN0100,VIN134,2025-05-03,MOT,492.69,29
MN0101,VIN144,2026-01-29,BODYWORK,1532.81,62
MN0102,VIN145,2025-07-23,MOT,1580.70,26
MN0103,VIN148,2025-11-21,SERVICE,735.31,60
MN0104,VIN203,2025-05-12,SERVICE,711.85,23
MN0105,VIN195,2025-08-07,MOT,814.51,28
MN0106,VIN209,2025-04-19,BRAKES,1423.32,33
MN0107,VIN153,2025-07-17,BODYWORK,1335.96,9
MN0108,VIN119,2025-08-18,BRAKES,2195.53,35
MN0109,VIN131,2025-06-25,TYRES,2058.43,68
MN0110,VIN100,2026-02-11,MOT,799.27,9
MN0111,VIN143,2025-09-11,BODYWORK,434.00,64
MN0112,VIN181,2026-04-08,BRAKES,206.26,57
MN0113,VIN126,2025-02-27,BODYWORK,1674.31,16
MN0114,VIN188,2025-08-16,BRAKES,664.74,18
MN0115,VIN137,2026-04-06,MOT,1722.53,63
MN0116,VIN154,2025-09-19,MOT,2096.30,70
MN0117,VIN134,2025-09-15,TYRES,93.04,59
MN0118,VIN123,2025-02-14,MOT,1298.64,67
MN0119,VIN163,2026-02-26,BODYWORK,1512.01,30
MN0120,VIN102,2025-06-07,TYRES,98.37,70
MN0121,VIN106,2025-02-27,SERVICE,235.06,47
MN0122,VIN170,2025-03-20,SERVICE,2116.81,57
MN0123,VIN206,2025-11-27,SERVICE,300.38,61
MN0124,VIN212,2025-10-14,BRAKES,109.92,36
MN0125,VIN182,2025-01-31,BRAKES,1471.05,7
MN0126,VIN197,2025-04-30,BRAKES,330.95,36
MN0127,VIN126,2026-01-25,BRAKES,625.47,45
MN0128,VIN166,2025-05-16,TYRES,1541.18,4
MN0129,VIN128,2025-08-07,BODYWORK,1987.96,42
MN0130,VIN125,2025-03-18,BRAKES,137.91,9
MN0131,VIN153,2025-09-27,MOT,1232.46,64
MN0132,VIN131,2026-01-23,BODYWORK,1128.65,68
MN0133,VIN129,2025-02-24,BRAKES,1192.23,41
MN0134,VIN137,2025-04-27,TYRES,2132.21,21
MN0135,VIN112,2025-05-25,BRAKES,1774.36,68
MN0136,VIN171,2025-12-12,TYRES,110.16,61
MN0137,VIN163,2025-01-29,BRAKES,1748.58,50
MN0138,VIN132,2025-02-03,BODYWORK,1476.27,49
MN0139,VIN194,2026-01-09,SERVICE,373.26,68
MN0140,VIN100,2025-02-21,BODYWORK,901.65,57
MN0141,VIN126,2025-02-15,BODYWORK,1564.85,17
MN0142,VIN170,2025-08-01,TYRES,260.34,63
MN0143,VIN168,2025-04-04,BRAKES,1146.62,65
MN0144,VIN112,2025-05-29,BRAKES,232.19,40
MN0145,VIN145,2025-09-21,TYRES,2085.45,47
MN0146,VIN140,2025-05-06,BRAKES,1265.31,51
MN0147,VIN121,2026-04-21,BRAKES,1924.20,26
MN0148,VIN184,2025-02-03,MOT,394.79,40
MN0149,VIN105,2025-04-23,MOT,66.45,46
MN0150,VIN210,2026-01-07,TYRES,1633.56,39
MN0151,VIN113,2025-02-14,BRAKES,198.98,32
MN0152,VIN124,2025-05-09,BRAKES,1974.17,31
MN0153,VIN145,2025-07-27,BRAKES,1970.74,16
MN0154,VIN193,2025-07-31,SERVICE,1734.80,60
MN0155,VIN214,2025-03-20,BODYWORK,914.45,48
MN0156,VIN134,2025-10-03,BRAKES,1619.75,52
MN0157,VIN154,2025-12-04,BODYWORK,1475.47,29
MN0158,VIN128,2025-06-01,MOT,1477.63,7
MN0159,VIN217,2026-04-14,TYRES,859.45,16
MN0160,VIN133,2025-07-24,BODYWORK,1847.99,71
MN0161,VIN179,2025-06-07,BRAKES,744.46,16
MN0162,VIN123,2025-08-03,SERVICE,672.12,71
MN0163,VIN159,2026-03-02,SERVICE,259.70,71
MN0164,VIN108,2025-06-09,MOT,1753.55,29
MN0165,VIN181,2025-09-18,BODYWORK,380.88,37
MN0166,VIN185,2026-04-23,TYRES,1754.72,24
MN0167,VIN119,2025-09-14,TYRES,1852.12,19
MN0168,VIN214,2026-05-11,SERVICE,1952.88,30
MN0169,VIN207,2025-09-12,MOT,1123.28,2
MN0170,VIN102,2026-02-14,BRAKES,1353.08,54
MN0171,VIN176,2025-08-04,BRAKES,706.92,62
MN0172,VIN103,2025-12-11,MOT,1907.70,57
MN0173,VIN178,2025-10-15,MOT,1175.61,39
MN0174,VIN146,2025-02-03,TYRES,2092.36,37
MN0175,VIN146,2025-09-06,MOT,1875.97,24
MN0176,VIN201,2025-05-14,BRAKES,2112.93,21
MN0177,VIN160,2025-10-23,BRAKES,330.34,68
MN0178,VIN210,2026-04-07,BODYWORK,2055.33,64
MN0179,VIN176,2026-01-23,BODYWORK,486.31,6
MN0180,VIN164,2025-11-25,SERVICE,1566.55,35
MN0181,VIN155,2025-03-23,TYRES,1783.81,56
MN0182,VIN120,2026-02-21,BODYWORK,1163.10,49
MN0183,VIN184,2025-10-17,MOT,1907.64,27
MN0184,VIN203,2025-02-01,BRAKES,2026.91,37
MN0185,VIN210,2026-03-31,BODYWORK,2180.18,34
MN0186,VIN218,2025-01-29,BRAKES,1698.75,33
MN0187,VIN196,2025-02-24,TYRES,149.69,39
MN0188,VIN190,2026-01-02,TYRES,1753.95,9
MN0189,VIN141,2025-12-27,SERVICE,1251.79,43
MN0190,VIN166,2025-11-21,BODYWORK,933.26,11
MN0191,VIN189,2025-02-06,TYRES,1055.25,30
MN0192,VIN148,2026-05-26,BRAKES,1702.33,18
