door_id,loc_nbr,door_type
DD001,L-235,LEVEL
DD002,L-250,LEVEL
DD003,L-260,RAISED
DD004,L-241,RAMP
DD005,L-206,RAISED
DD006,L-255,LEVEL
DD007,L-211,RAISED
DD008,L-256,LEVEL
DD009,L-256,LEVEL
DD010,L-220,RAISED
DD011,L-250,LEVEL
DD012,L-216,LEVEL
DD013,L-205,RAISED
DD014,L-206,LEVEL
DD015,L-231,LEVEL
DD016,L-225,LEVEL
DD017,L-241,LEVEL
DD018,L-231,RAISED
DD019,L-225,RAMP
DD020,L-201,LEVEL
DD021,L-231,RAISED
DD022,L-205,RAISED
DD023,L-205,LEVEL
DD024,L-211,RAISED
DD025,L-221,LEVEL
DD026,L-225,LEVEL
DD027,L-226,RAISED
DD028,L-260,RAISED
DD029,L-246,LEVEL
DD030,L-255,RAMP
DD031,L-231,RAMP
DD032,L-241,LEVEL
DD033,L-221,RAMP
DD034,L-205,RAMP
DD035,L-226,RAISED
DD036,L-246,LEVEL
DD037,L-246,RAISED
DD038,L-251,RAMP
DD039,L-205,LEVEL
DD040,L-260,RAISED
DD041,L-216,LEVEL
DD042,L-255,LEVEL
DD043,L-240,LEVEL
DD044,L-231,LEVEL
DD045,L-250,RAMP
DD046,L-211,LEVEL
DD047,L-240,LEVEL
DD048,L-210,LEVEL
DD049,L-230,RAISED
DD050,L-256,RAISED
DD051,L-210,RAISED
DD052,L-235,RAISED
DD053,L-230,RAISED
DD054,L-236,LEVEL
DD055,L-215,RAMP
DD056,L-245,RAISED
DD057,L-220,LEVEL
DD058,L-201,RAISED
DD059,L-216,LEVEL
DD060,L-255,RAMP
DD061,L-240,LEVEL
DD062,L-260,LEVEL
DD063,L-245,RAMP
DD064,L-240,RAISED
DD065,L-230,RAMP
DD066,L-220,RAISED
DD067,L-241,RAISED
DD068,L-235,RAISED
DD069,L-240,RAMP
DD070,L-245,RAISED
DD071,L-251,RAMP
DD072,L-240,RAISED
DD073,L-205,RAISED
DD074,L-216,LEVEL
DD075,L-215,RAMP
DD076,L-241,RAISED
DD077,L-236,LEVEL
DD078,L-250,LEVEL
DD079,L-256,RAMP
DD080,L-215,RAMP
DD081,L-240,RAISED
DD082,L-260,RAMP
DD083,L-235,LEVEL
DD084,L-235,LEVEL
DD085,L-226,LEVEL
DD086,L-260,LEVEL
DD087,L-250,RAMP
DD088,L-235,LEVEL
DD089,L-246,LEVEL
DD090,L-221,LEVEL
