lane_id,orig,dest,distance_km
LN0001,L-255,L-224,73
LN0002,L-227,L-256,588
LN0003,L-257,L-214,469
LN0004,L-252,L-251,489
LN0005,L-204,L-248,356
LN0006,L-233,L-252,305
LN0007,L-252,L-259,684
LN0008,L-242,L-238,468
LN0009,L-218,L-246,197
LN0010,L-208,L-207,912
LN0011,L-217,L-216,133
LN0012,L-255,L-259,587
LN0013,L-237,L-238,121
LN0014,L-210,L-203,497
LN0015,L-255,L-239,357
LN0016,L-202,L-252,585
LN0017,L-214,L-219,452
LN0018,L-213,L-212,613
LN0019,L-221,L-219,54
LN0020,L-217,L-237,144
LN0021,L-237,L-218,830
LN0022,L-243,L-220,776
LN0023,L-221,L-240,482
LN0024,L-251,L-224,495
LN0025,L-220,L-232,660
LN0026,L-227,L-248,691
LN0027,L-252,L-213,658
LN0028,L-202,L-239,45
LN0029,L-226,L-229,897
LN0030,L-203,L-218,243
LN0031,L-233,L-208,369
LN0032,L-234,L-243,464
LN0033,L-259,L-232,288
LN0034,L-246,L-206,514
LN0035,L-254,L-208,793
LN0036,L-228,L-231,559
LN0037,L-238,L-240,674
LN0038,L-255,L-246,88
LN0039,L-232,L-255,600
LN0040,L-232,L-222,679
LN0041,L-260,L-258,508
LN0042,L-220,L-251,764
LN0043,L-232,L-220,519
LN0044,L-235,L-206,307
LN0045,L-212,L-236,700
LN0046,L-232,L-252,906
LN0047,L-213,L-210,826
LN0048,L-212,L-219,651
LN0049,L-257,L-218,702
LN0050,L-241,L-207,280
LN0051,L-226,L-246,798
LN0052,L-242,L-222,529
LN0053,L-246,L-222,97
LN0054,L-202,L-253,568
LN0055,L-237,L-230,266
LN0056,L-208,L-234,614
LN0057,L-233,L-228,657
LN0058,L-205,L-218,93
LN0059,L-239,L-230,653
LN0060,L-248,L-203,660
LN0061,L-226,L-215,541
LN0062,L-211,L-209,436
LN0063,L-212,L-249,449
LN0064,L-218,L-225,578
LN0065,L-226,L-233,230
LN0066,L-218,L-201,313
LN0067,L-242,L-243,424
LN0068,L-260,L-208,683
LN0069,L-256,L-233,376
LN0070,L-248,L-217,53
LN0071,L-211,L-201,704
LN0072,L-239,L-242,269
LN0073,L-239,L-257,216
LN0074,L-225,L-212,594
LN0075,L-245,L-203,402
LN0076,L-228,L-230,704
LN0077,L-204,L-259,523
LN0078,L-229,L-204,261
LN0079,L-222,L-235,92
LN0080,L-237,L-255,64
LN0081,L-204,L-233,781
LN0082,L-203,L-218,715
LN0083,L-213,L-241,678
LN0084,L-211,L-240,425
LN0085,L-207,L-217,515
LN0086,L-239,L-236,209
LN0087,L-251,L-254,205
LN0088,L-238,L-213,29
LN0089,L-249,L-215,644
LN0090,L-214,L-207,614
LN0091,L-236,L-225,844
LN0092,L-238,L-201,785
LN0093,L-247,L-253,896
LN0094,L-259,L-243,539
LN0095,L-239,L-247,416
LN0096,L-210,L-242,535
LN0097,L-254,L-249,442
LN0098,L-245,L-211,233
LN0099,L-243,L-232,624
LN0100,L-220,L-237,71
LN0101,L-234,L-242,543
LN0102,L-217,L-238,548
LN0103,L-253,L-244,366
LN0104,L-256,L-258,109
LN0105,L-254,L-213,495
LN0106,L-229,L-235,455
LN0107,L-232,L-254,830
LN0108,L-204,L-219,582
LN0109,L-206,L-240,300
LN0110,L-253,L-212,884
LN0111,L-245,L-242,652
LN0112,L-202,L-224,275
LN0113,L-224,L-242,451
LN0114,L-235,L-239,720
LN0115,L-259,L-258,789
LN0116,L-240,L-221,934
LN0117,L-222,L-227,365
LN0118,L-218,L-232,352
LN0119,L-230,L-206,90
LN0120,L-260,L-202,168
LN0121,L-202,L-231,204
LN0122,L-217,L-202,244
LN0123,L-235,L-214,535
LN0124,L-213,L-235,907
LN0125,L-204,L-245,799
LN0126,L-215,L-221,565
LN0127,L-209,L-233,787
LN0128,L-215,L-256,717
LN0129,L-260,L-232,730
LN0130,L-207,L-215,394
LN0131,L-217,L-232,468
LN0132,L-238,L-257,770
LN0133,L-208,L-218,897
LN0134,L-216,L-258,450
LN0135,L-227,L-205,143
LN0136,L-222,L-230,782
LN0137,L-234,L-214,122
LN0138,L-237,L-232,258
LN0139,L-211,L-214,228
LN0140,L-206,L-218,907
LN0141,L-247,L-235,774
LN0142,L-233,L-254,58
LN0143,L-244,L-248,52
LN0144,L-210,L-252,182
LN0145,L-203,L-240,181
LN0146,L-236,L-242,402
LN0147,L-242,L-239,285
LN0148,L-232,L-243,275
LN0149,L-259,L-212,922
LN0150,L-219,L-208,488
LN0151,L-203,L-260,526
LN0152,L-218,L-239,607
LN0153,L-242,L-202,715
LN0154,L-234,L-243,812
LN0155,L-240,L-233,561
LN0156,L-254,L-238,211
LN0157,L-221,L-218,938
LN0158,L-244,L-245,463
LN0159,L-254,L-239,565
LN0160,L-214,L-201,449
