party_key,Id,Name,Status,Date,segment,region_cd
P-1001,CRM87376,Crest Pharma-Free PLC,A,2023-09-12,RESELLER,R6
P-1002,CRM75996,Orchard Outdoors Holdings,A,2024-03-29,SME,R4
P-1003,CRM89204,Tundra Beverages Holdings,A,2025-11-01,RESELLER,R1
P-1004,CRM69044,Vector Packaging Ltd,A,2025-04-04,RESELLER,R3
P-1005,CRM70030,Forge Marine PLC,A,2025-05-06,PUBLIC,R5
P-1006,CRM67929,Orchard Textiles Holdings,A,2024-12-02,RESELLER,R3
P-1007,CRM86614,Pinnacle Garden Holdings,A,2024-09-06,ENTERPRISE,R6
P-1008,CRM52043,Lumen Pharma-Free Trading,A,2022-06-03,SME,R5
P-1009,CRM72508,Solstice Electrics Ltd,A,2025-06-23,ENTERPRISE,R1
P-1010,CRM50589,Ember Textiles & Co,C,2025-03-23,PUBLIC,R6
P-1011,CRM70349,Yarrow Chemicals Group,A,2024-10-19,SME,R3
P-1012,CRM52872,Crest Paper Trading,A,2023-10-27,RESELLER,R6
P-1013,CRM86826,Alfa Chemicals & Co,A,2023-08-20,PUBLIC,R2
P-1014,CRM74290,Bravo Pharma-Free Holdings,A,2024-12-25,RESELLER,R1
P-1015,CRM51161,Alfa Marine Holdings,C,2022-05-24,RESELLER,R3
P-1016,CRM70678,Orchard Electrics Holdings,A,2025-02-11,ENTERPRISE,R3
P-1017,CRM66947,Ember Builders Trading,A,2022-11-14,SME,R2
P-1018,CRM46576,Rampart Packaging Holdings,A,2022-01-06,SME,R1
P-1019,CRM70453,Vector Retail PLC,A,2023-06-25,PUBLIC,R3
P-1020,CRM75441,Orchard Foods PLC,A,2025-09-11,SME,R5
P-1021,CRM98996,Tundra Chemicals PLC,A,2022-10-19,PUBLIC,R2
P-1022,CRM78815,Vector Pharma-Free Holdings,A,2024-03-31,RESELLER,R3
P-1023,CRM99895,Lumen Electrics & Co,A,2024-09-02,SME,R5
P-1024,CRM99642,Solstice Components Holdings,C,2025-11-14,ENTERPRISE,R2
P-1025,CRM73823,Rampart Textiles Group,A,2024-08-20,RESELLER,R6
P-1026,CRM64891,Granite Builders Ltd,C,2022-07-04,SME,R4
P-1027,CRM82989,Wexford Outdoors Holdings,A,2025-09-09,RESELLER,R5
P-1028,CRM63916,Solstice Paper Holdings,A,2022-02-02,SME,R1
P-1029,CRM79129,Orchard Beverages PLC,A,2022-04-28,RESELLER,R1
P-1030,CRM56698,Umbra Retail PLC,A,2023-07-22,ENTERPRISE,R5
P-1031,CRM44654,Crest Beverages Trading,A,2025-04-22,PUBLIC,R3
P-1032,CRM46560,Wexford Chemicals PLC,A,2025-06-02,RESELLER,R4
P-1033,CRM46004,Crest Components & Co,A,2025-04-02,SME,R2
P-1034,CRM60838,Alfa Chemicals & Co,A,2022-12-16,PUBLIC,R2
P-1035,CRM85722,Crest Electrics Holdings,A,2023-12-03,SME,R2
P-1036,CRM90683,Forge Motors PLC,C,2023-07-04,ENTERPRISE,R1
P-1037,CRM42946,Juno Retail & Co,A,2025-12-16,SME,R5
P-1038,CRM43644,Granite Electrics Holdings,A,2023-01-07,RESELLER,R5
