vin,reg_no,class_cd,depot,Status
VIN100,KU37 KHR,VC2,L-205,IN_SERVICE
VIN101,GE63 SLT,VC4,L-216,IN_SERVICE
VIN102,HX11 LSL,VC2,L-231,IN_SERVICE
VIN103,NG74 BNB,VC4,L-226,IN_SERVICE
VIN104,DP64 STO,VC1,L-230,IN_SERVICE
VIN105,PV67 PWO,VC5,L-235,VOR
VIN106,MD23 ACN,VC1,L-255,IN_SERVICE
VIN107,AM20 NWG,VC2,L-210,IN_SERVICE
VIN108,DE23 PFE,VC1,L-210,IN_SERVICE
VIN109,FN39 PPO,VC3,L-260,IN_SERVICE
VIN110,LW65 KFT,VC2,L-216,IN_SERVICE
VIN111,LB36 FWG,VC2,L-221,IN_SERVICE
VIN112,UC39 GKX,VC4,L-240,IN_SERVICE
VIN113,LS13 KYP,VC1,L-260,IN_SERVICE
VIN114,DV68 DKS,VC4,L-220,IN_SERVICE
VIN115,OC35 BTP,VC5,L-225,IN_SERVICE
VIN116,VK14 BUA,VC4,L-216,IN_SERVICE
VIN117,XS36 UET,VC3,L-210,VOR
VIN118,DR14 VRE,VC4,L-205,IN_SERVICE
VIN119,EG14 YGT,VC3,L-221,IN_SERVICE
VIN120,AD55 VSB,VC2,L-260,VOR
VIN121,LX56 RTP,VC1,L-250,IN_SERVICE
VIN122,EY17 RUL,VC5,L-240,IN_SERVICE
VIN123,NE55 KNE,VC3,L-246,IN_SERVICE
VIN124,NV37 HLG,VC2,L-251,VOR
VIN125,UO72 BHU,VC1,L-225,IN_SERVICE
VIN126,VW48 WTT,VC4,L-251,IN_SERVICE
VIN127,CR57 DMN,VC4,L-201,IN_SERVICE
VIN128,CF19 BMK,VC2,L-221,IN_SERVICE
VIN129,OY18 DCY,VC5,L-211,IN_SERVICE
VIN130,CY56 UTK,VC3,L-226,VOR
VIN131,AP44 RGX,VC3,L-216,IN_SERVICE
VIN132,EK36 KYA,VC5,L-250,IN_SERVICE
VIN133,YB27 VDF,VC5,L-231,IN_SERVICE
VIN134,EX39 PXA,VC2,L-246,IN_SERVICE
VIN135,GK10 RGU,VC3,L-245,VOR
VIN136,HK39 KKG,VC4,L-206,VOR
VIN137,EU12 MGY,VC2,L-260,DISPOSED
VIN138,EF62 NNA,VC1,L-225,DISPOSED
VIN139,CB22 UGS,VC4,L-211,IN_SERVICE
VIN140,KH28 KMM,VC3,L-205,IN_SERVICE
VIN141,MX66 UWU,VC2,L-251,IN_SERVICE
VIN142,LN72 DCO,VC1,L-260,IN_SERVICE
VIN143,EM67 TRP,VC5,L-220,IN_SERVICE
VIN144,HS65 MAO,VC4,L-251,IN_SERVICE
VIN145,PU33 KFB,VC1,L-230,VOR
VIN146,NC42 RPD,VC1,L-245,IN_SERVICE
VIN147,UG51 SEV,VC2,L-256,IN_SERVICE
VIN148,HW64 EAV,VC2,L-231,VOR
VIN149,MK52 PDN,VC4,L-236,IN_SERVICE
