bin_id,loc_nbr,bin_capacity_m3
B0001,L-221,3.3
B0002,L-206,0.7
B0003,L-201,3.5
B0004,L-235,2.3
B0005,L-205,1.8
B0006,L-226,2.7
B0007,L-236,5.4
B0008,L-250,1.5
B0009,L-221,5.5
B0010,L-205,1.2
B0011,L-246,0.8
B0012,L-211,3.4
B0013,L-206,5.0
B0014,L-251,4.8
B0015,L-231,5.3
B0016,L-225,0.8
B0017,L-235,1.4
B0018,L-240,2.4
B0019,L-246,1.2
B0020,L-201,5.4
B0021,L-245,4.5
B0022,L-250,2.8
B0023,L-251,2.9
B0024,L-241,3.4
B0025,L-256,2.2
B0026,L-216,2.9
B0027,L-226,5.7
B0028,L-241,3.2
B0029,L-226,5.5
B0030,L-216,2.1
B0031,L-246,1.7
B0032,L-216,5.2
B0033,L-210,4.7
B0034,L-215,1.1
B0035,L-256,0.8
B0036,L-230,5.0
B0037,L-251,2.7
B0038,L-220,2.5
B0039,L-205,4.3
B0040,L-251,3.7
B0041,L-205,5.6
B0042,L-206,0.9
B0043,L-211,3.7
B0044,L-225,4.8
B0045,L-206,2.9
B0046,L-205,3.8
B0047,L-210,1.3
B0048,L-225,1.9
B0049,L-210,4.5
B0050,L-220,4.3
B0051,L-201,4.7
B0052,L-241,1.1
B0053,L-215,4.7
B0054,L-215,5.0
B0055,L-246,0.9
B0056,L-210,4.8
B0057,L-246,3.9
B0058,L-230,1.5
B0059,L-260,2.0
B0060,L-240,3.4
B0061,L-236,5.4
B0062,L-246,3.0
B0063,L-246,3.3
B0064,L-205,1.7
B0065,L-255,2.5
B0066,L-201,5.6
B0067,L-225,4.9
B0068,L-250,4.0
B0069,L-210,2.4
B0070,L-220,5.0
B0071,L-245,3.6
B0072,L-255,1.4
B0073,L-236,4.1
B0074,L-251,1.2
B0075,L-205,1.5
B0076,L-236,5.7
B0077,L-260,5.2
B0078,L-241,1.0
B0079,L-231,1.8
B0080,L-260,5.2
B0081,L-216,4.0
B0082,L-241,2.9
B0083,L-210,5.1
B0084,L-206,3.1
B0085,L-230,2.5
B0086,L-211,2.4
B0087,L-225,2.1
B0088,L-206,1.0
B0089,L-201,3.1
B0090,L-226,5.5
B0091,L-245,2.2
B0092,L-245,5.6
B0093,L-250,0.8
B0094,L-235,3.3
B0095,L-205,6.0
B0096,L-226,5.2
B0097,L-221,2.8
B0098,L-205,2.3
B0099,L-246,1.8
B0100,L-241,1.2
B0101,L-245,4.2
B0102,L-201,1.9
B0103,L-216,0.6
B0104,L-211,4.7
B0105,L-205,2.5
B0106,L-231,4.4
B0107,L-260,3.9
B0108,L-201,2.0
B0109,L-250,4.5
B0110,L-251,5.9
B0111,L-250,4.6
B0112,L-231,5.4
B0113,L-255,4.5
B0114,L-255,1.1
B0115,L-246,2.7
B0116,L-206,3.9
B0117,L-250,5.2
B0118,L-245,1.0
B0119,L-205,3.8
B0120,L-245,2.5
B0121,L-260,4.4
B0122,L-260,3.9
B0123,L-230,2.1
B0124,L-230,4.8
B0125,L-246,1.5
B0126,L-221,4.0
B0127,L-255,3.5
B0128,L-215,4.7
B0129,L-236,5.5
B0130,L-256,1.6
B0131,L-221,0.9
B0132,L-206,3.4
B0133,L-235,5.6
B0134,L-235,1.9
B0135,L-236,2.9
B0136,L-236,4.5
B0137,L-255,3.8
B0138,L-246,2.7
B0139,L-251,1.9
B0140,L-231,2.4
B0141,L-255,3.0
B0142,L-205,4.5
B0143,L-221,3.9
B0144,L-241,2.8
B0145,L-226,1.1
B0146,L-235,3.4
B0147,L-251,1.8
B0148,L-260,1.3
B0149,L-216,5.2
B0150,L-230,2.3
B0151,L-205,6.0
B0152,L-221,4.4
B0153,L-260,3.9
B0154,L-216,5.4
B0155,L-260,3.8
B0156,L-201,2.0
B0157,L-211,4.7
B0158,L-256,1.4
B0159,L-235,0.9
B0160,L-230,4.5
B0161,L-210,4.0
B0162,L-226,2.3
B0163,L-235,5.9
B0164,L-205,3.7
B0165,L-245,0.5
B0166,L-230,5.3
B0167,L-226,4.4
B0168,L-211,2.2
B0169,L-246,5.2
B0170,L-210,1.1
B0171,L-221,5.4
B0172,L-220,2.0
B0173,L-260,2.0
B0174,L-256,1.2
B0175,L-250,5.8
B0176,L-216,2.1
B0177,L-240,1.5
B0178,L-245,3.3
B0179,L-226,2.1
B0180,L-236,4.4
B0181,L-240,5.0
B0182,L-206,1.1
B0183,L-240,1.5
B0184,L-201,2.5
B0185,L-206,4.4
B0186,L-231,3.2
B0187,L-240,0.7
B0188,L-205,1.8
B0189,L-250,4.2
B0190,L-235,1.7
B0191,L-220,1.1
B0192,L-255,3.3
B0193,L-226,0.5
B0194,L-240,5.4
B0195,L-255,0.7
B0196,L-245,4.8
B0197,L-256,4.6
B0198,L-211,4.6
B0199,L-226,1.6
B0200,L-206,4.2
