Id,ship_ref,Date,claim_type,Amount,Status,settled_amount
CLM5001,SH100050,2026-03-13,DAMAGE,571.58,FILED,
CLM5002,SH100055,2025-01-01,DAMAGE,1506.28,SETTLED,794.41
CLM5003,SH100068,2025-12-25,DAMAGE,742.70,SETTLED,403.71
CLM5004,SH100087,2025-06-04,LOSS,696.24,SETTLED,445.57
CLM5005,SH100112,2025-01-18,DAMAGE,79.31,SETTLED,34.97
CLM5006,SH100141,2025-10-13,DAMAGE,1634.38,SETTLED,733.30
CLM5007,SH100152,2025-12-10,DAMAGE,1278.86,FILED,
CLM5008,SH100260,2025-11-29,LOSS,258.74,DENIED,
CLM5009,SH100291,2026-03-09,DAMAGE,221.80,SETTLED,108.17
CLM5010,SH100321,2026-03-27,DAMAGE,420.77,FILED,
CLM5011,SH100329,2025-03-18,DAMAGE,2376.05,DENIED,
CLM5012,SH100330,2025-04-12,DAMAGE,1950.89,SETTLED,1363.04
CLM5013,SH100380,2025-06-26,DAMAGE,278.23,SETTLED,138.78
CLM5014,SH100449,2026-02-08,LOSS,1723.85,DENIED,
CLM5015,SH100462,2025-04-24,DELAY,2149.87,DENIED,
CLM5016,SH100490,2025-07-03,DAMAGE,2239.90,SETTLED,2071.39
CLM5017,SH100500,2025-08-26,DAMAGE,193.26,SETTLED,154.29
CLM5018,SH100519,2025-04-22,DAMAGE,631.93,DENIED,
CLM5019,SH100546,2025-11-18,LOSS,379.69,SETTLED,284.10
CLM5020,SH100547,2025-10-12,DAMAGE,1236.12,SETTLED,605.26
CLM5021,SH100554,2025-06-23,LOSS,1533.87,SETTLED,468.74
CLM5022,SH100575,2026-03-20,LOSS,131.59,SETTLED,49.21
CLM5023,SH100591,2025-06-02,DAMAGE,2115.40,SETTLED,1134.42
CLM5024,SH100604,2025-02-18,DAMAGE,1512.60,SETTLED,564.45
CLM5025,SH100630,2025-11-08,DAMAGE,454.10,DENIED,
CLM5026,SH100651,2025-03-14,DAMAGE,2385.91,SETTLED,2248.81
CLM5027,SH100658,2026-05-08,DAMAGE,845.41,SETTLED,361.62
CLM5028,SH100664,2025-03-06,DAMAGE,893.45,SETTLED,310.61
CLM5029,SH100755,2025-02-04,LOSS,358.38,SETTLED,220.75
CLM5030,SH100826,2025-04-07,DELAY,349.90,SETTLED,290.93
CLM5031,SH100854,2026-03-02,DAMAGE,881.28,SETTLED,517.11
CLM5032,SH100867,2026-01-28,DAMAGE,1925.10,SETTLED,1062.00
CLM5033,SH100868,2025-12-18,DAMAGE,2210.51,DENIED,
CLM5034,SH100871,2025-09-29,DAMAGE,2336.97,FILED,
CLM5035,SH100880,2025-02-01,DELAY,2184.94,SETTLED,1459.29
CLM5036,SH100925,2025-01-19,DELAY,2335.65,FILED,
CLM5037,SH100939,2026-03-21,DELAY,96.42,SETTLED,38.87
CLM5038,SH100942,2025-01-24,DAMAGE,627.59,SETTLED,460.59
CLM5039,SH100949,2025-11-17,DAMAGE,2221.35,FILED,
CLM5040,SH100970,2026-05-01,LOSS,2090.74,SETTLED,1303.46
CLM5041,SH101008,2025-03-24,DAMAGE,1309.79,SETTLED,857.29
