Id,ship_ref,msg_type,ts,Status
EDI70001,SH103805,990,2025-01-28 15:39,NACK
EDI70002,SH103387,990,2026-04-10 15:20,PENDING
EDI70003,SH104107,997,2026-04-04 07:38,PENDING
EDI70004,SH102137,214,2025-03-02 06:07,PENDING
EDI70005,SH103968,997,2025-08-19 21:49,NACK
EDI70006,SH103943,214,2025-11-08 20:13,NACK
EDI70007,SH102962,997,2025-08-02 17:00,ACK
EDI70008,SH101100,214,2025-08-08 06:19,NACK
EDI70009,SH100318,210,2025-11-26 12:00,NACK
EDI70010,SH101889,210,2025-05-22 17:40,ACK
EDI70011,SH100471,214,2026-03-11 07:15,NACK
EDI70012,SH100069,210,2025-06-16 10:15,ACK
EDI70013,SH103870,997,2025-09-18 06:10,ACK
EDI70014,SH100498,214,2025-06-18 09:16,ACK
EDI70015,SH101503,997,2025-10-30 20:50,PENDING
EDI70016,SH100638,214,2026-05-21 15:28,PENDING
EDI70017,SH100797,997,2025-05-06 12:53,PENDING
EDI70018,SH100138,990,2025-05-01 20:54,ACK
EDI70019,SH103011,990,2026-05-15 06:34,ACK
EDI70020,SH104000,990,2025-07-07 21:05,ACK
EDI70021,SH103841,990,2025-08-01 13:32,PENDING
EDI70022,SH100032,997,2025-05-03 14:05,PENDING
EDI70023,SH100919,214,2026-01-05 16:47,ACK
EDI70024,SH103307,997,2025-02-24 14:09,PENDING
EDI70025,SH100611,214,2026-03-23 18:36,NACK
EDI70026,SH104109,990,2025-10-23 11:17,NACK
EDI70027,SH104007,997,2025-06-19 11:50,ACK
EDI70028,SH100015,997,2026-02-08 16:08,ACK
EDI70029,SH100278,990,2025-06-18 16:46,NACK
EDI70030,SH100820,990,2025-03-19 06:49,ACK
EDI70031,SH101612,997,2025-06-12 11:27,ACK
EDI70032,SH103330,210,2026-03-13 08:17,NACK
EDI70033,SH102414,214,2025-05-30 18:05,PENDING
EDI70034,SH100357,997,2025-09-08 07:29,ACK
EDI70035,SH101438,210,2025-12-10 06:39,NACK
EDI70036,SH103763,210,2025-04-15 06:44,NACK
EDI70037,SH102653,990,2025-03-17 20:49,PENDING
EDI70038,SH103264,210,2025-06-25 10:11,PENDING
EDI70039,SH102478,210,2025-08-08 19:02,PENDING
EDI70040,SH104032,997,2025-07-09 15:05,PENDING
EDI70041,SH102895,210,2026-04-05 14:28,PENDING
EDI70042,SH104061,997,2025-09-03 11:14,ACK
EDI70043,SH101061,210,2025-05-17 15:53,NACK
EDI70044,SH102213,210,2025-12-21 13:20,NACK
EDI70045,SH101683,210,2025-04-20 14:43,ACK
EDI70046,SH100465,214,2025-03-23 16:49,NACK
EDI70047,SH103259,210,2026-05-02 10:48,ACK
EDI70048,SH101162,210,2025-01-11 10:39,NACK
EDI70049,SH100005,997,2026-04-04 20:34,PENDING
EDI70050,SH100952,210,2025-06-12 06:56,ACK
EDI70051,SH100147,210,2025-01-24 20:34,ACK
EDI70052,SH101151,990,2025-08-19 10:10,NACK
EDI70053,SH102622,210,2025-12-26 20:06,PENDING
EDI70054,SH103287,210,2025-07-20 11:51,PENDING
EDI70055,SH103855,210,2025-10-01 10:18,ACK
EDI70056,SH100635,214,2025-11-03 11:09,NACK
EDI70057,SH101974,990,2025-02-03 13:35,PENDING
EDI70058,SH102320,990,2025-08-24 18:52,ACK
EDI70059,SH100360,997,2025-10-17 07:54,NACK
EDI70060,SH102018,990,2026-04-24 20:52,ACK
EDI70061,SH102059,214,2025-02-21 08:37,NACK
EDI70062,SH101893,214,2025-09-15 18:03,NACK
EDI70063,SH101569,990,2025-05-21 20:45,PENDING
EDI70064,SH101181,997,2025-01-15 13:48,ACK
EDI70065,SH100147,997,2025-08-02 21:18,NACK
EDI70066,SH101845,990,2025-02-25 13:20,ACK
EDI70067,SH101887,210,2026-02-24 19:48,ACK
EDI70068,SH100594,210,2026-05-30 12:34,ACK
EDI70069,SH100403,990,2025-07-20 08:35,PENDING
EDI70070,SH102736,210,2025-03-11 07:56,ACK
EDI70071,SH102437,214,2025-10-01 18:29,PENDING
EDI70072,SH100145,997,2025-07-15 07:04,PENDING
EDI70073,SH103497,997,2025-01-11 21:25,NACK
EDI70074,SH103890,990,2026-05-25 09:50,PENDING
EDI70075,SH104088,997,2025-01-04 08:48,PENDING
EDI70076,SH102842,990,2026-04-26 12:27,NACK
EDI70077,SH103416,997,2025-03-11 09:21,NACK
EDI70078,SH100700,997,2026-03-24 09:59,PENDING
EDI70079,SH102589,214,2025-04-30 16:27,NACK
EDI70080,SH104152,997,2025-08-03 11:28,PENDING
EDI70081,SH100426,990,2025-02-18 06:11,NACK
EDI70082,SH103577,990,2025-04-19 21:11,NACK
EDI70083,SH101689,214,2025-10-20 10:23,ACK
EDI70084,SH104035,210,2025-02-12 19:12,NACK
EDI70085,SH100434,990,2025-04-07 10:32,NACK
EDI70086,SH103048,997,2026-02-08 07:15,NACK
EDI70087,SH101465,210,2025-11-04 17:28,NACK
EDI70088,SH100029,997,2025-06-06 18:58,NACK
EDI70089,SH100431,214,2025-11-13 13:11,ACK
EDI70090,SH100214,997,2025-03-02 17:49,ACK
EDI70091,SH102405,210,2026-04-26 15:03,ACK
EDI70092,SH104199,990,2025-08-16 12:06,PENDING
EDI70093,SH101928,214,2025-10-16 17:16,ACK
EDI70094,SH103861,990,2025-07-29 07:05,PENDING
EDI70095,SH102539,210,2025-03-01 18:37,NACK
EDI70096,SH101969,210,2025-07-19 13:02,ACK
EDI70097,SH103963,997,2025-06-10 10:33,NACK
EDI70098,SH102965,990,2025-02-07 17:24,PENDING
EDI70099,SH103205,997,2025-02-09 12:59,NACK
EDI70100,SH101095,210,2025-11-12 16:40,ACK
EDI70101,SH102936,210,2025-01-06 08:30,PENDING
EDI70102,SH100385,997,2026-03-25 10:01,PENDING
EDI70103,SH100281,214,2026-01-05 09:42,PENDING
EDI70104,SH103188,210,2026-02-09 12:45,NACK
EDI70105,SH103308,210,2025-05-05 12:03,NACK
EDI70106,SH101460,214,2025-10-07 21:53,ACK
EDI70107,SH101685,214,2025-12-18 08:04,PENDING
EDI70108,SH100292,997,2025-04-11 16:41,PENDING
EDI70109,SH102209,997,2025-02-25 16:23,ACK
EDI70110,SH102732,214,2026-03-14 08:37,PENDING
EDI70111,SH100468,210,2025-11-17 11:43,NACK
EDI70112,SH101478,990,2025-09-09 08:36,NACK
EDI70113,SH101826,997,2025-03-31 07:00,NACK
EDI70114,SH102419,214,2025-03-06 12:03,NACK
EDI70115,SH103994,997,2026-02-03 07:08,NACK
EDI70116,SH102192,990,2025-01-17 18:01,PENDING
EDI70117,SH101833,997,2026-02-14 07:03,NACK
EDI70118,SH102010,214,2026-05-20 20:13,NACK
EDI70119,SH103074,990,2025-04-20 10:27,NACK
EDI70120,SH103651,997,2025-12-07 09:39,PENDING
EDI70121,SH103003,997,2026-05-30 18:54,NACK
EDI70122,SH101947,214,2025-02-13 19:39,PENDING
EDI70123,SH103326,990,2025-05-27 10:01,NACK
EDI70124,SH102703,990,2026-04-16 18:31,PENDING
EDI70125,SH103974,997,2025-05-27 16:26,PENDING
EDI70126,SH101144,214,2026-05-25 16:07,NACK
EDI70127,SH103896,214,2025-05-12 09:29,ACK
EDI70128,SH102728,210,2025-03-13 21:38,ACK
EDI70129,SH103445,210,2026-01-30 07:48,PENDING
EDI70130,SH104172,214,2026-01-23 16:51,PENDING
EDI70131,SH103075,997,2025-02-16 17:33,NACK
EDI70132,SH100685,990,2026-05-08 06:13,NACK
EDI70133,SH102993,214,2026-01-15 10:10,ACK
EDI70134,SH100358,214,2026-02-17 10:49,ACK
EDI70135,SH102998,990,2025-12-19 11:18,PENDING
EDI70136,SH101049,990,2025-09-28 21:11,ACK
EDI70137,SH104071,990,2026-04-25 17:36,PENDING
