Id,ship_ref,Date,exc_cd,note
EX20001,SH102386,2026-05-22,X03,see CS ticket
EX20002,SH100182,2026-03-20,X04,auto-flag
EX20003,SH100984,2025-11-14,X07,see CS ticket
EX20004,SH100145,2025-12-09,X08,see CS ticket
EX20005,SH103178,2025-09-08,X07,see CS ticket
EX20006,SH102120,2025-05-30,X08,driver note
EX20007,SH103330,2025-06-14,X04,
EX20008,SH102522,2025-12-06,X08,see CS ticket
EX20009,SH100604,2025-08-03,X08,driver note
EX20010,SH100051,2025-09-13,X01,
EX20011,SH101711,2026-03-13,X08,auto-flag
EX20012,SH101353,2026-03-30,X02,auto-flag
EX20013,SH102401,2025-07-15,X03,see CS ticket
EX20014,SH103225,2026-03-15,X01,
EX20015,SH103302,2026-03-08,X05,see CS ticket
EX20016,SH100381,2025-12-19,X03,driver note
EX20017,SH102072,2026-02-27,X01,see CS ticket
EX20018,SH100055,2025-01-20,X03,
EX20019,SH103810,2026-01-20,X07,driver note
EX20020,SH103416,2025-06-01,X03,
EX20021,SH102784,2025-05-18,X07,
EX20022,SH103163,2025-02-16,X01,
EX20023,SH103527,2026-05-28,X05,driver note
EX20024,SH101845,2025-08-20,X08,
EX20025,SH102298,2026-01-09,X04,see CS ticket
EX20026,SH100850,2026-03-26,X08,driver note
EX20027,SH101693,2025-04-03,X06,driver note
EX20028,SH103082,2025-06-15,X04,see CS ticket
EX20029,SH101297,2025-12-06,X08,driver note
EX20030,SH104182,2026-03-29,X06,driver note
EX20031,SH102821,2025-08-07,X01,auto-flag
EX20032,SH103335,2026-04-25,X08,auto-flag
EX20033,SH101279,2026-05-29,X05,driver note
EX20034,SH101634,2025-01-17,X03,auto-flag
EX20035,SH101993,2025-05-07,X03,driver note
EX20036,SH102587,2025-03-07,X06,
EX20037,SH101126,2026-05-08,X04,
EX20038,SH101414,2025-09-04,X06,driver note
EX20039,SH100939,2025-08-29,X05,driver note
EX20040,SH103904,2025-08-14,X05,auto-flag
EX20041,SH101755,2025-05-09,X08,auto-flag
EX20042,SH102259,2025-09-07,X06,see CS ticket
EX20043,SH100005,2025-09-16,X06,driver note
EX20044,SH103502,2025-06-03,X01,driver note
EX20045,SH100188,2025-05-28,X02,see CS ticket
EX20046,SH100540,2025-01-18,X07,
EX20047,SH101956,2025-03-30,X01,
EX20048,SH100054,2026-02-12,X01,
EX20049,SH101651,2025-09-03,X04,
EX20050,SH103901,2025-04-16,X02,auto-flag
EX20051,SH103464,2025-08-26,X01,
EX20052,SH100760,2025-03-22,X01,driver note
EX20053,SH103975,2025-11-24,X07,driver note
EX20054,SH101201,2025-03-19,X04,
EX20055,SH103510,2025-08-19,X01,see CS ticket
EX20056,SH101306,2025-01-02,X04,auto-flag
EX20057,SH104111,2025-03-03,X05,
EX20058,SH103587,2025-06-13,X08,driver note
EX20059,SH101845,2025-11-15,X05,
EX20060,SH102856,2025-09-27,X01,
EX20061,SH100343,2025-04-17,X02,auto-flag
EX20062,SH102793,2026-05-18,X07,driver note
EX20063,SH100952,2025-04-08,X05,see CS ticket
EX20064,SH100295,2026-01-06,X02,
EX20065,SH104186,2025-08-08,X08,see CS ticket
EX20066,SH104047,2025-01-17,X07,
EX20067,SH100746,2025-09-28,X08,auto-flag
EX20068,SH101970,2026-02-18,X05,see CS ticket
EX20069,SH104047,2025-07-22,X08,auto-flag
EX20070,SH102653,2025-09-01,X07,
EX20071,SH102535,2025-09-05,X05,see CS ticket
EX20072,SH101593,2025-08-04,X05,
EX20073,SH103657,2025-11-15,X03,see CS ticket
EX20074,SH103512,2025-07-08,X02,driver note
EX20075,SH100083,2025-12-27,X06,auto-flag
EX20076,SH101620,2025-05-06,X02,see CS ticket
EX20077,SH104065,2025-05-11,X06,see CS ticket
EX20078,SH102426,2026-02-26,X07,driver note
EX20079,SH100337,2025-04-13,X06,auto-flag
EX20080,SH101578,2025-12-05,X07,driver note
EX20081,SH100638,2026-04-06,X08,
EX20082,SH103016,2025-08-31,X05,driver note
EX20083,SH103120,2026-04-25,X01,
EX20084,SH103310,2025-10-10,X02,auto-flag
EX20085,SH100245,2025-03-27,X03,see CS ticket
EX20086,SH103261,2025-04-23,X02,auto-flag
EX20087,SH102488,2026-05-22,X02,see CS ticket
EX20088,SH103697,2026-01-25,X08,see CS ticket
EX20089,SH101112,2025-08-03,X08,driver note
EX20090,SH101834,2025-01-30,X06,driver note
EX20091,SH102495,2025-03-11,X02,
EX20092,SH101988,2026-03-04,X05,auto-flag
EX20093,SH101941,2026-04-16,X01,auto-flag
EX20094,SH100521,2026-02-05,X04,driver note
EX20095,SH102132,2025-09-04,X04,
EX20096,SH101420,2025-04-16,X01,auto-flag
EX20097,SH100517,2025-11-07,X04,see CS ticket
EX20098,SH103869,2026-02-01,X06,auto-flag
EX20099,SH103268,2025-04-17,X06,see CS ticket
EX20100,SH101101,2026-05-14,X08,see CS ticket
EX20101,SH102263,2026-04-01,X01,driver note
EX20102,SH100186,2026-01-24,X08,auto-flag
EX20103,SH101725,2025-11-17,X02,see CS ticket
EX20104,SH101666,2025-08-26,X08,see CS ticket
EX20105,SH102675,2025-12-15,X06,
EX20106,SH100243,2026-01-16,X03,driver note
EX20107,SH103909,2026-05-10,X08,see CS ticket
EX20108,SH100104,2025-12-30,X05,
EX20109,SH100181,2025-06-09,X05,see CS ticket
EX20110,SH102910,2025-06-10,X06,driver note
EX20111,SH104176,2025-07-28,X07,see CS ticket
EX20112,SH102898,2025-02-11,X02,driver note
EX20113,SH103191,2025-09-21,X01,
EX20114,SH100951,2025-06-17,X07,
EX20115,SH100332,2025-04-10,X04,driver note
EX20116,SH102113,2025-04-06,X04,see CS ticket
EX20117,SH103556,2026-04-07,X05,auto-flag
EX20118,SH101535,2025-03-26,X06,
EX20119,SH102216,2025-03-08,X03,
EX20120,SH100444,2026-01-05,X03,
EX20121,SH101276,2025-12-26,X03,see CS ticket
EX20122,SH100713,2025-08-01,X06,driver note
EX20123,SH101647,2026-01-15,X05,
EX20124,SH102638,2025-08-09,X05,driver note
EX20125,SH101540,2025-05-06,X01,
EX20126,SH100726,2025-12-17,X08,see CS ticket
EX20127,SH103018,2026-03-20,X05,driver note
EX20128,SH100225,2026-01-14,X03,see CS ticket
EX20129,SH102487,2025-09-28,X03,
EX20130,SH101953,2025-10-24,X06,auto-flag
EX20131,SH103090,2026-03-02,X03,auto-flag
EX20132,SH104045,2026-01-12,X03,driver note
EX20133,SH102502,2026-02-13,X02,auto-flag
EX20134,SH100122,2025-02-18,X03,auto-flag
EX20135,SH101547,2026-01-28,X04,auto-flag
EX20136,SH102169,2025-10-01,X08,auto-flag
EX20137,SH101518,2026-03-09,X05,driver note
EX20138,SH101729,2025-05-29,X06,see CS ticket
EX20139,SH102253,2025-07-31,X05,
EX20140,SH103020,2026-01-06,X06,
EX20141,SH101305,2025-04-03,X02,auto-flag
EX20142,SH103250,2026-04-02,X08,
EX20143,SH101444,2025-06-15,X08,driver note
EX20144,SH100017,2025-12-23,X08,
EX20145,SH101367,2025-04-22,X05,see CS ticket
EX20146,SH101920,2026-05-18,X07,driver note
EX20147,SH100484,2025-07-09,X04,auto-flag
EX20148,SH103036,2026-05-25,X02,see CS ticket
EX20149,SH102238,2026-05-04,X04,see CS ticket
EX20150,SH101901,2025-02-15,X06,driver note
EX20151,SH104030,2025-05-27,X06,driver note
EX20152,SH100256,2025-09-19,X08,
EX20153,SH102157,2025-04-04,X03,driver note
EX20154,SH102100,2025-11-19,X05,auto-flag
EX20155,SH101094,2025-02-15,X05,auto-flag
EX20156,SH101714,2025-06-08,X05,see CS ticket
EX20157,SH104198,2025-12-11,X08,see CS ticket
EX20158,SH101856,2025-02-16,X01,see CS ticket
EX20159,SH101633,2025-12-31,X02,driver note
EX20160,SH100033,2026-02-07,X04,
EX20161,SH102590,2025-11-06,X08,see CS ticket
EX20162,SH101784,2025-09-14,X02,see CS ticket
EX20163,SH102190,2025-03-30,X02,see CS ticket
EX20164,SH100144,2026-05-24,X06,see CS ticket
EX20165,SH100558,2025-04-23,X07,driver note
EX20166,SH100620,2026-04-08,X07,auto-flag
EX20167,SH103893,2025-11-26,X08,driver note
EX20168,SH100181,2025-12-07,X01,auto-flag
EX20169,SH102218,2025-12-29,X05,
EX20170,SH101393,2026-02-15,X05,driver note
EX20171,SH101257,2025-01-07,X08,see CS ticket
EX20172,SH102523,2025-05-02,X02,driver note
EX20173,SH103488,2025-04-21,X04,driver note
EX20174,SH103786,2026-01-30,X01,see CS ticket
EX20175,SH101903,2025-10-20,X02,driver note
EX20176,SH100585,2025-04-21,X03,auto-flag
EX20177,SH102209,2025-04-29,X06,see CS ticket
EX20178,SH101723,2026-01-13,X04,
EX20179,SH102984,2025-03-25,X08,
EX20180,SH102404,2026-05-17,X06,auto-flag
EX20181,SH102434,2026-01-07,X02,
EX20182,SH102185,2026-03-23,X01,see CS ticket
EX20183,SH101495,2025-08-14,X07,driver note
EX20184,SH100365,2025-12-25,X05,driver note
EX20185,SH102107,2025-01-30,X02,auto-flag
EX20186,SH100631,2025-01-18,X08,see CS ticket
EX20187,SH103603,2025-06-04,X06,auto-flag
EX20188,SH101995,2025-06-13,X08,auto-flag
EX20189,SH102328,2025-10-15,X05,see CS ticket
EX20190,SH102770,2025-12-06,X04,
EX20191,SH100772,2025-06-06,X08,driver note
EX20192,SH102127,2026-01-17,X05,see CS ticket
