Id,ship_ref,seq,from_loc,to_loc,veh,drv,START,END,Amount,Status
MV700001,SH100001,1,L-246,L-222,VIN209,D3001,2025-01-06 11:26,2025-01-06 19:03,220.60,DONE
MV700002,SH100002,1,L-244,L-231,VIN121,D3074,2025-06-01 09:15,2025-06-01 20:15,55.86,DONE
MV700003,SH100002,2,L-231,L-229,VIN147,D3062,2025-06-02 17:50,2025-06-02 11:53,55.04,DONE
MV700004,SH100004,1,L-241,L-216,VIN115,D3071,2025-01-15 06:21,,275.46,ABORTED
MV700005,SH100006,1,L-241,L-205,VIN167,D3069,2026-03-19 20:13,2026-03-19 10:05,208.94,DONE
MV700006,SH100006,2,L-205,L-258,VIN106,D3014,2026-03-20 13:26,2026-03-21 07:29,236.21,DONE
MV700007,SH100007,1,L-216,L-214,VIN101,D3103,2025-03-06 14:16,2025-03-07 18:14,60.45,DONE
MV700008,SH100008,1,L-241,L-229,VIN110,D3078,2025-07-28 12:53,2025-07-29 11:42,79.32,DONE
MV700009,SH100009,1,L-206,L-211,VIN172,D3007,2025-09-04 20:59,2025-09-04 10:36,280.39,DONE
MV700010,SH100009,2,L-211,L-251,VIN121,D3119,2025-09-05 09:21,2025-09-06 09:34,187.46,DONE
MV700011,SH100010,1,L-215,L-206,VIN213,D3088,2025-01-19 09:55,2025-01-19 16:49,249.28,DONE
MV700012,SH100011,1,L-202,L-246,VIN131,D3038,2025-08-26 09:57,2025-08-27 21:31,263.32,DONE
MV700013,SH100011,2,L-246,L-209,VIN164,D3027,2025-08-27 19:50,2025-08-28 10:16,403.53,DONE
MV700014,SH100012,1,L-204,L-252,VIN138,D3032,2025-05-19 18:11,2025-05-19 12:38,160.06,DONE
MV700015,SH100013,1,L-259,L-206,VIN131,D3035,2025-07-01 14:07,2025-07-01 06:21,129.13,DONE
MV700016,SH100015,1,L-201,L-225,VIN161,D3087,2026-02-18 14:00,2026-02-18 06:18,117.98,DONE
MV700017,SH100015,2,L-225,L-231,VIN203,D3032,2026-02-18 20:17,,41.73,PLANNED
MV700018,SH100017,1,L-221,L-237,VIN215,D3060,2026-02-09 08:22,2026-02-09 11:29,286.61,DONE
MV700019,SH100018,1,L-244,L-231,VIN186,D3067,2025-09-21 17:37,2025-09-21 20:09,353.16,DONE
