Id,cust_ref,req_date,window_start,window_end,Status
PU50001,P-1176,2025-03-10,07:00,15:00,CANCELLED
PU50002,P-1093,2026-03-05,10:00,15:00,MISSED
PU50003,P-1213,2025-08-29,09:00,16:00,MISSED
PU50004,P-1018,2026-03-29,08:00,18:00,FULFILLED
PU50005,P-1142,2026-02-19,09:00,14:00,FULFILLED
PU50006,P-1219,2025-07-11,10:00,16:00,MISSED
PU50007,P-1068,2025-03-24,11:00,16:00,FULFILLED
PU50008,P-1087,2026-03-29,07:00,17:00,FULFILLED
PU50009,P-1062,2025-07-24,07:00,13:00,MISSED
PU50010,P-1168,2025-12-05,10:00,15:00,MISSED
PU50011,P-1204,2025-04-22,10:00,16:00,MISSED
PU50012,P-1117,2026-02-09,08:00,17:00,MISSED
PU50013,P-1053,2025-02-12,07:00,14:00,CANCELLED
PU50014,P-1200,2026-04-09,11:00,14:00,FULFILLED
PU50015,P-1200,2025-05-07,07:00,16:00,MISSED
PU50016,P-1202,2025-09-14,11:00,16:00,MISSED
PU50017,P-1110,2025-05-04,11:00,17:00,CANCELLED
PU50018,P-1037,2025-05-03,08:00,15:00,CANCELLED
PU50019,P-1144,2025-04-06,11:00,17:00,CANCELLED
PU50020,P-1234,2025-03-16,10:00,15:00,CANCELLED
PU50021,P-1213,2025-08-01,10:00,14:00,CANCELLED
PU50022,P-1037,2025-11-15,10:00,18:00,MISSED
PU50023,P-1074,2025-02-21,10:00,15:00,MISSED
PU50024,P-1031,2025-05-11,09:00,16:00,MISSED
PU50025,P-1056,2025-12-15,08:00,15:00,CANCELLED
PU50026,P-1142,2026-05-13,10:00,17:00,CANCELLED
PU50027,P-1144,2025-11-04,11:00,13:00,CANCELLED
PU50028,P-1077,2026-03-14,11:00,15:00,FULFILLED
PU50029,P-1085,2025-08-02,08:00,14:00,CANCELLED
PU50030,P-1116,2025-07-28,09:00,17:00,FULFILLED
PU50031,P-1238,2026-01-30,07:00,17:00,MISSED
PU50032,P-1069,2025-12-20,10:00,15:00,CANCELLED
PU50033,P-1070,2025-08-31,10:00,18:00,CANCELLED
PU50034,P-1032,2025-11-20,09:00,15:00,MISSED
PU50035,P-1030,2025-03-26,09:00,16:00,CANCELLED
PU50036,P-1221,2025-01-28,10:00,17:00,MISSED
PU50037,P-1235,2025-07-19,10:00,18:00,MISSED
PU50038,P-1007,2025-08-25,07:00,14:00,CANCELLED
PU50039,P-1108,2025-12-20,10:00,13:00,CANCELLED
PU50040,P-1057,2025-02-23,07:00,14:00,CANCELLED
PU50041,P-1013,2026-03-18,07:00,18:00,CANCELLED
PU50042,P-1208,2025-08-24,10:00,13:00,FULFILLED
PU50043,P-1194,2026-02-01,08:00,16:00,FULFILLED
PU50044,P-1164,2025-12-19,08:00,13:00,FULFILLED
PU50045,P-1065,2025-01-02,07:00,17:00,CANCELLED
PU50046,P-1170,2025-10-03,09:00,14:00,MISSED
PU50047,P-1122,2026-02-19,09:00,15:00,CANCELLED
PU50048,P-1172,2025-06-10,08:00,13:00,MISSED
PU50049,P-1197,2025-11-07,11:00,15:00,CANCELLED
PU50050,P-1229,2025-07-30,09:00,14:00,FULFILLED
PU50051,P-1177,2026-01-11,08:00,18:00,CANCELLED
PU50052,P-1065,2026-04-29,07:00,17:00,MISSED
PU50053,P-1190,2026-03-06,08:00,15:00,CANCELLED
PU50054,P-1018,2025-01-19,10:00,14:00,MISSED
PU50055,P-1133,2025-08-09,08:00,15:00,MISSED
PU50056,P-1027,2025-09-25,09:00,16:00,MISSED
PU50057,P-1231,2026-05-24,10:00,17:00,FULFILLED
PU50058,P-1059,2025-08-21,07:00,18:00,CANCELLED
PU50059,P-1090,2025-08-12,10:00,14:00,FULFILLED
PU50060,P-1151,2026-04-17,11:00,18:00,MISSED
PU50061,P-1184,2025-09-26,10:00,13:00,FULFILLED
PU50062,P-1131,2025-03-24,07:00,17:00,CANCELLED
PU50063,P-1136,2025-07-15,10:00,17:00,CANCELLED
PU50064,P-1199,2025-10-12,10:00,14:00,CANCELLED
PU50065,P-1134,2025-03-14,07:00,15:00,FULFILLED
PU50066,P-1208,2025-06-15,08:00,17:00,MISSED
PU50067,P-1169,2025-02-10,08:00,14:00,CANCELLED
PU50068,P-1207,2026-04-20,07:00,13:00,MISSED
PU50069,P-1016,2025-01-03,09:00,13:00,FULFILLED
PU50070,P-1080,2025-07-30,11:00,16:00,FULFILLED
PU50071,P-1110,2025-12-01,08:00,14:00,CANCELLED
PU50072,P-1203,2026-03-21,10:00,17:00,MISSED
PU50073,P-1124,2026-04-18,08:00,16:00,FULFILLED
PU50074,P-1117,2025-01-02,10:00,13:00,CANCELLED
PU50075,P-1085,2025-08-10,10:00,18:00,MISSED
PU50076,P-1198,2026-05-19,08:00,15:00,FULFILLED
PU50077,P-1201,2025-07-24,09:00,18:00,FULFILLED
PU50078,P-1205,2025-12-14,08:00,16:00,MISSED
PU50079,P-1207,2026-05-31,10:00,13:00,MISSED
PU50080,P-1156,2026-01-18,07:00,13:00,FULFILLED
PU50081,P-1140,2025-01-03,10:00,17:00,FULFILLED
PU50082,P-1103,2026-05-27,09:00,17:00,FULFILLED
PU50083,P-1011,2025-12-22,09:00,17:00,MISSED
PU50084,P-1102,2025-12-20,07:00,17:00,FULFILLED
PU50085,P-1026,2025-03-15,10:00,13:00,FULFILLED
PU50086,P-1107,2025-08-22,10:00,13:00,MISSED
PU50087,P-1203,2026-04-07,08:00,16:00,FULFILLED
PU50088,P-1011,2025-10-16,11:00,17:00,MISSED
PU50089,P-1118,2025-03-13,08:00,17:00,MISSED
PU50090,P-1152,2026-05-04,11:00,14:00,MISSED
PU50091,P-1090,2025-03-15,11:00,15:00,FULFILLED
PU50092,P-1237,2025-02-14,10:00,18:00,MISSED
PU50093,P-1120,2025-03-14,11:00,18:00,FULFILLED
PU50094,P-1124,2025-09-20,11:00,15:00,CANCELLED
PU50095,P-1188,2026-01-29,08:00,17:00,FULFILLED
PU50096,P-1061,2025-08-14,11:00,18:00,FULFILLED
PU50097,P-1144,2025-03-19,11:00,15:00,CANCELLED
PU50098,P-1028,2025-10-14,08:00,17:00,FULFILLED
PU50099,P-1086,2026-05-18,08:00,14:00,CANCELLED
PU50100,P-1150,2025-07-21,11:00,14:00,CANCELLED
PU50101,P-1084,2025-05-17,11:00,17:00,CANCELLED
PU50102,P-1108,2026-03-06,09:00,18:00,CANCELLED
PU50103,P-1128,2025-04-24,07:00,14:00,MISSED
