Id,orig_ship,Date,reason_cd,Status
RT6001,SH103714,2025-10-29,RR3,REFUSED
RT6002,SH104035,2025-03-12,RR2,REFUSED
RT6003,SH101750,2025-06-09,RR1,RECEIVED
RT6004,SH100892,2025-08-23,RR2,IN_TRANSIT
RT6005,SH100980,2025-10-21,RR5,RECEIVED
RT6006,SH104090,2026-03-06,RR1,IN_TRANSIT
RT6007,SH100360,2025-03-19,RR2,IN_TRANSIT
RT6008,SH101357,2025-06-02,RR4,REFUSED
RT6009,SH102018,2025-07-04,RR5,IN_TRANSIT
RT6010,SH100989,2026-04-05,RR2,REFUSED
RT6011,SH102802,2025-04-06,RR4,IN_TRANSIT
RT6012,SH101555,2025-04-09,RR1,RECEIVED
RT6013,SH100006,2025-06-13,RR2,REFUSED
RT6014,SH103068,2025-09-17,RR1,IN_TRANSIT
RT6015,SH100788,2026-02-23,RR2,IN_TRANSIT
RT6016,SH102200,2025-08-24,RR2,REFUSED
RT6017,SH100874,2026-04-11,RR2,REFUSED
RT6018,SH102911,2025-01-04,RR2,IN_TRANSIT
RT6019,SH102802,2025-08-31,RR3,IN_TRANSIT
RT6020,SH101594,2025-07-04,RR4,RECEIVED
RT6021,SH100365,2025-08-18,RR3,REFUSED
RT6022,SH101976,2025-09-02,RR3,IN_TRANSIT
RT6023,SH100841,2025-06-29,RR1,REFUSED
RT6024,SH102319,2025-10-27,RR4,IN_TRANSIT
RT6025,SH100745,2025-08-10,RR1,REFUSED
RT6026,SH103936,2026-01-20,RR1,IN_TRANSIT
RT6027,SH103517,2025-11-01,RR2,RECEIVED
RT6028,SH103259,2025-11-29,RR4,IN_TRANSIT
RT6029,SH101249,2025-05-05,RR3,IN_TRANSIT
RT6030,SH103732,2025-02-01,RR3,RECEIVED
RT6031,SH100250,2026-05-28,RR5,RECEIVED
RT6032,SH103298,2025-05-07,RR4,IN_TRANSIT
RT6033,SH101116,2025-03-18,RR4,IN_TRANSIT
RT6034,SH103255,2026-05-16,RR1,REFUSED
RT6035,SH102874,2025-01-31,RR1,IN_TRANSIT
RT6036,SH101131,2025-12-20,RR1,RECEIVED
RT6037,SH100706,2026-01-05,RR4,RECEIVED
RT6038,SH102604,2026-04-28,RR2,RECEIVED
RT6039,SH102362,2025-05-15,RR5,RECEIVED
RT6040,SH104161,2026-04-08,RR2,REFUSED
RT6041,SH103133,2025-11-09,RR3,REFUSED
RT6042,SH103323,2025-09-20,RR2,REFUSED
RT6043,SH101771,2025-12-02,RR2,REFUSED
RT6044,SH100389,2025-10-14,RR5,IN_TRANSIT
RT6045,SH103151,2025-08-12,RR1,IN_TRANSIT
RT6046,SH100431,2026-01-22,RR3,REFUSED
RT6047,SH101978,2026-04-15,RR3,REFUSED
RT6048,SH103738,2026-03-05,RR4,RECEIVED
RT6049,SH101003,2026-05-16,RR3,IN_TRANSIT
RT6050,SH103876,2026-01-03,RR3,RECEIVED
RT6051,SH100798,2025-08-06,RR3,IN_TRANSIT
RT6052,SH101533,2025-10-18,RR3,RECEIVED
RT6053,SH103630,2025-05-11,RR3,RECEIVED
RT6054,SH103760,2025-02-04,RR1,REFUSED
RT6055,SH103563,2025-03-08,RR3,REFUSED
RT6056,SH100688,2025-08-13,RR4,REFUSED
RT6057,SH101763,2026-05-28,RR3,IN_TRANSIT
RT6058,SH102553,2026-03-09,RR1,IN_TRANSIT
RT6059,SH104149,2025-05-03,RR2,REFUSED
RT6060,SH102247,2025-07-05,RR4,REFUSED
RT6061,SH102365,2026-02-28,RR1,RECEIVED
RT6062,SH100372,2025-06-07,RR4,RECEIVED
RT6063,SH101147,2025-02-06,RR5,REFUSED
RT6064,SH102754,2025-03-26,RR1,RECEIVED
RT6065,SH103668,2026-05-28,RR4,IN_TRANSIT
RT6066,SH101705,2025-04-02,RR5,RECEIVED
RT6067,SH100404,2025-01-16,RR5,RECEIVED
RT6068,SH100190,2025-08-31,RR3,REFUSED
RT6069,SH102853,2026-05-28,RR5,RECEIVED
RT6070,SH101370,2025-04-29,RR2,IN_TRANSIT
RT6071,SH103263,2025-08-12,RR3,IN_TRANSIT
RT6072,SH102737,2026-05-13,RR2,IN_TRANSIT
RT6073,SH101605,2025-10-25,RR1,IN_TRANSIT
RT6074,SH100180,2026-03-30,RR2,REFUSED
RT6075,SH104098,2025-07-08,RR4,RECEIVED
