Id,Date,cust_ref,svc,carrier_cd,orig,dest,START,END,wgt,wgt_uom,pieces,Amount,ccy,Status
SH100001,2025-01-03,P-1036,SVC3,GRYP,L-246,L-222,2025-01-06 16:16,2025-01-10 20:25,704.2,LB,7,161.46,GBP,DELIVERED
SH100002,2025-05-29,P-1063,SVC3,EGRT,L-244,L-229,2025-06-01 11:04,2025-06-03 16:03,849.3,KG,26,378.65,GBP,DELIVERED
SH100003,2026-02-28,P-1197,SVC2,DNUB,L-246,L-260,,,1133.3,KG,3,776.53,GBP,BOOKED
SH100004,2025-01-12,P-1160,SVC2,EGRT,L-241,L-216,2025-01-15 11:47,,943.3,LB,15,326.47,GBP,IN_TRANSIT
SH100005,2025-04-05,P-1231,SVC3,DNUB,L-233,L-219,,,738.2,LB,24,181.58,EUR,CANCELLED
SH100006,2026-03-16,P-1015,SVC1,BLTC,L-241,L-258,2026-03-19 16:08,2026-03-25 09:51,100.3,KG,25,109.28,GBP,DELIVERED
SH100007,2025-03-05,P-1188,SVC4,GRYP,L-216,L-214,2025-03-06 14:23,2025-03-12 18:41,370.4,KG,22,190.95,GBP,DELIVERED
SH100008,2025-07-28,P-1185,SVC5,GRYP,L-241,L-229,2025-07-28 07:34,2025-08-01 19:58,738.1,KG,24,331.38,GBP,DELIVERED
SH100009,2025-09-01,P-1052,SVC1,FNCH,L-206,L-251,2025-09-04 16:40,2025-09-10 10:18,1142.8,KG,25,791.37,GBP,DELIVERED
SH100010,2025-01-17,P-1155,SVC1,DNUB,L-215,L-206,2025-01-19 12:49,2025-01-20 18:39,230.6,LB,4,94.49,GBP,DELIVERED
SH100011,2025-08-23,P-1186,SVC3,ARRW,L-202,L-209,2025-08-26 16:55,2025-09-02 19:21,1226.4,LB,17,267.08,GBP,DELIVERED
SH100012,2025-05-16,P-1146,SVC3,GRYP,L-204,L-252,2025-05-19 08:55,2025-05-21 07:32,258.3,LB,12,74.81,GBP,DELIVERED
SH100013,2025-06-29,P-1132,SVC4,BLTC,L-259,L-206,2025-07-01 10:11,2025-07-02 14:04,956.0,LB,25,223.84,GBP,DELIVERED
SH100014,2025-10-06,P-1118,SVC5,ARRW,L-251,L-201,,,28.5,LB,6,20.06,GBP,CANCELLED
SH100015,2026-02-18,P-1176,SVC6,FNCH,L-201,L-231,2026-02-18 12:58,,823.3,KG,7,377.50,GBP,IN_TRANSIT
SH100016,2025-08-21,P-1221,SVC3,DNUB,L-230,L-251,,,494.1,KG,26,224.25,GBP,BOOKED
SH100017,2026-02-08,P-1134,SVC1,ARRW,L-221,L-237,2026-02-09 12:55,2026-02-10 18:51,59.7,KG,11,76.25,GBP,DELIVERED
SH100018,2025-09-18,P-1082,SVC3,BLTC,L-244,L-231,2025-09-21 16:14,2025-09-22 19:54,139.5,LB,19,45.50,EUR,DELIVERED
SH100019,2025-09-02,P-1211,SVC5,DNUB,L-218,L-233,,,183.7,LB,20,70.72,GBP,CANCELLED
SH100020,2025-03-12,P-1002,SVC6,ARRW,L-215,L-251,2025-03-12 06:18,2025-03-19 18:31,435.0,KG,15,222.46,EUR,DELIVERED
SH100021,2026-03-25,P-1047,SVC3,FNCH,L-240,L-218,2026-03-26 08:22,,1201.7,LB,3,255.67,EUR,IN_TRANSIT
SH100022,2025-02-04,P-1023,SVC3,BLTC,L-238,L-208,2025-02-07 17:36,2025-02-08 13:34,1061.4,KG,7,482.43,EUR,DELIVERED
SH100023,2025-01-11,P-1178,SVC3,DNUB,L-213,L-251,2025-01-12 19:47,2025-01-16 06:46,383.8,LB,20,106.08,EUR,DELIVERED
