Id,ship_ref,ts,temp_c
TL00001,SH100015,2026-01-18 11:06,1.2
TL00002,SH100020,2025-05-06 08:02,6.2
TL00003,SH100041,2025-01-20 18:16,6.0
TL00004,SH100063,2025-03-06 13:06,1.2
TL00005,SH100081,2026-01-16 21:08,1.9
TL00006,SH100096,2025-12-15 19:54,3.8
TL00007,SH100106,2025-05-14 14:16,4.0
TL00008,SH100122,2026-05-18 06:02,4.1
TL00009,SH100124,2025-09-23 15:54,5.2
TL00010,SH100125,2025-01-27 12:04,6.2
TL00011,SH100137,2025-10-12 08:47,1.8
TL00012,SH100138,2025-01-24 07:25,4.1
TL00013,SH100149,2026-02-14 06:47,3.6
TL00014,SH100155,2025-11-20 06:07,3.7
TL00015,SH100158,2025-03-16 16:38,1.9
TL00016,SH100162,2025-11-06 14:17,2.5
TL00017,SH100186,2026-03-14 19:58,5.7
TL00018,SH100187,2025-08-01 11:09,3.4
TL00019,SH100268,2026-05-17 16:12,1.2
TL00020,SH100307,2025-01-12 08:19,2.1
TL00021,SH100309,2026-03-16 11:07,4.8
TL00022,SH100311,2025-03-10 19:50,2.2
TL00023,SH100328,2025-06-15 11:25,3.2
TL00024,SH100337,2026-02-25 08:30,1.9
TL00025,SH100353,2026-05-14 17:15,4.0
TL00026,SH100364,2025-02-05 16:46,6.9
TL00027,SH100373,2025-09-16 15:54,5.5
TL00028,SH100380,2025-12-31 11:26,6.4
TL00029,SH100429,2025-09-07 16:07,3.5
TL00030,SH100447,2025-02-25 18:06,3.0
TL00031,SH100451,2026-03-14 20:25,4.9
TL00032,SH100468,2025-07-11 17:04,4.0
TL00033,SH100469,2025-05-09 10:18,2.1
TL00034,SH100477,2025-09-12 14:07,6.1
TL00035,SH100481,2025-03-03 19:05,6.3
TL00036,SH100491,2026-04-29 20:46,5.6
TL00037,SH100497,2025-05-15 16:42,2.5
TL00038,SH100555,2025-11-22 13:52,4.7
TL00039,SH100571,2025-05-21 09:40,3.1
TL00040,SH100574,2025-06-30 08:42,3.0
TL00041,SH100575,2025-08-01 19:19,5.3
TL00042,SH100579,2025-02-07 16:12,1.7
TL00043,SH100583,2026-01-27 07:55,2.2
TL00044,SH100587,2025-09-24 20:39,2.2
TL00045,SH100602,2025-12-29 14:47,1.0
TL00046,SH100643,2026-03-30 20:05,5.5
TL00047,SH100646,2025-04-15 19:38,5.5
TL00048,SH100649,2025-06-14 13:52,4.4
TL00049,SH100650,2025-12-05 17:42,1.1
TL00050,SH100657,2025-12-09 17:46,4.1
TL00051,SH100673,2026-03-15 18:11,4.6
TL00052,SH100678,2025-10-02 07:34,4.3
TL00053,SH100686,2025-07-14 16:25,3.4
TL00054,SH100689,2026-02-18 14:24,7.5
TL00055,SH100695,2025-07-03 07:10,1.5
TL00056,SH100710,2025-12-19 20:35,3.7
TL00057,SH100718,2026-02-20 15:02,5.6
TL00058,SH100756,2026-04-23 10:12,2.4
TL00059,SH100761,2025-10-25 21:26,5.6
TL00060,SH100797,2026-01-29 11:53,2.8
TL00061,SH100835,2025-06-28 06:10,1.5
TL00062,SH100837,2025-04-25 19:43,3.6
TL00063,SH100842,2026-05-02 06:33,4.4
TL00064,SH100852,2026-04-13 18:31,2.7
TL00065,SH100868,2026-04-03 12:40,5.4
TL00066,SH100902,2025-01-14 18:24,6.7
TL00067,SH100914,2025-10-08 20:50,2.5
TL00068,SH100916,2026-05-08 20:00,3.7
TL00069,SH100924,2025-12-03 14:29,1.6
TL00070,SH100947,2025-03-06 21:19,2.5
TL00071,SH100966,2026-03-28 20:33,6.8
TL00072,SH100981,2026-03-15 17:33,4.5
TL00073,SH101028,2025-10-18 18:06,5.0
TL00074,SH101032,2025-01-28 14:52,6.1
TL00075,SH101047,2025-01-17 06:44,6.7
TL00076,SH101056,2026-05-10 08:25,2.7
TL00077,SH101065,2025-06-02 09:04,3.7
TL00078,SH101069,2025-07-27 07:04,5.3
TL00079,SH101076,2025-12-17 20:57,1.5
TL00080,SH101096,2025-05-22 11:31,6.6
TL00081,SH101115,2025-05-01 07:41,4.8
TL00082,SH101135,2025-10-07 12:45,3.0
TL00083,SH101155,2025-04-21 14:33,5.9
TL00084,SH101178,2026-03-07 16:14,1.5
TL00085,SH101180,2026-01-19 13:06,6.2
TL00086,SH101192,2025-08-12 13:27,3.9
TL00087,SH101202,2025-12-11 14:23,6.2
TL00088,SH101214,2025-02-20 19:15,4.1
TL00089,SH101215,2026-04-06 06:21,2.0
TL00090,SH101240,2026-05-15 17:56,1.5
TL00091,SH101241,2025-08-10 12:29,5.3
TL00092,SH101249,2025-06-16 13:52,4.2
TL00093,SH101289,2025-08-18 13:16,1.3
TL00094,SH101291,2026-04-01 17:42,2.1
TL00095,SH101371,2025-06-02 08:18,3.5
TL00096,SH101384,2026-02-04 07:04,7.2
TL00097,SH101405,2026-02-17 18:50,2.6
TL00098,SH101428,2025-03-07 06:24,7.4
TL00099,SH101433,2025-04-27 21:08,2.1
TL00100,SH101471,2025-03-04 06:16,7.2
TL00101,SH101523,2025-08-13 10:31,7.5
TL00102,SH101561,2025-10-30 13:49,7.0
TL00103,SH101562,2025-02-16 14:09,3.9
TL00104,SH101566,2026-03-07 07:35,2.0
TL00105,SH101575,2026-03-31 16:37,5.9
TL00106,SH101609,2025-08-07 09:15,3.2
TL00107,SH101624,2026-01-13 11:30,3.2
TL00108,SH101637,2025-06-29 17:23,5.6
TL00109,SH101644,2025-09-10 14:17,7.4
TL00110,SH101649,2025-09-01 20:30,6.5
TL00111,SH101660,2025-10-04 06:22,3.0
TL00112,SH101664,2026-05-03 21:13,6.6
TL00113,SH101668,2026-01-07 09:18,3.9
TL00114,SH101676,2025-02-12 19:13,5.1
TL00115,SH101686,2025-08-22 09:46,7.5
TL00116,SH101688,2025-02-01 06:14,5.9
TL00117,SH101695,2026-04-16 21:46,6.1
TL00118,SH101713,2025-05-11 12:27,6.0
TL00119,SH101721,2026-04-07 11:06,4.6
TL00120,SH101753,2025-04-28 20:28,3.7
TL00121,SH101775,2025-10-04 16:46,4.9
TL00122,SH101781,2025-08-12 20:53,4.1
TL00123,SH101782,2025-07-06 19:01,6.8
TL00124,SH101787,2025-02-21 18:10,3.6
TL00125,SH101790,2025-04-19 12:47,1.1
TL00126,SH101800,2025-04-08 13:10,1.8
TL00127,SH101806,2025-01-09 20:39,3.0
TL00128,SH101824,2025-10-28 19:02,1.4
TL00129,SH101832,2025-02-16 06:32,3.3
TL00130,SH101845,2025-10-16 17:52,5.0
TL00131,SH101852,2025-06-02 18:59,6.2
TL00132,SH101858,2025-08-06 06:04,3.9
TL00133,SH101866,2025-09-25 20:42,3.5
TL00134,SH101891,2025-07-30 15:37,7.2
TL00135,SH101900,2025-03-28 16:56,1.3
TL00136,SH101905,2026-01-17 20:46,5.6
TL00137,SH101908,2026-03-27 07:46,5.3
