Id,drv,Date,kind,points
DI0001,D3035,2025-12-02,WALKAROUND,4
DI0002,D3087,2026-04-28,SPEED,5
DI0003,D3096,2025-01-17,HOURS,4
DI0004,D3065,2025-12-21,HOURS,2
DI0005,D3001,2025-01-24,HOURS,3
DI0006,D3111,2025-07-05,HOURS,4
DI0007,D3055,2025-01-16,TACHO,1
DI0008,D3119,2025-10-20,HOURS,2
DI0009,D3006,2026-01-13,WALKAROUND,4
DI0010,D3054,2025-06-01,TACHO,5
DI0011,D3115,2026-01-09,HOURS,4
DI0012,D3059,2025-02-11,TACHO,2
DI0013,D3001,2025-01-21,TACHO,6
DI0014,D3117,2025-10-07,WALKAROUND,3
DI0015,D3116,2026-03-23,SPEED,5
DI0016,D3101,2025-10-02,WALKAROUND,2
DI0017,D3083,2025-09-10,HOURS,5
DI0018,D3058,2025-01-10,HOURS,4
DI0019,D3050,2025-03-06,HOURS,6
DI0020,D3019,2025-04-24,TACHO,6
DI0021,D3098,2025-08-04,SPEED,4
DI0022,D3086,2025-11-20,HOURS,3
DI0023,D3024,2025-01-11,WALKAROUND,2
DI0024,D3075,2025-09-04,TACHO,6
DI0025,D3056,2025-09-07,HOURS,5
DI0026,D3096,2025-03-21,TACHO,5
DI0027,D3115,2025-05-22,TACHO,2
DI0028,D3013,2025-05-07,TACHO,6
DI0029,D3005,2026-05-21,HOURS,4
DI0030,D3019,2025-02-06,SPEED,6
DI0031,D3045,2025-10-27,TACHO,3
DI0032,D3051,2026-05-13,TACHO,3
DI0033,D3032,2025-01-19,WALKAROUND,2
DI0034,D3061,2025-09-19,HOURS,6
DI0035,D3011,2025-07-30,TACHO,3
DI0036,D3117,2026-04-01,WALKAROUND,5
DI0037,D3090,2025-12-04,TACHO,4
DI0038,D3035,2025-11-15,WALKAROUND,6
DI0039,D3092,2026-05-26,WALKAROUND,6
DI0040,D3100,2025-03-06,WALKAROUND,6
DI0041,D3010,2025-02-05,WALKAROUND,4
DI0042,D3112,2025-01-25,HOURS,5
DI0043,D3069,2026-05-28,WALKAROUND,3
DI0044,D3052,2026-02-20,WALKAROUND,1
DI0045,D3055,2025-03-15,HOURS,5
DI0046,D3058,2025-06-21,HOURS,6
DI0047,D3058,2025-10-05,HOURS,5
DI0048,D3039,2025-10-18,TACHO,4
DI0049,D3017,2025-10-01,WALKAROUND,4
DI0050,D3114,2025-06-21,SPEED,3
DI0051,D3028,2025-02-14,SPEED,5
DI0052,D3100,2026-01-10,TACHO,2
DI0053,D3057,2025-04-11,SPEED,5
DI0054,D3068,2025-05-25,HOURS,4
DI0055,D3015,2025-04-25,SPEED,3
DI0056,D3094,2025-11-07,TACHO,6
DI0057,D3005,2025-12-25,HOURS,2
DI0058,D3050,2026-03-17,HOURS,5
DI0059,D3089,2026-01-11,WALKAROUND,5
DI0060,D3001,2025-06-13,SPEED,4
DI0061,D3066,2025-05-13,SPEED,3
DI0062,D3058,2025-05-30,HOURS,2
DI0063,D3030,2025-12-05,SPEED,1
DI0064,D3062,2025-05-28,HOURS,6
DI0065,D3091,2025-11-07,HOURS,5
DI0066,D3112,2025-11-25,SPEED,3
DI0067,D3028,2026-05-12,SPEED,3
DI0068,D3012,2026-03-29,SPEED,1
DI0069,D3047,2025-08-17,TACHO,6
DI0070,D3083,2025-07-26,TACHO,2
DI0071,D3101,2025-01-15,WALKAROUND,2
DI0072,D3087,2026-03-16,TACHO,4
DI0073,D3060,2025-02-08,HOURS,3
DI0074,D3110,2026-04-19,SPEED,5
DI0075,D3115,2025-08-14,SPEED,4
DI0076,D3053,2026-04-29,SPEED,3
DI0077,D3110,2025-07-23,SPEED,3
DI0078,D3108,2025-07-14,TACHO,3
DI0079,D3014,2026-04-11,HOURS,2
DI0080,D3080,2026-04-29,TACHO,5
DI0081,D3008,2025-05-23,HOURS,3
DI0082,D3003,2026-04-07,SPEED,1
DI0083,D3105,2026-04-11,TACHO,1
DI0084,D3041,2025-07-07,SPEED,4
DI0085,D3024,2025-02-26,WALKAROUND,4
DI0086,D3106,2026-02-20,WALKAROUND,6
DI0087,D3076,2025-05-28,WALKAROUND,4
DI0088,D3083,2025-06-19,SPEED,3
DI0089,D3002,2025-07-17,SPEED,3
DI0090,D3079,2025-12-16,TACHO,4
DI0091,D3024,2025-09-01,TACHO,6
DI0092,D3097,2026-05-22,TACHO,5
DI0093,D3061,2025-08-18,WALKAROUND,1
DI0094,D3103,2025-04-19,TACHO,3
DI0095,D3104,2026-01-13,TACHO,4
DI0096,D3065,2025-08-27,SPEED,1
DI0097,D3114,2025-01-19,TACHO,3
DI0098,D3058,2025-12-20,SPEED,2
DI0099,D3050,2026-01-31,WALKAROUND,3
DI0100,D3074,2026-01-18,HOURS,3
DI0101,D3054,2026-01-06,HOURS,2
DI0102,D3043,2025-02-17,HOURS,4
