Id,emp_id,Date,shift_id,hours
TS00001,E523,2025-01-04,SH2,10.2
TS00002,E571,2025-01-25,SH3,10.3
TS00003,E591,2026-02-14,SH3,4.6
TS00004,E630,2026-05-14,SH2,11.4
TS00005,E533,2026-02-06,SH1,5.4
TS00006,E619,2025-04-09,SH1,11.8
TS00007,E606,2026-04-18,SH1,7.1
TS00008,E599,2025-01-05,SH3,5.4
TS00009,E512,2025-09-20,SH1,7.2
TS00010,E564,2025-02-01,SH3,9.8
TS00011,E602,2026-05-02,SH2,5.6
TS00012,E595,2025-12-05,SH2,6.5
TS00013,E603,2025-02-28,SH4,11.5
TS00014,E525,2025-06-09,SH4,4.8
TS00015,E564,2025-05-03,SH1,4.8
TS00016,E546,2026-01-26,SH1,6.5
TS00017,E618,2025-04-01,SH4,8.6
TS00018,E529,2025-06-01,SH1,8.4
TS00019,E540,2025-09-29,SH1,11.1
TS00020,E595,2025-04-02,SH2,10.8
TS00021,E630,2025-11-30,SH3,10.7
TS00022,E601,2026-02-09,SH3,7.1
TS00023,E513,2025-08-14,SH3,5.8
TS00024,E503,2025-05-01,SH2,7.3
TS00025,E634,2025-04-23,SH4,11.3
TS00026,E522,2025-09-16,SH3,5.6
TS00027,E510,2025-09-10,SH3,7.8
TS00028,E595,2026-01-03,SH2,10.1
TS00029,E613,2026-03-08,SH4,8.1
TS00030,E571,2025-03-24,SH3,11.4
TS00031,E594,2025-11-29,SH1,11.8
TS00032,E589,2026-05-29,SH2,7.9
TS00033,E610,2025-03-27,SH1,9.0
TS00034,E529,2025-02-21,SH2,6.3
TS00035,E586,2025-04-22,SH4,8.9
TS00036,E615,2025-10-22,SH3,10.0
TS00037,E510,2026-01-11,SH2,5.8
TS00038,E512,2025-01-10,SH3,9.4
TS00039,E512,2025-07-19,SH1,7.0
TS00040,E614,2025-12-03,SH4,11.6
TS00041,E588,2025-10-04,SH1,7.1
TS00042,E637,2025-07-17,SH3,11.6
TS00043,E502,2025-12-15,SH3,4.5
TS00044,E627,2025-10-03,SH4,11.2
TS00045,E513,2025-04-17,SH3,5.6
TS00046,E601,2025-05-22,SH3,7.4
TS00047,E544,2025-12-23,SH4,6.0
TS00048,E621,2025-01-01,SH4,9.7
TS00049,E603,2025-06-01,SH1,7.2
TS00050,E609,2025-10-29,SH3,6.7
TS00051,E622,2026-03-16,SH1,4.8
TS00052,E567,2025-08-04,SH2,6.1
TS00053,E565,2025-06-16,SH2,7.6
TS00054,E564,2025-03-21,SH2,8.6
TS00055,E585,2026-03-07,SH3,7.5
TS00056,E501,2026-04-05,SH2,6.8
TS00057,E554,2025-02-17,SH1,5.2
TS00058,E629,2025-02-11,SH3,4.1
TS00059,E577,2025-08-12,SH3,9.7
TS00060,E512,2026-03-10,SH1,4.1
TS00061,E589,2025-01-17,SH1,8.6
TS00062,E616,2025-02-07,SH2,11.2
TS00063,E588,2026-03-15,SH4,11.3
TS00064,E612,2025-07-12,SH3,6.1
TS00065,E615,2026-05-04,SH2,6.1
TS00066,E586,2025-10-17,SH4,6.5
TS00067,E595,2025-02-28,SH2,8.0
TS00068,E522,2025-11-11,SH3,10.6
TS00069,E616,2025-02-24,SH2,10.6
TS00070,E578,2026-04-09,SH4,10.6
TS00071,E635,2026-04-24,SH3,8.5
TS00072,E592,2025-04-15,SH2,6.0
TS00073,E530,2025-06-26,SH1,8.7
TS00074,E573,2025-10-03,SH3,7.9
TS00075,E613,2025-06-25,SH2,8.8
TS00076,E593,2025-07-28,SH2,7.9
TS00077,E577,2025-10-17,SH2,7.6
TS00078,E594,2025-02-28,SH3,7.1
TS00079,E583,2025-10-18,SH2,5.5
TS00080,E626,2026-03-03,SH1,6.3
TS00081,E512,2025-04-23,SH4,7.0
TS00082,E634,2025-03-17,SH3,4.3
TS00083,E500,2025-03-06,SH1,11.4
TS00084,E514,2026-05-24,SH1,5.4
TS00085,E500,2025-04-10,SH4,5.5
TS00086,E537,2025-08-03,SH4,10.5
TS00087,E565,2025-12-01,SH4,8.2
TS00088,E545,2026-03-26,SH1,8.6
TS00089,E577,2025-01-20,SH1,10.7
TS00090,E573,2025-07-10,SH4,5.2
TS00091,E552,2025-01-01,SH1,8.1
TS00092,E536,2025-03-13,SH2,9.0
TS00093,E637,2025-02-28,SH2,5.8
TS00094,E500,2025-12-30,SH3,9.0
TS00095,E573,2026-04-05,SH3,7.2
TS00096,E504,2025-04-26,SH1,4.6
TS00097,E639,2025-01-02,SH4,9.2
TS00098,E532,2025-09-09,SH4,7.6
TS00099,E507,2025-03-02,SH3,11.0
TS00100,E578,2026-02-09,SH3,8.3
TS00101,E552,2026-01-09,SH3,5.8
TS00102,E561,2026-02-24,SH3,7.7
TS00103,E601,2025-07-15,SH4,4.4
TS00104,E505,2025-05-09,SH2,5.7
TS00105,E589,2026-02-23,SH2,5.7
TS00106,E628,2026-01-25,SH3,7.0
TS00107,E549,2026-03-10,SH3,7.1
TS00108,E582,2025-05-26,SH3,4.8
TS00109,E553,2025-06-10,SH4,7.0
TS00110,E582,2026-04-04,SH2,6.9
TS00111,E589,2025-07-06,SH4,9.4
TS00112,E591,2025-02-18,SH4,9.3
TS00113,E614,2025-04-03,SH1,5.7
TS00114,E513,2026-05-28,SH1,9.3
TS00115,E563,2025-07-15,SH3,11.2
TS00116,E536,2025-01-15,SH4,8.3
TS00117,E514,2025-04-25,SH1,9.9
TS00118,E639,2025-04-30,SH4,7.2
TS00119,E584,2025-10-21,SH3,10.2
TS00120,E586,2025-11-22,SH4,10.4
TS00121,E535,2025-10-22,SH2,9.9
TS00122,E534,2025-02-19,SH2,6.9
TS00123,E538,2026-04-22,SH4,10.8
TS00124,E536,2025-08-14,SH2,5.9
TS00125,E585,2025-03-08,SH4,7.4
TS00126,E579,2025-02-17,SH4,9.0
TS00127,E522,2025-10-13,SH1,11.4
TS00128,E615,2025-09-06,SH3,6.1
TS00129,E606,2025-01-04,SH3,4.3
TS00130,E500,2026-04-06,SH1,7.8
TS00131,E633,2025-11-20,SH3,10.4
TS00132,E598,2025-10-06,SH4,9.8
TS00133,E541,2025-09-23,SH2,11.4
TS00134,E597,2025-05-08,SH1,9.2
TS00135,E552,2026-02-06,SH3,11.0
TS00136,E550,2026-03-05,SH2,11.9
TS00137,E537,2026-03-24,SH1,4.9
TS00138,E537,2025-09-22,SH4,8.7
TS00139,E533,2025-03-18,SH3,6.7
TS00140,E591,2025-01-30,SH4,9.2
TS00141,E580,2025-08-03,SH2,5.7
TS00142,E632,2026-02-26,SH1,11.5
TS00143,E610,2025-09-20,SH2,9.8
TS00144,E540,2026-01-30,SH3,9.9
TS00145,E578,2026-03-16,SH3,4.7
TS00146,E609,2025-06-21,SH1,6.4
TS00147,E615,2025-06-06,SH2,6.1
TS00148,E515,2025-12-17,SH4,8.3
TS00149,E558,2025-10-28,SH3,8.1
TS00150,E591,2026-02-04,SH4,4.5
TS00151,E538,2025-07-08,SH4,5.7
TS00152,E511,2026-02-10,SH4,8.2
TS00153,E600,2026-05-04,SH3,10.5
TS00154,E600,2025-07-20,SH4,9.9
TS00155,E511,2026-05-20,SH4,8.7
TS00156,E514,2025-10-09,SH1,10.1
TS00157,E547,2025-04-20,SH4,9.1
TS00158,E583,2025-09-22,SH2,8.6
TS00159,E557,2025-02-12,SH4,5.2
TS00160,E505,2025-03-01,SH3,11.2
TS00161,E549,2025-06-08,SH2,9.5
TS00162,E562,2025-09-24,SH2,9.7
TS00163,E530,2025-06-24,SH1,5.0
TS00164,E616,2025-08-30,SH3,10.9
TS00165,E589,2025-03-24,SH4,9.6
TS00166,E569,2026-03-28,SH3,9.8
TS00167,E581,2026-05-20,SH3,7.8
TS00168,E601,2025-08-11,SH4,8.2
TS00169,E551,2025-07-31,SH3,8.2
TS00170,E531,2025-01-26,SH1,7.6
TS00171,E544,2026-03-14,SH1,9.9
TS00172,E510,2025-05-12,SH1,5.3
TS00173,E558,2025-10-21,SH3,5.3
TS00174,E512,2025-01-21,SH1,11.1
TS00175,E639,2026-01-01,SH4,9.0
TS00176,E605,2025-02-27,SH3,4.9
TS00177,E604,2025-09-06,SH4,9.9
TS00178,E507,2025-08-19,SH3,9.0
TS00179,E569,2025-03-11,SH2,9.2
TS00180,E521,2025-08-09,SH2,11.7
TS00181,E601,2025-09-06,SH1,7.6
TS00182,E567,2025-06-05,SH1,11.0
TS00183,E602,2026-04-16,SH3,4.7
TS00184,E610,2025-10-04,SH1,4.6
TS00185,E574,2025-06-16,SH3,9.4
TS00186,E564,2025-02-01,SH1,11.1
TS00187,E574,2025-07-23,SH1,8.1
TS00188,E620,2025-07-05,SH2,10.8
TS00189,E511,2025-08-04,SH3,5.0
TS00190,E515,2026-03-20,SH3,11.5
TS00191,E558,2025-10-12,SH1,7.6
TS00192,E619,2025-05-07,SH2,11.3
TS00193,E622,2026-04-24,SH1,11.1
TS00194,E597,2025-02-17,SH2,5.6
TS00195,E608,2025-06-14,SH3,5.4
