contract_no,acct,START,END,Status,Amount
CTR0001,P-1095,2025-04-29,2026-04-29,LIVE,162025.58
CTR0002,P-1034,2025-01-23,2026-01-23,EXPIRED,230832.30
CTR0003,P-1199,2024-10-21,2025-10-21,LIVE,106743.09
CTR0004,P-1100,2024-03-28,2025-03-28,LIVE,243605.91
CTR0005,P-1100,2025-05-18,2026-05-18,LIVE,47964.21
CTR0006,P-1172,2025-05-06,2026-05-06,EXPIRED,88030.65
CTR0007,P-1104,2024-05-11,2025-05-11,LIVE,47255.74
CTR0008,P-1110,2024-03-20,2025-03-20,LIVE,5666.81
CTR0009,P-1233,2024-10-26,2025-10-26,EXPIRED,203194.20
CTR0010,P-1073,2024-04-09,2025-04-09,EXPIRED,171438.55
CTR0011,P-1019,2025-03-13,2026-03-13,LIVE,125537.58
CTR0012,P-1007,2025-01-16,2026-01-16,LIVE,138496.34
CTR0013,P-1065,2024-04-09,2025-04-09,DRAFT,248385.91
CTR0014,P-1153,2024-05-21,2025-05-21,DRAFT,171802.18
CTR0015,P-1115,2024-07-24,2025-07-24,DRAFT,239063.00
CTR0016,P-1182,2024-02-04,2025-02-03,LIVE,203398.65
CTR0017,P-1040,2024-02-13,2025-02-12,DRAFT,16571.58
CTR0018,P-1006,2024-07-23,2025-07-23,EXPIRED,43280.72
CTR0019,P-1196,2024-09-24,2025-09-24,DRAFT,103613.48
CTR0020,P-1129,2024-01-21,2025-01-20,EXPIRED,112036.21
CTR0021,P-1089,2025-02-08,2026-02-08,EXPIRED,74669.12
CTR0022,P-1024,2024-09-05,2025-09-05,EXPIRED,239299.67
CTR0023,P-1056,2024-09-06,2025-09-06,DRAFT,38822.06
CTR0024,P-1070,2024-06-21,2025-06-21,LIVE,146005.90
CTR0025,P-1175,2024-06-15,2025-06-15,LIVE,174640.19
CTR0026,P-1128,2025-06-06,2026-06-06,LIVE,169548.34
CTR0027,P-1185,2025-01-30,2026-01-30,EXPIRED,88349.31
CTR0028,P-1229,2024-11-17,2025-11-17,DRAFT,48348.18
CTR0029,P-1004,2024-07-25,2025-07-25,DRAFT,168429.39
CTR0030,P-1070,2024-10-13,2025-10-13,EXPIRED,74512.36
CTR0031,P-1175,2024-04-20,2025-04-20,EXPIRED,197264.89
CTR0032,P-1200,2024-03-13,2025-03-13,DRAFT,51993.89
CTR0033,P-1063,2025-04-14,2026-04-14,EXPIRED,37940.39
CTR0034,P-1009,2025-08-26,2026-08-26,DRAFT,21459.51
CTR0035,P-1043,2025-08-03,2026-08-03,DRAFT,53610.58
CTR0036,P-1231,2025-07-21,2026-07-21,DRAFT,201752.42
CTR0037,P-1105,2024-10-30,2025-10-30,DRAFT,47959.52
CTR0038,P-1111,2024-04-03,2025-04-03,DRAFT,65112.29
CTR0039,P-1080,2024-08-10,2025-08-10,EXPIRED,31471.27
CTR0040,P-1089,2024-04-28,2025-04-28,EXPIRED,188939.52
CTR0041,P-1178,2024-05-21,2025-05-21,DRAFT,49184.97
CTR0042,P-1129,2025-07-20,2026-07-20,DRAFT,66796.19
CTR0043,P-1007,2024-04-13,2025-04-13,EXPIRED,199784.74
CTR0044,P-1136,2024-05-28,2025-05-28,DRAFT,207987.23
CTR0045,P-1236,2024-05-20,2025-05-20,EXPIRED,186866.33
CTR0046,P-1141,2024-07-27,2025-07-27,EXPIRED,212516.28
CTR0047,P-1098,2025-04-16,2026-04-16,LIVE,142465.45
CTR0048,P-1011,2024-01-05,2025-01-04,EXPIRED,15753.56
CTR0049,P-1142,2024-02-01,2025-01-31,EXPIRED,122791.48
CTR0050,P-1215,2024-05-11,2025-05-11,DRAFT,28603.57
CTR0051,P-1116,2024-05-26,2025-05-26,LIVE,195676.76
CTR0052,P-1229,2025-06-13,2026-06-13,LIVE,119390.13
CTR0053,P-1064,2024-10-17,2025-10-17,LIVE,149902.95
CTR0054,P-1176,2024-07-02,2025-07-02,EXPIRED,151342.97
CTR0055,P-1179,2024-10-18,2025-10-18,DRAFT,50230.22
CTR0056,P-1125,2024-03-20,2025-03-20,DRAFT,52147.67
CTR0057,P-1115,2025-08-25,2026-08-25,EXPIRED,14884.50
CTR0058,P-1152,2025-01-13,2026-01-13,DRAFT,213446.55
CTR0059,P-1140,2025-03-21,2026-03-21,DRAFT,227732.89
CTR0060,P-1092,2024-09-16,2025-09-16,EXPIRED,126309.26
CTR0061,P-1117,2024-06-22,2025-06-22,DRAFT,161617.01
CTR0062,P-1103,2024-05-29,2025-05-29,LIVE,174914.43
CTR0063,P-1020,2024-01-01,2024-12-31,EXPIRED,201569.64
CTR0064,P-1121,2024-02-27,2025-02-26,LIVE,48291.23
CTR0065,P-1010,2025-01-30,2026-01-30,EXPIRED,140201.58
CTR0066,P-1115,2024-10-03,2025-10-03,EXPIRED,19505.66
CTR0067,P-1115,2024-02-23,2025-02-22,DRAFT,157878.60
CTR0068,P-1103,2024-12-12,2025-12-12,LIVE,215539.12
CTR0069,P-1056,2025-03-05,2026-03-05,EXPIRED,59435.66
CTR0070,P-1210,2025-08-11,2026-08-11,EXPIRED,163974.54
CTR0071,P-1031,2025-02-05,2026-02-05,DRAFT,196966.46
CTR0072,P-1205,2024-12-12,2025-12-12,LIVE,63746.28
CTR0073,P-1208,2024-08-04,2025-08-04,DRAFT,60746.59
CTR0074,P-1223,2025-03-29,2026-03-29,LIVE,191919.55
CTR0075,P-1147,2025-06-02,2026-06-02,LIVE,100977.76
CTR0076,P-1065,2024-06-23,2025-06-23,DRAFT,78810.55
CTR0077,P-1117,2024-10-26,2025-10-26,LIVE,34964.98
CTR0078,P-1120,2024-12-29,2025-12-29,EXPIRED,229229.62
CTR0079,P-1025,2024-03-13,2025-03-13,EXPIRED,185384.20
CTR0080,P-1168,2024-08-01,2025-08-01,DRAFT,154977.72
CTR0081,P-1136,2024-07-20,2025-07-20,DRAFT,159923.23
CTR0082,P-1035,2024-09-06,2025-09-06,LIVE,193052.49
CTR0083,P-1210,2025-05-30,2026-05-30,EXPIRED,119412.20
CTR0084,P-1128,2024-10-29,2025-10-29,LIVE,37261.29
CTR0085,P-1179,2024-04-11,2025-04-11,EXPIRED,238011.24
CTR0086,P-1064,2024-07-07,2025-07-07,LIVE,148756.90
CTR0087,P-1132,2024-06-26,2025-06-26,EXPIRED,13792.43
CTR0088,P-1090,2024-08-18,2025-08-18,LIVE,68246.44
CTR0089,P-1073,2025-03-27,2026-03-27,DRAFT,231703.46
CTR0090,P-1111,2025-07-10,2026-07-10,LIVE,178181.64
CTR0091,P-1174,2024-04-05,2025-04-05,EXPIRED,182374.88
CTR0092,P-1111,2024-02-04,2025-02-03,EXPIRED,194805.86
