Date,pence_per_litre
2025-01-01,145.5
2025-01-08,165.5
2025-01-15,160.7
2025-01-22,151.4
2025-01-29,146.2
2025-02-05,139.7
2025-02-12,144.8
2025-02-19,166.3
2025-02-26,158.4
2025-03-05,166.6
2025-03-12,140.5
2025-03-19,165.3
2025-03-26,149.4
2025-04-02,144.0
2025-04-09,156.8
2025-04-16,152.0
2025-04-23,157.1
2025-04-30,152.2
2025-05-07,161.0
2025-05-14,168.5
2025-05-21,153.3
2025-05-28,148.2
2025-06-04,161.8
2025-06-11,146.0
2025-06-18,144.4
2025-06-25,147.5
2025-07-02,167.8
2025-07-09,162.0
2025-07-16,164.9
2025-07-23,148.5
2025-07-30,162.3
2025-08-06,147.5
2025-08-13,148.5
2025-08-20,153.7
2025-08-27,140.2
2025-09-03,156.4
2025-09-10,167.9
2025-09-17,157.0
2025-09-24,147.0
2025-10-01,158.9
2025-10-08,167.5
2025-10-15,140.9
2025-10-22,155.7
2025-10-29,154.4
2025-11-05,154.3
2025-11-12,143.2
2025-11-19,158.4
2025-11-26,156.9
2025-12-03,151.2
2025-12-10,158.2
2025-12-17,140.1
2025-12-24,159.6
2025-12-31,140.8
2026-01-07,156.1
2026-01-14,158.9
2026-01-21,143.9
2026-01-28,166.2
2026-02-04,150.3
2026-02-11,144.0
2026-02-18,168.6
2026-02-25,159.1
2026-03-04,165.1
2026-03-11,155.9
2026-03-18,142.3
2026-03-25,139.2
2026-04-01,167.3
2026-04-08,155.2
2026-04-15,144.4
2026-04-22,156.0
2026-04-29,157.4
2026-05-06,151.5
2026-05-13,155.9
2026-05-20,144.1
2026-05-27,145.2
