Id,cust_ref,Date,lane_id,Amount,accepted_flag
Q80001,P-1217,2026-04-02,LN0149,33.13,Y
Q80002,P-1229,2025-06-21,LN0085,509.44,N
Q80003,P-1184,2025-09-06,LN0153,843.10,Y
Q80004,P-1219,2025-09-08,LN0125,225.91,Y
Q80005,P-1142,2025-12-10,LN0120,836.22,Y
Q80006,P-1177,2025-11-20,LN0027,887.99,Y
Q80007,P-1147,2025-01-29,LN0128,836.01,Y
Q80008,P-1112,2025-11-27,LN0005,636.07,Y
Q80009,P-1235,2025-07-04,LN0022,668.77,N
Q80010,P-1014,2025-10-17,LN0146,754.58,N
Q80011,P-1187,2026-02-10,LN0048,843.67,Y
Q80012,P-1133,2025-04-10,LN0151,368.72,N
Q80013,P-1022,2026-05-22,LN0082,778.54,N
Q80014,P-1189,2025-10-04,LN0076,27.06,N
Q80015,P-1015,2026-04-20,LN0137,375.61,Y
Q80016,P-1037,2025-12-11,LN0060,209.57,N
Q80017,P-1188,2025-10-23,LN0073,465.93,N
Q80018,P-1120,2025-10-30,LN0111,165.22,Y
Q80019,P-1139,2025-02-23,LN0079,382.93,Y
Q80020,P-1033,2026-05-09,LN0020,719.37,N
Q80021,P-1036,2025-05-10,LN0061,122.78,N
Q80022,P-1115,2026-03-19,LN0039,674.29,N
Q80023,P-1138,2025-07-21,LN0073,868.80,N
Q80024,P-1121,2025-08-27,LN0080,104.85,Y
Q80025,P-1035,2025-03-26,LN0136,881.65,N
Q80026,P-1099,2026-05-09,LN0037,285.98,Y
Q80027,P-1164,2026-04-05,LN0139,542.15,N
Q80028,P-1049,2025-10-20,LN0099,898.10,N
Q80029,P-1050,2025-10-07,LN0036,423.64,N
Q80030,P-1119,2025-03-24,LN0060,893.01,Y
Q80031,P-1183,2025-04-25,LN0079,106.74,Y
Q80032,P-1129,2026-01-16,LN0150,748.64,N
Q80033,P-1113,2026-02-12,LN0018,417.74,N
Q80034,P-1086,2026-03-08,LN0081,884.02,Y
Q80035,P-1098,2025-04-10,LN0055,769.20,N
Q80036,P-1039,2026-03-17,LN0021,320.14,N
Q80037,P-1032,2025-03-18,LN0027,871.61,N
Q80038,P-1104,2025-11-21,LN0031,188.00,N
Q80039,P-1166,2026-04-19,LN0066,253.08,N
Q80040,P-1204,2025-12-27,LN0159,264.45,N
Q80041,P-1105,2026-03-11,LN0110,521.60,Y
Q80042,P-1182,2025-05-27,LN0080,801.23,N
Q80043,P-1020,2025-02-15,LN0125,896.35,Y
Q80044,P-1090,2025-03-24,LN0012,588.29,N
Q80045,P-1005,2026-05-18,LN0147,483.56,N
Q80046,P-1139,2025-09-20,LN0096,894.54,N
Q80047,P-1132,2025-12-27,LN0129,388.09,N
Q80048,P-1069,2025-05-27,LN0051,805.27,N
Q80049,P-1010,2026-05-06,LN0119,647.57,N
Q80050,P-1065,2025-04-07,LN0026,212.37,N
Q80051,P-1094,2026-03-24,LN0150,658.06,Y
Q80052,P-1113,2025-05-06,LN0144,506.58,Y
Q80053,P-1208,2025-04-28,LN0011,224.75,N
Q80054,P-1177,2025-08-21,LN0035,475.35,N
Q80055,P-1175,2025-08-31,LN0157,788.74,Y
Q80056,P-1016,2026-05-05,LN0111,464.88,Y
Q80057,P-1227,2025-01-07,LN0033,562.05,N
Q80058,P-1067,2025-09-17,LN0001,721.08,Y
Q80059,P-1017,2026-03-19,LN0013,746.68,N
Q80060,P-1051,2026-02-14,LN0059,784.26,N
Q80061,P-1013,2025-05-04,LN0092,747.67,Y
Q80062,P-1112,2025-08-31,LN0127,586.84,Y
Q80063,P-1084,2025-06-06,LN0118,567.37,N
Q80064,P-1020,2025-04-29,LN0089,439.80,N
Q80065,P-1053,2026-04-18,LN0031,655.04,N
