rc_id,acct,svc_id,discount_pct,START,END
RC0001,P-1143,SVC3,14.0,2025-09-04,2026-03-03
RC0002,P-1179,SVC6,4.9,2024-08-31,2025-08-31
RC0003,P-1114,SVC3,10.9,2025-06-02,2027-06-02
RC0004,P-1052,SVC6,15.1,2025-01-30,2027-01-30
RC0005,P-1179,SVC5,18.7,2024-09-09,2026-09-09
RC0006,P-1188,SVC2,12.9,2024-09-18,2026-09-18
RC0007,P-1059,SVC5,6.9,2025-10-26,2026-10-26
RC0008,P-1166,SVC3,6.9,2025-09-15,2026-03-14
RC0009,P-1119,SVC5,12.2,2025-09-09,2027-09-09
RC0010,P-1077,SVC3,20.0,2024-10-15,2025-04-13
RC0011,P-1112,SVC6,4.9,2025-06-28,2026-06-28
RC0012,P-1080,SVC4,18.5,2024-09-05,2025-03-04
RC0013,P-1133,SVC6,11.4,2025-04-24,2027-04-24
RC0014,P-1004,SVC5,3.2,2025-07-08,2027-07-08
RC0015,P-1238,SVC4,19.2,2025-06-22,2027-06-22
RC0016,P-1003,SVC4,0.9,2025-05-04,2025-10-31
RC0017,P-1062,SVC1,18.0,2025-09-21,2026-09-21
RC0018,P-1166,SVC5,1.1,2024-11-24,2025-05-23
RC0019,P-1080,SVC1,13.1,2024-07-22,2025-07-22
RC0020,P-1075,SVC4,15.9,2025-06-24,2027-06-24
RC0021,P-1010,SVC4,9.3,2024-10-07,2025-04-05
RC0022,P-1083,SVC3,19.0,2024-12-23,2025-12-23
RC0023,P-1013,SVC2,22.0,2025-09-03,2026-03-02
RC0024,P-1069,SVC2,16.5,2025-08-26,2026-08-26
RC0025,P-1132,SVC1,18.9,2025-04-17,2025-10-14
RC0026,P-1055,SVC6,4.4,2025-02-19,2026-02-19
RC0027,P-1079,SVC4,17.5,2025-07-25,2027-07-25
RC0028,P-1103,SVC4,16.1,2025-06-21,2027-06-21
RC0029,P-1066,SVC6,5.6,2024-08-10,2025-02-06
RC0030,P-1079,SVC5,5.1,2025-05-04,2026-05-04
RC0031,P-1081,SVC5,19.2,2024-11-14,2026-11-14
RC0032,P-1138,SVC1,21.3,2024-09-04,2025-03-03
RC0033,P-1137,SVC6,6.0,2025-01-22,2026-01-22
RC0034,P-1181,SVC2,10.2,2025-02-13,2027-02-13
RC0035,P-1030,SVC3,17.6,2024-06-03,2024-11-30
RC0036,P-1183,SVC2,17.4,2024-10-14,2025-04-12
RC0037,P-1190,SVC1,17.5,2025-04-07,2026-04-07
RC0038,P-1087,SVC2,7.2,2025-10-09,2026-04-07
RC0039,P-1101,SVC6,14.2,2025-02-02,2027-02-02
RC0040,P-1009,SVC3,2.8,2025-03-08,2026-03-08
RC0041,P-1085,SVC6,2.9,2024-07-27,2025-01-23
RC0042,P-1191,SVC6,17.7,2024-12-17,2026-12-17
RC0043,P-1021,SVC1,20.1,2024-06-11,2024-12-08
RC0044,P-1196,SVC5,9.1,2025-11-09,2026-11-09
RC0045,P-1078,SVC1,4.6,2024-06-12,2026-06-12
RC0046,P-1113,SVC1,4.2,2025-07-05,2026-07-05
RC0047,P-1008,SVC5,7.8,2024-10-29,2025-10-29
RC0048,P-1052,SVC1,3.1,2024-09-17,2025-03-16
RC0049,P-1197,SVC4,0.3,2025-10-23,2027-10-23
RC0050,P-1092,SVC4,6.7,2025-04-14,2025-10-11
RC0051,P-1215,SVC4,20.0,2025-10-26,2026-10-26
RC0052,P-1070,SVC3,3.0,2025-08-08,2026-02-04
RC0053,P-1123,SVC3,0.7,2024-10-17,2025-10-17
RC0054,P-1005,SVC1,2.7,2025-03-19,2025-09-15
RC0055,P-1094,SVC2,11.2,2025-02-11,2026-02-11
RC0056,P-1238,SVC6,8.7,2025-11-22,2026-05-21
RC0057,P-1056,SVC6,9.0,2025-06-30,2025-12-27
RC0058,P-1197,SVC4,9.5,2024-10-12,2026-10-12
RC0059,P-1054,SVC1,3.4,2024-07-21,2026-07-21
RC0060,P-1227,SVC6,18.6,2025-08-07,2027-08-07
RC0061,P-1052,SVC5,7.3,2025-02-18,2026-02-18
RC0062,P-1156,SVC2,20.4,2025-04-07,2025-10-04
RC0063,P-1118,SVC2,9.1,2025-07-15,2027-07-15
RC0064,P-1157,SVC4,5.0,2024-07-21,2026-07-21
RC0065,P-1024,SVC4,8.3,2025-07-24,2026-07-24
RC0066,P-1050,SVC5,12.0,2025-05-31,2025-11-27
RC0067,P-1098,SVC2,10.4,2024-07-07,2026-07-07
RC0068,P-1035,SVC1,21.3,2025-02-07,2027-02-07
RC0069,P-1026,SVC1,4.0,2025-10-26,2027-10-26
RC0070,P-1161,SVC2,3.1,2025-09-16,2026-03-15
RC0071,P-1085,SVC1,11.0,2024-08-16,2026-08-16
RC0072,P-1054,SVC2,8.9,2025-02-26,2027-02-26
RC0073,P-1088,SVC5,13.8,2025-09-04,2027-09-04
RC0074,P-1175,SVC6,15.3,2024-06-10,2024-12-07
RC0075,P-1016,SVC3,10.9,2025-07-23,2027-07-23
RC0076,P-1088,SVC6,20.1,2025-05-26,2025-11-22
RC0077,P-1236,SVC6,12.2,2025-06-18,2026-06-18
RC0078,P-1019,SVC5,19.2,2025-07-20,2026-07-20
RC0079,P-1042,SVC5,2.1,2025-07-12,2026-01-08
RC0080,P-1050,SVC1,15.3,2025-10-09,2026-04-07
RC0081,P-1038,SVC6,5.4,2024-10-09,2025-10-09
RC0082,P-1215,SVC3,20.6,2025-11-04,2027-11-04
RC0083,P-1006,SVC3,20.7,2025-07-03,2027-07-03
RC0084,P-1189,SVC1,20.1,2024-07-26,2025-07-26
RC0085,P-1205,SVC6,18.8,2024-07-19,2026-07-19
RC0086,P-1191,SVC1,1.9,2025-11-23,2026-05-22
RC0087,P-1043,SVC4,5.5,2025-02-06,2025-08-05
RC0088,P-1089,SVC2,12.0,2025-03-22,2025-09-18
RC0089,P-1011,SVC5,2.1,2024-07-14,2026-07-14
RC0090,P-1144,SVC5,6.7,2024-12-27,2026-12-27
RC0091,P-1111,SVC5,14.1,2025-07-19,2027-07-19
RC0092,P-1037,SVC2,8.6,2024-11-11,2026-11-11
RC0093,P-1048,SVC2,4.8,2025-05-19,2027-05-19
RC0094,P-1156,SVC1,7.9,2024-08-30,2025-08-30
RC0095,P-1036,SVC3,3.8,2024-07-03,2024-12-30
RC0096,P-1179,SVC1,13.1,2024-11-23,2025-05-22
RC0097,P-1057,SVC2,1.5,2024-09-29,2026-09-29
RC0098,P-1175,SVC5,19.0,2025-09-14,2027-09-14
RC0099,P-1134,SVC1,2.5,2025-05-01,2027-05-01
RC0100,P-1102,SVC3,4.4,2024-12-19,2025-12-19
RC0101,P-1073,SVC1,19.4,2025-11-02,2027-11-02
RC0102,P-1023,SVC4,6.7,2024-09-29,2025-03-28
RC0103,P-1028,SVC6,11.3,2025-03-28,2025-09-24
RC0104,P-1022,SVC4,20.2,2024-11-18,2026-11-18
RC0105,P-1239,SVC6,17.9,2024-06-28,2025-06-28
RC0106,P-1019,SVC4,4.2,2025-05-18,2026-05-18
RC0107,P-1033,SVC4,16.9,2024-12-11,2025-12-11
RC0108,P-1161,SVC1,5.6,2024-12-17,2026-12-17
RC0109,P-1087,SVC4,3.4,2025-11-01,2027-11-01
RC0110,P-1213,SVC3,12.9,2025-01-25,2026-01-25
RC0111,P-1236,SVC6,20.3,2024-07-19,2025-07-19
RC0112,P-1204,SVC6,2.8,2025-08-30,2026-08-30
RC0113,P-1071,SVC6,12.5,2024-06-01,2024-11-28
RC0114,P-1162,SVC5,14.7,2025-11-08,2026-05-07
RC0115,P-1182,SVC3,10.8,2024-09-29,2025-03-28
RC0116,P-1028,SVC6,10.7,2024-08-06,2025-08-06
RC0117,P-1018,SVC6,21.2,2025-05-12,2025-11-08
RC0118,P-1229,SVC2,2.7,2025-05-12,2025-11-08
RC0119,P-1116,SVC3,10.6,2024-10-19,2025-10-19
RC0120,P-1138,SVC6,12.0,2024-07-19,2026-07-19
RC0121,P-1140,SVC1,6.5,2025-10-02,2026-03-31
RC0122,P-1164,SVC3,1.7,2025-02-02,2026-02-02
RC0123,P-1171,SVC2,11.9,2025-01-09,2027-01-09
RC0124,P-1061,SVC3,0.2,2025-01-11,2025-07-10
RC0125,P-1166,SVC4,2.8,2024-09-08,2025-09-08
RC0126,P-1099,SVC3,5.4,2024-06-04,2026-06-04
RC0127,P-1027,SVC3,19.4,2025-01-18,2026-01-18
RC0128,P-1028,SVC2,3.8,2024-06-12,2025-06-12
RC0129,P-1220,SVC3,2.1,2025-03-15,2025-09-11
RC0130,P-1022,SVC4,19.4,2025-02-05,2026-02-05
