tariff_id,svc_id,zone_from,zone_to,rate_per_kg,min_charge,effective
T0001,SVC5,Z01,Z09,0.635,14.89,2025-07-16
T0002,SVC4,Z05,Z03,0.858,18.54,2024-04-14
T0003,SVC4,Z09,Z05,0.652,13.71,2025-05-15
T0004,SVC1,Z08,Z11,0.749,17.10,2025-05-27
T0005,SVC6,Z06,Z06,0.516,22.77,2024-01-07
T0006,SVC1,Z06,Z05,0.592,21.43,2024-05-17
T0007,SVC3,Z01,Z09,0.668,22.37,2025-07-23
T0008,SVC4,Z07,Z06,0.475,20.63,2024-12-05
T0009,SVC2,Z03,Z09,0.285,27.34,2025-02-15
T0010,SVC3,Z11,Z05,0.394,10.00,2024-06-05
T0011,SVC2,Z08,Z10,0.875,11.98,2025-12-28
T0012,SVC2,Z06,Z01,0.727,22.04,2024-10-06
T0013,SVC3,Z08,Z05,0.551,16.31,2024-05-31
T0014,SVC2,Z10,Z01,0.438,28.22,2024-01-17
T0015,SVC2,Z04,Z10,0.443,8.86,2024-11-07
T0016,SVC2,Z10,Z08,0.494,16.29,2024-03-16
T0017,SVC1,Z02,Z01,0.493,15.06,2024-12-20
T0018,SVC5,Z01,Z10,0.408,11.78,2025-01-21
T0019,SVC4,Z03,Z12,0.899,8.78,2024-05-29
T0020,SVC2,Z09,Z07,0.651,15.46,2025-08-09
T0021,SVC2,Z03,Z12,0.719,20.26,2025-07-07
T0022,SVC1,Z05,Z11,0.182,22.34,2025-04-27
T0023,SVC4,Z06,Z03,0.773,11.55,2024-05-04
T0024,SVC5,Z10,Z04,0.680,12.72,2024-11-28
T0025,SVC1,Z08,Z04,0.742,23.10,2025-10-10
T0026,SVC1,Z11,Z03,0.118,18.97,2025-06-14
T0027,SVC1,Z08,Z07,0.591,8.87,2025-12-26
T0028,SVC2,Z05,Z12,0.610,14.87,2025-11-01
T0029,SVC4,Z08,Z07,0.367,14.84,2024-11-06
T0030,SVC1,Z03,Z10,0.100,23.39,2024-01-03
T0031,SVC4,Z05,Z01,0.391,20.98,2024-04-02
T0032,SVC6,Z12,Z09,0.697,14.65,2024-06-01
T0033,SVC4,Z08,Z07,0.189,20.62,2025-12-25
T0034,SVC3,Z01,Z03,0.872,24.17,2024-07-23
T0035,SVC6,Z09,Z04,0.818,18.37,2024-07-06
T0036,SVC6,Z10,Z12,0.663,11.99,2025-10-07
T0037,SVC3,Z06,Z01,0.390,15.07,2024-12-08
T0038,SVC2,Z08,Z01,0.460,10.46,2025-05-11
T0039,SVC2,Z06,Z07,0.182,21.70,2025-08-19
T0040,SVC6,Z08,Z12,0.634,27.37,2024-07-03
T0041,SVC3,Z01,Z07,0.677,21.69,2025-06-30
T0042,SVC4,Z03,Z10,0.154,21.47,2025-12-11
T0043,SVC5,Z01,Z05,0.195,28.45,2024-12-25
T0044,SVC3,Z04,Z12,0.229,24.54,2025-04-09
T0045,SVC3,Z10,Z02,0.124,11.72,2024-03-13
T0046,SVC6,Z02,Z04,0.276,13.16,2024-10-04
T0047,SVC4,Z03,Z08,0.527,12.22,2025-03-05
T0048,SVC6,Z02,Z04,0.172,16.04,2025-02-03
T0049,SVC1,Z10,Z11,0.294,23.11,2025-09-14
T0050,SVC1,Z09,Z09,0.761,8.85,2025-11-20
T0051,SVC1,Z12,Z02,0.804,24.96,2024-08-27
T0052,SVC4,Z10,Z02,0.563,10.95,2025-01-07
T0053,SVC3,Z12,Z01,0.491,24.40,2025-01-16
T0054,SVC6,Z03,Z06,0.157,20.20,2025-06-18
T0055,SVC2,Z06,Z03,0.588,28.68,2025-09-11
T0056,SVC1,Z06,Z05,0.194,8.26,2024-10-17
T0057,SVC5,Z04,Z05,0.627,27.05,2024-01-12
T0058,SVC1,Z09,Z07,0.854,8.40,2025-04-27
T0059,SVC4,Z12,Z02,0.180,16.60,2024-07-23
T0060,SVC5,Z01,Z01,0.796,27.52,2025-02-13
T0061,SVC1,Z09,Z06,0.847,24.78,2024-11-02
T0062,SVC2,Z02,Z11,0.645,28.21,2025-06-02
T0063,SVC5,Z02,Z01,0.258,20.62,2024-05-12
T0064,SVC5,Z01,Z11,0.518,9.92,2025-01-24
T0065,SVC6,Z01,Z05,0.655,23.49,2025-08-07
T0066,SVC5,Z12,Z04,0.141,11.24,2024-05-25
T0067,SVC3,Z02,Z05,0.839,25.86,2024-01-17
T0068,SVC6,Z07,Z10,0.223,8.07,2025-07-27
T0069,SVC5,Z04,Z05,0.233,29.31,2024-03-19
T0070,SVC3,Z12,Z01,0.463,27.28,2025-10-31
T0071,SVC6,Z02,Z10,0.532,24.12,2024-03-24
T0072,SVC2,Z10,Z05,0.325,13.57,2024-07-21
T0073,SVC4,Z07,Z02,0.840,26.61,2024-12-11
T0074,SVC6,Z07,Z05,0.856,17.05,2024-08-16
T0075,SVC6,Z08,Z04,0.542,20.01,2025-07-16
T0076,SVC3,Z10,Z03,0.636,23.59,2024-04-24
T0077,SVC1,Z11,Z12,0.872,24.23,2024-03-19
T0078,SVC3,Z11,Z10,0.175,12.88,2025-08-27
T0079,SVC5,Z04,Z04,0.647,13.14,2024-07-14
T0080,SVC6,Z06,Z07,0.169,15.62,2025-04-13
T0081,SVC4,Z11,Z10,0.836,21.70,2024-02-15
T0082,SVC2,Z08,Z04,0.611,11.79,2024-09-17
T0083,SVC3,Z03,Z08,0.362,16.62,2025-11-03
T0084,SVC1,Z03,Z02,0.804,29.25,2025-10-14
T0085,SVC3,Z11,Z03,0.551,15.09,2024-01-23
T0086,SVC2,Z12,Z07,0.848,12.05,2025-03-15
T0087,SVC1,Z09,Z11,0.682,16.31,2025-03-08
T0088,SVC5,Z03,Z02,0.706,19.72,2025-02-04
T0089,SVC3,Z11,Z02,0.375,8.01,2025-07-21
T0090,SVC2,Z12,Z01,0.602,11.13,2024-01-16
T0091,SVC6,Z05,Z07,0.349,28.20,2024-10-22
T0092,SVC5,Z07,Z01,0.428,9.95,2025-08-16
T0093,SVC6,Z09,Z09,0.411,14.37,2025-07-05
T0094,SVC1,Z06,Z03,0.516,24.06,2025-12-28
T0095,SVC4,Z02,Z03,0.192,11.79,2025-07-14
T0096,SVC1,Z04,Z06,0.524,26.97,2025-07-25
T0097,SVC5,Z04,Z12,0.517,20.18,2024-06-26
T0098,SVC5,Z11,Z02,0.749,25.67,2024-05-24
T0099,SVC5,Z09,Z03,0.810,16.70,2024-08-10
T0100,SVC2,Z12,Z10,0.257,13.93,2024-07-31
T0101,SVC4,Z03,Z07,0.833,19.76,2025-05-14
T0102,SVC1,Z06,Z02,0.559,22.43,2024-09-15
T0103,SVC4,Z12,Z05,0.484,15.29,2024-09-05
T0104,SVC4,Z01,Z02,0.721,21.17,2025-01-07
T0105,SVC4,Z07,Z02,0.195,19.08,2025-06-27
T0106,SVC6,Z07,Z05,0.511,8.97,2024-11-09
T0107,SVC4,Z01,Z04,0.462,13.73,2025-01-04
T0108,SVC2,Z01,Z02,0.839,11.23,2025-11-03
T0109,SVC6,Z10,Z07,0.441,18.52,2024-04-26
T0110,SVC4,Z02,Z09,0.461,16.05,2025-09-17
T0111,SVC1,Z08,Z03,0.283,29.03,2025-10-12
T0112,SVC1,Z11,Z08,0.127,13.89,2024-09-19
T0113,SVC6,Z11,Z03,0.359,26.65,2024-03-13
T0114,SVC3,Z10,Z07,0.177,17.89,2024-03-16
T0115,SVC4,Z11,Z02,0.728,28.60,2024-01-19
T0116,SVC6,Z12,Z03,0.641,22.94,2024-08-28
T0117,SVC2,Z09,Z04,0.676,16.27,2024-07-31
T0118,SVC4,Z03,Z06,0.320,8.98,2025-11-19
T0119,SVC6,Z09,Z11,0.849,8.08,2024-06-28
T0120,SVC3,Z12,Z02,0.522,12.15,2025-08-16
T0121,SVC2,Z12,Z11,0.170,8.79,2024-05-01
T0122,SVC3,Z09,Z09,0.110,10.71,2024-08-23
T0123,SVC1,Z02,Z07,0.171,22.50,2025-03-21
T0124,SVC4,Z03,Z08,0.756,29.39,2024-12-15
T0125,SVC6,Z06,Z10,0.399,25.03,2024-06-09
T0126,SVC4,Z08,Z01,0.254,26.56,2024-03-27
T0127,SVC3,Z07,Z09,0.359,28.20,2025-05-23
T0128,SVC6,Z09,Z08,0.418,19.58,2024-02-22
T0129,SVC6,Z07,Z08,0.459,23.26,2025-04-18
T0130,SVC3,Z06,Z07,0.241,13.77,2024-08-25
T0131,SVC6,Z06,Z04,0.560,13.78,2025-10-30
T0132,SVC6,Z08,Z09,0.273,16.34,2025-03-22
T0133,SVC4,Z01,Z10,0.774,8.59,2024-11-17
T0134,SVC1,Z04,Z10,0.855,14.11,2024-03-13
T0135,SVC1,Z02,Z06,0.547,25.83,2024-09-22
T0136,SVC4,Z01,Z10,0.781,28.36,2024-08-04
T0137,SVC2,Z03,Z10,0.232,21.33,2025-03-24
T0138,SVC5,Z11,Z04,0.244,25.96,2024-12-24
T0139,SVC3,Z02,Z02,0.229,28.36,2024-10-10
T0140,SVC1,Z06,Z07,0.599,22.00,2024-09-20
T0141,SVC2,Z11,Z12,0.677,19.76,2025-05-31
T0142,SVC3,Z12,Z09,0.115,15.07,2024-11-13
T0143,SVC5,Z08,Z11,0.110,26.60,2025-12-13
T0144,SVC2,Z06,Z02,0.663,27.16,2025-03-04
T0145,SVC5,Z11,Z09,0.835,21.58,2024-01-23
T0146,SVC3,Z09,Z01,0.827,29.00,2025-10-22
T0147,SVC3,Z03,Z05,0.205,11.02,2024-09-04
T0148,SVC1,Z02,Z01,0.413,23.88,2024-03-08
T0149,SVC1,Z07,Z08,0.556,18.57,2025-05-02
T0150,SVC4,Z05,Z08,0.150,23.19,2024-03-06
T0151,SVC6,Z05,Z06,0.224,13.72,2025-06-03
T0152,SVC4,Z05,Z12,0.860,9.64,2024-01-20
T0153,SVC3,Z02,Z10,0.828,12.31,2024-04-14
T0154,SVC1,Z04,Z08,0.782,20.36,2025-08-06
T0155,SVC1,Z03,Z05,0.398,25.55,2025-09-09
T0156,SVC5,Z07,Z11,0.644,27.93,2025-12-07
T0157,SVC6,Z10,Z07,0.131,11.53,2025-03-25
T0158,SVC4,Z08,Z09,0.121,19.31,2024-09-03
T0159,SVC5,Z12,Z11,0.715,17.79,2025-12-20
T0160,SVC3,Z01,Z01,0.571,21.41,2024-12-22
T0161,SVC5,Z09,Z08,0.231,8.67,2025-07-12
T0162,SVC4,Z09,Z08,0.665,20.98,2025-02-19
T0163,SVC1,Z09,Z07,0.604,22.94,2024-03-15
T0164,SVC5,Z04,Z06,0.708,11.56,2024-07-28
T0165,SVC3,Z09,Z10,0.279,26.33,2024-05-08
T0166,SVC2,Z07,Z01,0.845,16.14,2024-02-09
T0167,SVC2,Z01,Z07,0.365,24.58,2025-10-31
T0168,SVC4,Z02,Z02,0.582,27.22,2025-01-23
T0169,SVC5,Z06,Z01,0.641,9.11,2025-05-29
T0170,SVC3,Z10,Z09,0.239,9.68,2025-06-13
T0171,SVC5,Z08,Z05,0.585,13.15,2024-06-02
T0172,SVC4,Z12,Z05,0.872,19.61,2025-12-09
T0173,SVC5,Z02,Z12,0.686,17.88,2025-11-21
T0174,SVC2,Z08,Z11,0.503,28.54,2025-05-07
T0175,SVC1,Z09,Z03,0.274,23.60,2024-06-29
T0176,SVC4,Z12,Z04,0.536,9.24,2024-08-02
T0177,SVC3,Z10,Z12,0.520,19.42,2024-07-09
T0178,SVC5,Z12,Z04,0.583,29.94,2025-06-12
T0179,SVC5,Z02,Z01,0.444,12.50,2024-03-23
T0180,SVC5,Z11,Z10,0.558,28.51,2025-11-03
