Date,ccy,rate_to_gbp
2025-01-01,EUR,0.8535
2025-01-01,USD,0.7958
2025-01-08,EUR,0.8530
2025-01-08,USD,0.7771
2025-01-15,EUR,0.8509
2025-01-15,USD,0.7430
2025-01-22,EUR,0.8417
2025-01-22,USD,0.7665
2025-01-29,EUR,0.8714
2025-01-29,USD,0.7685
2025-02-05,EUR,0.8294
2025-02-05,USD,0.7728
2025-02-12,EUR,0.8221
2025-02-12,USD,0.8002
2025-02-19,EUR,0.8975
2025-02-19,USD,0.7518
2025-02-26,EUR,0.8257
2025-02-26,USD,0.7768
2025-03-05,EUR,0.8378
2025-03-05,USD,0.7904
2025-03-12,EUR,0.8647
2025-03-12,USD,0.7498
2025-03-19,EUR,0.8756
2025-03-19,USD,0.7615
2025-03-26,EUR,0.8896
2025-03-26,USD,0.7572
2025-04-02,EUR,0.8721
2025-04-02,USD,0.8107
2025-04-09,EUR,0.8595
2025-04-09,USD,0.8164
2025-04-16,EUR,0.8644
2025-04-16,USD,0.7489
2025-04-23,EUR,0.8727
2025-04-23,USD,0.8136
2025-04-30,EUR,0.8239
2025-04-30,USD,0.7783
2025-05-07,EUR,0.8826
2025-05-07,USD,0.7931
2025-05-14,EUR,0.8809
2025-05-14,USD,0.8190
2025-05-21,EUR,0.8319
2025-05-21,USD,0.7472
2025-05-28,EUR,0.8913
2025-05-28,USD,0.7807
2025-06-04,EUR,0.8532
2025-06-04,USD,0.7689
2025-06-11,EUR,0.8571
2025-06-11,USD,0.8241
2025-06-18,EUR,0.8755
2025-06-18,USD,0.7779
2025-06-25,EUR,0.8718
2025-06-25,USD,0.7606
2025-07-02,EUR,0.8247
2025-07-02,USD,0.7923
2025-07-09,EUR,0.8481
2025-07-09,USD,0.7548
2025-07-16,EUR,0.8532
2025-07-16,USD,0.7730
2025-07-23,EUR,0.8572
2025-07-23,USD,0.7971
2025-07-30,EUR,0.8614
2025-07-30,USD,0.8217
2025-08-06,EUR,0.8697
2025-08-06,USD,0.7992
2025-08-13,EUR,0.8468
2025-08-13,USD,0.7588
2025-08-20,EUR,0.8737
2025-08-20,USD,0.7719
2025-08-27,EUR,0.8598
2025-08-27,USD,0.7756
2025-09-03,EUR,0.8370
2025-09-03,USD,0.7600
2025-09-10,EUR,0.8504
2025-09-10,USD,0.7957
2025-09-17,EUR,0.8490
2025-09-17,USD,0.7883
2025-09-24,EUR,0.8569
2025-09-24,USD,0.7779
2025-10-01,EUR,0.8881
2025-10-01,USD,0.7926
2025-10-08,EUR,0.8644
2025-10-08,USD,0.7723
2025-10-15,EUR,0.8289
2025-10-15,USD,0.8160
2025-10-22,EUR,0.8240
2025-10-22,USD,0.7519
2025-10-29,EUR,0.8861
2025-10-29,USD,0.7421
2025-11-05,EUR,0.8662
2025-11-05,USD,0.8117
2025-11-12,EUR,0.8259
2025-11-12,USD,0.7660
2025-11-19,EUR,0.8370
2025-11-19,USD,0.7760
2025-11-26,EUR,0.8210
2025-11-26,USD,0.7754
2025-12-03,EUR,0.8963
2025-12-03,USD,0.7702
2025-12-10,EUR,0.8349
2025-12-10,USD,0.7922
2025-12-17,EUR,0.8883
2025-12-17,USD,0.7612
2025-12-24,EUR,0.8441
2025-12-24,USD,0.7567
2025-12-31,EUR,0.8638
2025-12-31,USD,0.8165
2026-01-07,EUR,0.8927
2026-01-07,USD,0.8140
2026-01-14,EUR,0.8262
2026-01-14,USD,0.7963
2026-01-21,EUR,0.8879
2026-01-21,USD,0.7520
2026-01-28,EUR,0.8256
2026-01-28,USD,0.8194
2026-02-04,EUR,0.8794
2026-02-04,USD,0.7739
2026-02-11,EUR,0.8797
2026-02-11,USD,0.7885
2026-02-18,EUR,0.8600
2026-02-18,USD,0.7760
2026-02-25,EUR,0.8668
2026-02-25,USD,0.7668
2026-03-04,EUR,0.8221
2026-03-04,USD,0.7552
2026-03-11,EUR,0.8790
2026-03-11,USD,0.7930
2026-03-18,EUR,0.8693
2026-03-18,USD,0.8126
2026-03-25,EUR,0.8354
2026-03-25,USD,0.8271
2026-04-01,EUR,0.8399
2026-04-01,USD,0.7925
2026-04-08,EUR,0.8677
2026-04-08,USD,0.7632
2026-04-15,EUR,0.8747
2026-04-15,USD,0.7493
2026-04-22,EUR,0.8676
2026-04-22,USD,0.8086
2026-04-29,EUR,0.8482
2026-04-29,USD,0.7405
2026-05-06,EUR,0.8491
2026-05-06,USD,0.7661
2026-05-13,EUR,0.8504
2026-05-13,USD,0.7760
2026-05-20,EUR,0.8262
2026-05-20,USD,0.7522
2026-05-27,EUR,0.8358
2026-05-27,USD,0.7863
